x y value
-1.0000000000e+00 -1.0000000000e+00 1.2442648771e-03
-9.8888888889e-01 -1.0000000000e+00 9.0223309587e-04
-9.7777777778e-01 -1.0000000000e+00 6.0219020177e-04
-9.6666666667e-01 -1.0000000000e+00 3.4235282438e-04
-9.5555555556e-01 -1.0000000000e+00 1.2083569153e-04
-9.4444444444e-01 -1.0000000000e+00 6.4356304303e-05
-9.3333333333e-01 -1.0000000000e+00 2.1533679130e-04
-9.2222222222e-01 -1.0000000000e+00 3.3434521563e-04
-9.1111111111e-01 -1.0000000000e+00 4.2375070532e-04
-9.0000000000e-01 -1.0000000000e+00 4.8605073078e-04
-8.8888888889e-01 -1.0000000000e+00 5.2386321868e-04
-8.7777777778e-01 -1.0000000000e+00 5.3991130783e-04
-8.6666666667e-01 -1.0000000000e+00 5.3700052106e-04
-8.5555555556e-01 -1.0000000000e+00 5.1798871418e-04
-8.4444444444e-01 -1.0000000000e+00 4.8574970455e-04
-8.3333333333e-01 -1.0000000000e+00 4.4313194258e-04
-8.2222222222e-01 -1.0000000000e+00 3.9291394198e-04
-8.1111111111e-01 -1.0000000000e+00 3.3775841680e-04
-8.0000000000e-01 -1.0000000000e+00 2.8016717825e-04
-7.8888888889e-01 -1.0000000000e+00 2.2243882714e-04
-7.7777777778e-01 -1.0000000000e+00 1.6663114556e-04
-7.6666666667e-01 -1.0000000000e+00 1.1452985829e-04
-7.5555555556e-01 -1.0000000000e+00 6.7625115890e-05
-7.4444444444e-01 -1.0000000000e+00 2.7096666212e-05
-7.3333333333e-01 -1.0000000000e+00 6.1917499221e-06
-7.2222222222e-01 -1.0000000000e+00 3.1688696597e-05
-7.1111111111e-01 -1.0000000000e+00 4.9142404137e-05
-7.0000000000e-01 -1.0000000000e+00 5.8579988624e-05
-6.8888888889e-01 -1.0000000000e+00 6.0279697753e-05
-6.7777777778e-01 -1.0000000000e+00 5.4737650635e-05
-6.6666666667e-01 -1.0000000000e+00 4.2630746245e-05
-6.5555555556e-01 -1.0000000000e+00 2.4777517695e-05
-6.4444444444e-01 -1.0000000000e+00 2.0987021025e-06
-6.3333333333e-01 -1.0000000000e+00 2.4420818366e-05
-6.2222222222e-01 -1.0000000000e+00 5.3767258556e-05
-6.1111111111e-01 -1.0000000000e+00 8.4929196527e-05
-6.0000000000e-01 -1.0000000000e+00 1.1692404432e-04
-5.8888888889e-01 -1.0000000000e+00 1.4881926766e-04
-5.7777777778e-01 -1.0000000000e+00 1.7974825886e-04
-5.6666666667e-01 -1.0000000000e+00 2.0892109632e-04
-5.5555555556e-01 -1.0000000000e+00 2.3563070026e-04
-5.4444444444e-01 -1.0000000000e+00 2.5925510294e-04
-5.3333333333e-01 -1.0000000000e+00 2.7925668427e-04
-5.2222222222e-01 -1.0000000000e+00 2.9517928177e-04
-5.1111111111e-01 -1.0000000000e+00 3.0664407483e-04
-5.0000000000e-01 -1.0000000000e+00 3.1334507985e-04
-4.8888888889e-01 -1.0000000000e+00 3.1504499137e-04
-4.7777777778e-01 -1.0000000000e+00 3.1157198031e-04
-4.6666666667e-01 -1.0000000000e+00 3.0281792846e-04
-4.5555555556e-01 -1.0000000000e+00 2.8873844662e-04
-4.4444444444e-01 -1.0000000000e+00 2.6935489790e-04
-4.3333333333e-01 -1.0000000000e+00 2.4475852581e-04
-4.2222222222e-01 -1.0000000000e+00 2.1511666313e-04
-4.1111111111e-01 -1.0000000000e+00 1.8068086496e-04
-4.0000000000e-01 -1.0000000000e+00 1.4179665739e-04
-3.8888888889e-01 -1.0000000000e+00 9.8914415169e-05
-3.7777777778e-01 -1.0000000000e+00 5.2600675091e-05
-3.6666666667e-01 -1.0000000000e+00 3.5489580243e-06
-3.5555555556e-01 -1.0000000000e+00 4.7411075361e-05
-3.4444444444e-01 -1.0000000000e+00 9.9307552230e-05
-3.3333333333e-01 -1.0000000000e+00 1.5102502117e-04
-3.2222222222e-01 -1.0000000000e+00 2.0130954415e-04
-3.1111111111e-01 -1.0000000000e+00 2.4878200942e-04
-3.0000000000e-01 -1.0000000000e+00 2.9196127448e-04
-2.8888888889e-01 -1.0000000000e+00 3.2929839506e-04
-2.7777777778e-01 -1.0000000000e+00 3.5922262457e-04
-2.6666666667e-01 -1.0000000000e+00 3.8019908482e-04
-2.5555555556e-01 -1.0000000000e+00 3.9079704987e-04
-2.4444444444e-01 -1.0000000000e+00 3.8976671978e-04
-2.3333333333e-01 -1.0000000000e+00 3.7612128220e-04
-2.2222222222e-01 -1.0000000000e+00 3.4922007182e-04
-2.1111111111e-01 -1.0000000000e+00 3.0884783892e-04
-2.0000000000e-01 -1.0000000000e+00 2.5528460351e-04
-1.8888888889e-01 -1.0000000000e+00 1.8936034153e-04
-1.7777777778e-01 -1.0000000000e+00 1.1248883225e-04
-1.6666666667e-01 -1.0000000000e+00 2.6675377134e-05
-1.5555555556e-01 -1.0000000000e+00 6.5506231457e-05
-1.4444444444e-01 -1.0000000000e+00 1.6097114250e-04
-1.3333333333e-01 -1.0000000000e+00 2.5621759999e-04
-1.2222222222e-01 -1.0000000000e+00 3.4745835247e-04
-1.1111111111e-01 -1.0000000000e+00 4.3078750860e-04
-1.0000000000e-01 -1.0000000000e+00 5.0237807032e-04
-8.8888888889e-02 -1.0000000000e+00 5.5870186425e-04
-7.7777777778e-02 -1.0000000000e+00 5.9675976559e-04
-6.6666666667e-02 -1.0000000000e+00 6.1430641075e-04
-5.5555555556e-02 -1.0000000000e+00 6.1005064655e-04
-4.4444444444e-02 -1.0000000000e+00 5.8381148203e-04
-3.3333333333e-02 -1.0000000000e+00 5.3660995639e-04
-2.2222222222e-02 -1.0000000000e+00 4.7068056454e-04
-1.1111111111e-02 -1.0000000000e+00 3.8939176678e-04
0.0000000000e+00 -1.0000000000e+00 2.9707327079e-04
1.1111111111e-02 -1.0000000000e+00 1.9875736275e-04
2.2222222222e-02 -1.0000000000e+00 9.9851372501e-05
3.3333333333e-02 -1.0000000000e+00 5.7670043012e-06
4.4444444444e-02 -1.0000000000e+00 7.8461561557e-05
5.5555555556e-02 -1.0000000000e+00 1.4853619124e-04
6.6666666667e-02 -1.0000000000e+00 2.0119662222e-04
7.7777777778e-02 -1.0000000000e+00 2.3443745995e-04
8.8888888889e-02 -1.0000000000e+00 2.4762067578e-04
1.0000000000e-01 -1.0000000000e+00 2.4147458080e-04
1.1111111111e-01 -1.0000000000e+00 2.1798174108e-04
1.2222222222e-01 -1.0000000000e+00 1.8016924860e-04
1.3333333333e-01 -1.0000000000e+00 1.3182393127e-04
1.4444444444e-01 -1.0000000000e+00 7.7161525849e-05
1.5555555556e-01 -1.0000000000e+00 2.0481978805e-05
1.6666666667e-01 -1.0000000000e+00 3.4157290133e-05
1.7777777778e-01 -1.0000000000e+00 8.3221918109e-05
1.8888888889e-01 -1.0000000000e+00 1.2391299371e-04
2.0000000000e-01 -1.0000000000e+00 1.5429762887e-04
2.1111111111e-01 -1.0000000000e+00 1.7335322533e-04
2.2222222222e-01 -1.0000000000e+00 1.8093007805e-04
2.3333333333e-01 -1.0000000000e+00 1.7764499628e-04
2.4444444444e-01 -1.0000000000e+00 1.6472470353e-04
2.5555555556e-01 -1.0000000000e+00 1.4382127637e-04
2.6666666667e-01 -1.0000000000e+00 1.1682249774e-04
2.7777777778e-01 -1.0000000000e+00 8.5677805652e-05
2.8888888889e-01 -1.0000000000e+00 5.2255955823e-05
3.0000000000e-01 -1.0000000000e+00 1.8244341274e-05
3.1111111111e-01 -1.0000000000e+00 1.4906923248e-05
3.2222222222e-01 -1.0000000000e+00 4.5999529827e-05
3.3333333333e-01 -1.0000000000e+00 7.4068733767e-05
3.4444444444e-01 -1.0000000000e+00 9.8344287934e-05
3.5555555556e-01 -1.0000000000e+00 1.1820362860e-04
3.6666666667e-01 -1.0000000000e+00 1.3312935960e-04
3.7777777778e-01 -1.0000000000e+00 1.4268029922e-04
3.8888888889e-01 -1.0000000000e+00 1.4648144682e-04
4.0000000000e-01 -1.0000000000e+00 1.4423393157e-04
4.1111111111e-01 -1.0000000000e+00 1.3574203373e-04
4.2222222222e-01 -1.0000000000e+00 1.2095128936e-04
4.3333333333e-01 -1.0000000000e+00 9.9989860928e-05
4.4444444444e-01 -1.0000000000e+00 7.3204899341e-05
4.5555555556e-01 -1.0000000000e+00 4.1186442472e-05
4.6666666667e-01 -1.0000000000e+00 4.7732263108e-06
4.7777777778e-01 -1.0000000000e+00 3.4962735778e-05
4.8888888889e-01 -1.0000000000e+00 7.6753219138e-05
5.0000000000e-01 -1.0000000000e+00 1.1919029844e-04
5.1111111111e-01 -1.0000000000e+00 1.6079790399e-04
5.2222222222e-01 -1.0000000000e+00 2.0011244783e-04
5.3333333333e-01 -1.0000000000e+00 2.3576569283e-04
5.4444444444e-01 -1.0000000000e+00 2.6656292224e-04
5.5555555556e-01 -1.0000000000e+00 2.9155002124e-04
5.6666666667e-01 -1.0000000000e+00 3.1006418076e-04
5.7777777778e-01 -1.0000000000e+00 3.2176442114e-04
5.8888888889e-01 -1.0000000000e+00 3.2663984068e-04
6.0000000000e-01 -1.0000000000e+00 3.2499525733e-04
6.1111111111e-01 -1.0000000000e+00 3.1741558901e-04
6.2222222222e-01 -1.0000000000e+00 3.0471179295e-04
6.3333333333e-01 -1.0000000000e+00 2.8785237475e-04
6.4444444444e-01 -1.0000000000e+00 2.6788533424e-04
6.5555555556e-01 -1.0000000000e+00 2.4585591665e-04
6.6666666667e-01 -1.0000000000e+00 2.2272569061e-04
6.7777777778e-01 -1.0000000000e+00 1.9929830365e-04
6.8888888889e-01 -1.0000000000e+00 1.7615681023e-04
7.0000000000e-01 -1.0000000000e+00 1.5361677483e-04
7.1111111111e-01 -1.0000000000e+00 1.3169847673e-04
7.2222222222e-01 -1.0000000000e+00 1.1012053765e-04
7.3333333333e-01 -1.0000000000e+00 8.8316213494e-05
7.4444444444e-01 -1.0000000000e+00 6.5472489188e-05
7.5555555556e-01 -1.0000000000e+00 4.0591040680e-05
7.6666666667e-01 -1.0000000000e+00 1.2569125905e-05
7.7777777778e-01 -1.0000000000e+00 1.9702423583e-05
7.8888888889e-01 -1.0000000000e+00 5.7227682991e-05
8.0000000000e-01 -1.0000000000e+00 1.0078473304e-04
8.1111111111e-01 -1.0000000000e+00 1.5079990982e-04
8.2222222222e-01 -1.0000000000e+00 2.0722193068e-04
8.3333333333e-01 -1.0000000000e+00 2.6940062138e-04
8.4444444444e-01 -1.0000000000e+00 3.3597479060e-04
8.5555555556e-01 -1.0000000000e+00 4.0477345923e-04
8.6666666667e-01 -1.0000000000e+00 4.7273418118e-04
8.7777777778e-01 -1.0000000000e+00 5.3584162354e-04
8.8888888889e-01 -1.0000000000e+00 5.8908894060e-04
9.0000000000e-01 -1.0000000000e+00 6.2646381557e-04
9.1111111111e-01 -1.0000000000e+00 6.4096038542e-04
9.2222222222e-01 -1.0000000000e+00 6.2461763206e-04
9.3333333333e-01 -1.0000000000e+00 5.6858422951e-04
9.4444444444e-01 -1.0000000000e+00 4.6320928187e-04
9.5555555556e-01 -1.0000000000e+00 2.9815785936e-04
9.6666666667e-01 -1.0000000000e+00 6.2549720512e-05
9.7777777778e-01 -1.0000000000e+00 2.5488092270e-04
9.8888888889e-01 -1.0000000000e+00 6.6560729785e-04
1.0000000000e+00 -1.0000000000e+00 1.1811169074e-03
-1.0000000000e+00 -9.8888888889e-01 9.0344191739e-04
-9.8888888889e-01 -9.8888888889e-01 6.3991717429e-04
-9.7777777778e-01 -9.8888888889e-01 4.1003003231e-04
-9.6666666667e-01 -9.8888888889e-01 2.1215072924e-04
-9.5555555556e-01 -9.8888888889e-01 4.4625137613e-05
-9.4444444444e-01 -9.8888888889e-01 9.4237755664e-05
-9.3333333333e-01 -9.8888888889e-01 2.0618083652e-04
-9.2222222222e-01 -9.8888888889e-01 2.9301394295e-04
-9.1111111111e-01 -9.8888888889e-01 3.5662670758e-04
-9.0000000000e-01 -9.8888888889e-01 3.9899708090e-04
-8.8888888889e-01 -9.8888888889e-01 4.2219386774e-04
-8.7777777778e-01 -9.8888888889e-01 4.2837214612e-04
-8.6666666667e-01 -9.8888888889e-01 4.1976104078e-04
-8.5555555556e-01 -9.8888888889e-01 3.9864393702e-04
-8.4444444444e-01 -9.8888888889e-01 3.6733179507e-04
-8.3333333333e-01 -9.8888888889e-01 3.2813072039e-04
-8.2222222222e-01 -9.8888888889e-01 2.8330533438e-04
-8.1111111111e-01 -9.8888888889e-01 2.3503975689e-04
-8.0000000000e-01 -9.8888888889e-01 1.8539815174e-04
-7.8888888889e-01 -9.8888888889e-01 1.3628680220e-04
-7.7777777778e-01 -9.8888888889e-01 8.9419583595e-05
-7.6666666667e-01 -9.8888888889e-01 4.6288498851e-05
-7.5555555556e-01 -9.8888888889e-01 8.1406548920e-06
