x y value
-1.0000000000e+00 -1.0000000000e+00 1.1938470938e+00
-9.8888888889e-01 -1.0000000000e+00 1.1938379415e+00
-9.7777777778e-01 -1.0000000000e+00 1.1938279830e+00
-9.6666666667e-01 -1.0000000000e+00 1.1938171470e+00
-9.5555555556e-01 -1.0000000000e+00 1.1938053565e+00
-9.4444444444e-01 -1.0000000000e+00 1.1937925274e+00
-9.3333333333e-01 -1.0000000000e+00 1.1937785681e+00
-9.2222222222e-01 -1.0000000000e+00 1.1937633791e+00
-9.1111111111e-01 -1.0000000000e+00 1.1937468522e+00
-9.0000000000e-01 -1.0000000000e+00 1.1937288695e+00
-8.8888888889e-01 -1.0000000000e+00 1.1937093029e+00
-8.7777777778e-01 -1.0000000000e+00 1.1936880127e+00
-8.6666666667e-01 -1.0000000000e+00 1.1936648475e+00
-8.5555555556e-01 -1.0000000000e+00 1.1936396419e+00
-8.4444444444e-01 -1.0000000000e+00 1.1936122165e+00
-8.3333333333e-01 -1.0000000000e+00 1.1935823757e+00
-8.2222222222e-01 -1.0000000000e+00 1.1935499071e+00
-8.1111111111e-01 -1.0000000000e+00 1.1935145794e+00
-8.0000000000e-01 -1.0000000000e+00 1.1934761408e+00
-7.8888888889e-01 -1.0000000000e+00 1.1934343178e+00
-7.7777777778e-01 -1.0000000000e+00 1.1933888125e+00
-7.6666666667e-01 -1.0000000000e+00 1.1933393010e+00
-7.5555555556e-01 -1.0000000000e+00 1.1932854310e+00
-7.4444444444e-01 -1.0000000000e+00 1.1932268191e+00
-7.3333333333e-01 -1.0000000000e+00 1.1931630483e+00
-7.2222222222e-01 -1.0000000000e+00 1.1930936653e+00
-7.1111111111e-01 -1.0000000000e+00 1.1930181766e+00
-7.0000000000e-01 -1.0000000000e+00 1.1929360458e+00
-6.8888888889e-01 -1.0000000000e+00 1.1928466893e+00
-6.7777777778e-01 -1.0000000000e+00 1.1927494724e+00
-6.6666666667e-01 -1.0000000000e+00 1.1926437050e+00
-6.5555555556e-01 -1.0000000000e+00 1.1925286366e+00
-6.4444444444e-01 -1.0000000000e+00 1.1924034508e+00
