x y value
-1.0000000000e+00 -1.0000000000e+00 2.5288268534e-04
-9.8888888889e-01 -1.0000000000e+00 1.1915816285e-04
-9.7777777778e-01 -1.0000000000e+00 7.9584488910e-06
-9.6666666667e-01 -1.0000000000e+00 8.4116926046e-05
-9.5555555556e-01 -1.0000000000e+00 1.5848053993e-04
-9.4444444444e-01 -1.0000000000e+00 2.1520327432e-04
-9.3333333333e-01 -1.0000000000e+00 2.5363002960e-04
-9.2222222222e-01 -1.0000000000e+00 2.7292999429e-04
-9.1111111111e-01 -1.0000000000e+00 2.7255328996e-04
-9.0000000000e-01 -1.0000000000e+00 2.5257451105e-04
-8.8888888889e-01 -1.0000000000e+00 2.1391335806e-04
-8.7777777778e-01 -1.0000000000e+00 1.5843225509e-04
-8.6666666667e-01 -1.0000000000e+00 8.8919666687e-05
-8.5555555556e-01 -1.0000000000e+00 8.9750854135e-06
-8.4444444444e-01 -1.0000000000e+00 7.7183105927e-05
-8.3333333333e-01 -1.0000000000e+00 1.6496268275e-04
-8.2222222222e-01 -1.0000000000e+00 2.4967049234e-04
-8.1111111111e-01 -1.0000000000e+00 3.2678929896e-04
-8.0000000000e-01 -1.0000000000e+00 3.9223730823e-04
-7.8888888889e-01 -1.0000000000e+00 4.4259292298e-04
-7.7777777778e-01 -1.0000000000e+00 4.7527174642e-04
-7.6666666667e-01 -1.0000000000e+00 4.8864753607e-04
-7.5555555556e-01 -1.0000000000e+00 4.8211335299e-04
-7.4444444444e-01 -1.0000000000e+00 4.5608325714e-04
-7.3333333333e-01 -1.0000000000e+00 4.1193837764e-04
-7.2222222222e-01 -1.0000000000e+00 3.5192393257e-04
-7.1111111111e-01 -1.0000000000e+00 2.7900576417e-04
-7.0000000000e-01 -1.0000000000e+00 1.9669623310e-04
-6.8888888889e-01 -1.0000000000e+00 1.0885996326e-04
-6.7777777778e-01 -1.0000000000e+00 1.9510050670e-05
-6.6666666667e-01 -1.0000000000e+00 6.7394951242e-05
-6.5555555556e-01 -1.0000000000e+00 1.4814359438e-04
-6.4444444444e-01 -1.0000000000e+00 2.1944488216e-04
-6.3333333333e-01 -1.0000000000e+00 2.7857478650e-04
-6.2222222222e-01 -1.0000000000e+00 3.2348970202e-04
-6.1111111111e-01 -1.0000000000e+00 3.5290220700e-04
-6.0000000000e-01 -1.0000000000e+00 3.6631631700e-04
-5.8888888889e-01 -1.0000000000e+00 3.6402141721e-04
-5.7777777778e-01 -1.0000000000e+00 3.4704617899e-04
-5.6666666667e-01 -1.0000000000e+00 3.1707590742e-04
-5.5555555556e-01 -1.0000000000e+00 2.7633879681e-04
-5.4444444444e-01 -1.0000000000e+00 2.2746833913e-04
-5.3333333333e-01 -1.0000000000e+00 1.7335048133e-04
-5.2222222222e-01 -1.0000000000e+00 1.1696492703e-04
-5.1111111111e-01 -1.0000000000e+00 6.1230132230e-05
-5.0000000000e-01 -1.0000000000e+00 8.8610149516e-06
-4.8888888889e-01 -1.0000000000e+00 3.7752786760e-05
-4.7777777778e-01 -1.0000000000e+00 7.6642024081e-05
-4.6666666667e-01 -1.0000000000e+00 1.0632239611e-04
-4.5555555556e-01 -1.0000000000e+00 1.2582703784e-04
-4.4444444444e-01 -1.0000000000e+00 1.3470783946e-04
-4.3333333333e-01 -1.0000000000e+00 1.3300874263e-04
-4.2222222222e-01 -1.0000000000e+00 1.2121603831e-04
-4.1111111111e-01 -1.0000000000e+00 1.0019205504e-04
