x y value
-1.0000000000e+00 -1.0000000000e+00 1.5523391419e-05
-9.8888888889e-01 -1.0000000000e+00 7.1895059733e-05
-9.7777777778e-01 -1.0000000000e+00 1.4183539287e-04
-9.6666666667e-01 -1.0000000000e+00 1.9591399024e-04
-9.5555555556e-01 -1.0000000000e+00 2.3595237303e-04
-9.4444444444e-01 -1.0000000000e+00 2.6384760145e-04
-9.3333333333e-01 -1.0000000000e+00 2.8146068856e-04
-9.2222222222e-01 -1.0000000000e+00 2.9052764315e-04
-9.1111111111e-01 -1.0000000000e+00 2.9259600903e-04
-9.0000000000e-01 -1.0000000000e+00 2.8898784435e-04
-8.8888888889e-01 -1.0000000000e+00 2.8078815409e-04
-8.7777777778e-01 -1.0000000000e+00 2.6885601602e-04
-8.6666666667e-01 -1.0000000000e+00 2.5385416918e-04
-8.5555555556e-01 -1.0000000000e+00 2.3629177486e-04
-8.4444444444e-01 -1.0000000000e+00 2.1657448027e-04
-8.3333333333e-01 -1.0000000000e+00 1.9505583902e-04
-8.2222222222e-01 -1.0000000000e+00 1.7208454959e-04
-8.1111111111e-01 -1.0000000000e+00 1.4804280767e-04
-8.0000000000e-01 -1.0000000000e+00 1.2337224104e-04
-7.8888888889e-01 -1.0000000000e+00 9.8585299092e-05
-7.7777777778e-01 -1.0000000000e+00 7.4261478118e-05
-7.6666666667e-01 -1.0000000000e+00 5.1029252417e-05
-7.5555555556e-01 -1.0000000000e+00 2.9535927391e-05
-7.4444444444e-01 -1.0000000000e+00 1.0408727307e-05
-7.3333333333e-01 -1.0000000000e+00 5.7888073527e-06
-7.2222222222e-01 -1.0000000000e+00 1.8600663973e-05
-7.1111111111e-01 -1.0000000000e+00 2.7718027605e-05
-7.0000000000e-01 -1.0000000000e+00 3.3010784126e-05
-6.8888888889e-01 -1.0000000000e+00 3.4547626093e-05
-6.7777777778e-01 -1.0000000000e+00 3.2602550814e-05
-6.6666666667e-01 -1.0000000000e+00 2.7646718954e-05
-6.5555555556e-01 -1.0000000000e+00 2.0325871224e-05
-6.4444444444e-01 -1.0000000000e+00 1.1424673986e-05
-6.3333333333e-01 -1.0000000000e+00 1.8203881457e-06
-6.2222222222e-01 -1.0000000000e+00 7.5709442994e-06
-6.1111111111e-01 -1.0000000000e+00 1.5852074587e-05
-6.0000000000e-01 -1.0000000000e+00 2.2201929537e-05
-5.8888888889e-01 -1.0000000000e+00 2.5928911891e-05
-5.7777777778e-01 -1.0000000000e+00 2.6516562603e-05
-5.6666666667e-01 -1.0000000000e+00 2.3658594992e-05
-5.5555555556e-01 -1.0000000000e+00 1.7281057610e-05
-5.4444444444e-01 -1.0000000000e+00 7.5502533458e-06
-5.3333333333e-01 -1.0000000000e+00 5.1340237925e-06
-5.2222222222e-01 -1.0000000000e+00 2.0159435582e-05
-5.1111111111e-01 -1.0000000000e+00 3.6734848606e-05
-5.0000000000e-01 -1.0000000000e+00 5.3934728152e-05
-4.8888888889e-01 -1.0000000000e+00 7.0751397878e-05
-4.7777777778e-01 -1.0000000000e+00 8.6151956174e-05
-4.6666666667e-01 -1.0000000000e+00 9.9136429162e-05
-4.5555555556e-01 -1.0000000000e+00 1.0879376218e-04
-4.4444444444e-01 -1.0000000000e+00 1.1435250427e-04
-4.3333333333e-01 -1.0000000000e+00 1.1522350396e-04
-4.2222222222e-01 -1.0000000000e+00 1.1103257221e-04
-4.1111111111e-01 -1.0000000000e+00 1.0164182277e-04
-4.0000000000e-01 -1.0000000000e+00 8.7159202732e-05
-3.8888888889e-01 -1.0000000000e+00 6.7936494125e-05
-3.7777777778e-01 -1.0000000000e+00 4.4556719527e-05
-3.6666666667e-01 -1.0000000000e+00 1.7812344353e-05
-3.5555555556e-01 -1.0000000000e+00 1.1324117796e-05
-3.4444444444e-01 -1.0000000000e+00 4.1735543595e-05
-3.3333333333e-01 -1.0000000000e+00 7.2200422022e-05
-3.2222222222e-01 -1.0000000000e+00 1.0143704973e-04
-3.1111111111e-01 -1.0000000000e+00 1.2815135950e-04
-3.0000000000e-01 -1.0000000000e+00 1.5108835283e-04
-2.8888888889e-01 -1.0000000000e+00 1.6908707169e-04
-2.7777777778e-01 -1.0000000000e+00 1.8113850707e-04
-2.6666666667e-01 -1.0000000000e+00 1.8644474058e-04
-2.5555555556e-01 -1.0000000000e+00 1.8447603049e-04
-2.4444444444e-01 -1.0000000000e+00 1.7502074264e-04
-2.3333333333e-01 -1.0000000000e+00 1.5822141799e-04
-2.2222222222e-01 -1.0000000000e+00 1.3458940318e-04
-2.1111111111e-01 -1.0000000000e+00 1.0499089309e-04
-2.0000000000e-01 -1.0000000000e+00 7.0599340620e-05
-1.8888888889e-01 -1.0000000000e+00 3.2813076807e-05
-1.7777777778e-01 -1.0000000000e+00 6.8576688252e-06
-1.6666666667e-01 -1.0000000000e+00 4.6924118175e-05
-1.5555555556e-01 -1.0000000000e+00 8.6056839737e-05
-1.4444444444e-01 -1.0000000000e+00 1.2320851727e-04
-1.3333333333e-01 -1.0000000000e+00 1.5770101623e-04
-1.2222222222e-01 -1.0000000000e+00 1.8925898515e-04
-1.1111111111e-01 -1.0000000000e+00 2.1797885793e-04
-1.0000000000e-01 -1.0000000000e+00 2.4423185563e-04
-8.8888888889e-02 -1.0000000000e+00 2.6851094731e-04
-7.7777777778e-02 -1.0000000000e+00 2.9124270040e-04
-6.6666666667e-02 -1.0000000000e+00 3.1259336247e-04
-5.5555555556e-02 -1.0000000000e+00 3.3230249266e-04
-4.4444444444e-02 -1.0000000000e+00 3.4957586456e-04
-3.3333333333e-02 -1.0000000000e+00 3.6306207466e-04
-2.2222222222e-02 -1.0000000000e+00 3.7092530610e-04
-1.1111111111e-02 -1.0000000000e+00 3.7101195332e-04
0.0000000000e+00 -1.0000000000e+00 3.6109381581e-04
1.1111111111e-02 -1.0000000000e+00 3.3915789881e-04
2.2222222222e-02 -1.0000000000e+00 3.0370466343e-04
3.3333333333e-02 -1.0000000000e+00 2.5401417584e-04
4.4444444444e-02 -1.0000000000e+00 1.9034331733e-04
5.5555555556e-02 -1.0000000000e+00 1.1402631461e-04
6.6666666667e-02 -1.0000000000e+00 2.7463784595e-05
7.7777777778e-02 -1.0000000000e+00 6.5999816067e-05
8.8888888889e-02 -1.0000000000e+00 1.6229622790e-04
1.0000000000e-01 -1.0000000000e+00 2.5692511579e-04
1.1111111111e-01 -1.0000000000e+00 3.4528409928e-04
1.2222222222e-01 -1.0000000000e+00 4.2300106782e-04
1.3333333333e-01 -1.0000000000e+00 4.8623514608e-04
1.4444444444e-01 -1.0000000000e+00 5.3191933732e-04
1.5555555556e-01 -1.0000000000e+00 5.5792744766e-04
1.6666666667e-01 -1.0000000000e+00 5.6315864000e-04
1.7777777778e-01 -1.0000000000e+00 5.4754310302e-04
1.8888888889e-01 -1.0000000000e+00 5.1198035325e-04
2.0000000000e-01 -1.0000000000e+00 4.5822666504e-04
2.1111111111e-01 -1.0000000000e+00 3.8874975971e-04
2.2222222222e-01 -1.0000000000e+00 3.0656754746e-04
2.3333333333e-01 -1.0000000000e+00 2.1508425986e-04
2.4444444444e-01 -1.0000000000e+00 1.1793284755e-04
2.5555555556e-01 -1.0000000000e+00 1.8828148095e-05
2.6666666667e-01 -1.0000000000e+00 7.8568078223e-05
2.7777777778e-01 -1.0000000000e+00 1.7077109375e-04
2.8888888889e-01 -1.0000000000e+00 2.5458736093e-04
3.0000000000e-01 -1.0000000000e+00 3.2721933560e-04
3.1111111111e-01 -1.0000000000e+00 3.8635964130e-04
3.2222222222e-01 -1.0000000000e+00 4.3027163002e-04
3.3333333333e-01 -1.0000000000e+00 4.5785199261e-04
3.4444444444e-01 -1.0000000000e+00 4.6867055177e-04
3.5555555556e-01 -1.0000000000e+00 4.6298282571e-04
3.6666666667e-01 -1.0000000000e+00 4.4171233598e-04
3.7777777778e-01 -1.0000000000e+00 4.0640171162e-04
3.8888888889e-01 -1.0000000000e+00 3.5913406452e-04
4.0000000000e-01 -1.0000000000e+00 3.0242850101e-04
4.1111111111e-01 -1.0000000000e+00 2.3911566028e-04
4.2222222222e-01 -1.0000000000e+00 1.7220059402e-04
4.3333333333e-01 -1.0000000000e+00 1.0472100457e-04
4.4444444444e-01 -1.0000000000e+00 3.9608835112e-05
4.5555555556e-01 -1.0000000000e+00 2.0437458475e-05
4.6666666667e-01 -1.0000000000e+00 7.3063783786e-05
4.7777777778e-01 -1.0000000000e+00 1.1634974699e-04
4.8888888889e-01 -1.0000000000e+00 1.4887339057e-04
5.0000000000e-01 -1.0000000000e+00 1.6974991076e-04
5.1111111111e-01 -1.0000000000e+00 1.7864444594e-04
5.2222222222e-01 -1.0000000000e+00 1.7576033852e-04
5.3333333333e-01 -1.0000000000e+00 1.6180532943e-04
5.4444444444e-01 -1.0000000000e+00 1.3793892361e-04
5.5555555556e-01 -1.0000000000e+00 1.0570466863e-04
5.6666666667e-01 -1.0000000000e+00 6.6951332943e-05
5.7777777778e-01 -1.0000000000e+00 2.3746988538e-05
5.8888888889e-01 -1.0000000000e+00 2.1710169798e-05
6.0000000000e-01 -1.0000000000e+00 6.7180753900e-05
6.1111111111e-01 -1.0000000000e+00 1.1046976681e-04
6.2222222222e-01 -1.0000000000e+00 1.4950623025e-04
6.3333333333e-01 -1.0000000000e+00 1.8241474671e-04
6.4444444444e-01 -1.0000000000e+00 2.0757738183e-04
6.5555555556e-01 -1.0000000000e+00 2.2368471198e-04
6.6666666667e-01 -1.0000000000e+00 2.2977528865e-04
6.7777777778e-01 -1.0000000000e+00 2.2526311574e-04
6.8888888889e-01 -1.0000000000e+00 2.0995301687e-04
7.0000000000e-01 -1.0000000000e+00 1.8404399095e-04
7.1111111111e-01 -1.0000000000e+00 1.4812082585e-04
7.2222222222e-01 -1.0000000000e+00 1.0313437550e-04
7.3333333333e-01 -1.0000000000e+00 5.0371021657e-05
7.4444444444e-01 -1.0000000000e+00 8.5880458360e-06
7.5555555556e-01 -1.0000000000e+00 7.1916968657e-05
7.6666666667e-01 -1.0000000000e+00 1.3760386010e-04
7.7777777778e-01 -1.0000000000e+00 2.0351682416e-04
7.8888888889e-01 -1.0000000000e+00 2.6747597643e-04
8.0000000000e-01 -1.0000000000e+00 3.2732977594e-04
8.1111111111e-01 -1.0000000000e+00 3.8103361164e-04
8.2222222222e-01 -1.0000000000e+00 4.2672818428e-04
8.3333333333e-01 -1.0000000000e+00 4.6281481755e-04
8.4444444444e-01 -1.0000000000e+00 4.8802446467e-04
8.5555555556e-01 -1.0000000000e+00 5.0147691188e-04
8.6666666667e-01 -1.0000000000e+00 5.0272658632e-04
8.7777777778e-01 -1.0000000000e+00 4.9179152693e-04
8.8888888889e-01 -1.0000000000e+00 4.6916253210e-04
9.0000000000e-01 -1.0000000000e+00 4.3579029391e-04
9.1111111111e-01 -1.0000000000e+00 3.9304946316e-04
9.2222222222e-01 -1.0000000000e+00 3.4268001039e-04
9.3333333333e-01 -1.0000000000e+00 2.8670785553e-04
9.4444444444e-01 -1.0000000000e+00 2.2734838563e-04
9.5555555556e-01 -1.0000000000e+00 1.6689799353e-04
9.6666666667e-01 -1.0000000000e+00 1.0761996950e-04
9.7777777778e-01 -1.0000000000e+00 5.1631806503e-05
9.8888888889e-01 -1.0000000000e+00 8.0112609163e-07
1.0000000000e+00 -1.0000000000e+00 4.3343048032e-05
-1.0000000000e+00 -9.8888888889e-01 1.2955889864e-04
-9.8888888889e-01 -9.8888888889e-01 2.4009441182e-05
-9.7777777778e-01 -9.8888888889e-01 6.1829785810e-05
-9.6666666667e-01 -9.8888888889e-01 1.2968515600e-04
-9.5555555556e-01 -9.8888888889e-01 1.8152385300e-04
-9.4444444444e-01 -9.8888888889e-01 2.1941574902e-04
-9.3333333333e-01 -9.8888888889e-01 2.4541185960e-04
-9.2222222222e-01 -9.8888888889e-01 2.6144471684e-04
-9.1111111111e-01 -9.8888888889e-01 2.6925430874e-04
-9.0000000000e-01 -9.8888888889e-01 2.7034129965e-04
-8.8888888889e-01 -9.8888888889e-01 2.6594724610e-04
-8.7777777778e-01 -9.8888888889e-01 2.5705962479e-04
-8.6666666667e-01 -9.8888888889e-01 2.4443785070e-04
-8.5555555556e-01 -9.8888888889e-01 2.2865520669e-04
-8.4444444444e-01 -9.8888888889e-01 2.1015081484e-04
-8.3333333333e-01 -9.8888888889e-01 1.8928549374e-04
-8.2222222222e-01 -9.8888888889e-01 1.6639556023e-04
-8.1111111111e-01 -9.8888888889e-01 1.4183930631e-04
-8.0000000000e-01 -9.8888888889e-01 1.1603193641e-04
-7.8888888889e-01 -9.8888888889e-01 8.9466087219e-05
-7.7777777778e-01 -9.8888888889e-01 6.2716554459e-05
-7.6666666667e-01 -9.8888888889e-01 3.6429394285e-05
-7.5555555556e-01 -9.8888888889e-01 1.1297025735e-05
-7.4444444444e-01 -9.8888888889e-01 1.1977780460e-05
-7.3333333333e-01 -9.8888888889e-01 3.2725180167e-05
-7.2222222222e-01 -9.8888888889e-01 5.0354363178e-05
-7.1111111111e-01 -9.8888888889e-01 6.4397869171e-05
-7.0000000000e-01 -9.8888888889e-01 7.4549722291e-05
-6.8888888889e-01 -9.8888888889e-01 8.0693604354e-05
-6.7777777778e-01 -9.8888888889e-01 8.2918210577e-05
-6.6666666667e-01 -9.8888888889e-01 8.1518077518e-05
-6.5555555556e-01 -9.8888888889e-01 7.6979433100e-05
-6.4444444444e-01 -9.8888888889e-01 6.9951880435e-05
-6.3333333333e-01 -9.8888888889e-01 6.1207884668e-05
-6.2222222222e-01 -9.8888888889e-01 5.1592994801e-05
-6.1111111111e-01 -9.8888888889e-01 4.1970432965e-05
-6.0000000000e-01 -9.8888888889e-01 3.3164080518e-05
-5.8888888889e-01 -9.8888888889e-01 2.5903969404e-05
-5.7777777778e-01 -9.8888888889e-01 2.0778158628e-05
-5.6666666667e-01 -9.8888888889e-01 1.8194370879e-05
-5.5555555556e-01 -9.8888888889e-01 1.8354030274e-05
-5.4444444444e-01 -9.8888888889e-01 2.1240437751e-05
-5.3333333333e-01 -9.8888888889e-01 2.6621811103e-05
-5.2222222222e-01 -9.8888888889e-01 3.4068870898e-05
-5.1111111111e-01 -9.8888888889e-01 4.2985640805e-05
-5.0000000000e-01 -9.8888888889e-01 5.2651217769e-05
-4.8888888889e-01 -9.8888888889e-01 6.2269515947e-05
-4.7777777778e-01 -9.8888888889e-01 7.1023451875e-05
-4.6666666667e-01 -9.8888888889e-01 7.8129759355e-05
-4.5555555556e-01 -9.8888888889e-01 8.2890627770e-05
-4.4444444444e-01 -9.8888888889e-01 8.4738654959e-05
-4.3333333333e-01 -9.8888888889e-01 8.3272180727e-05
-4.2222222222e-01 -9.8888888889e-01 7.8278880277e-05
-4.1111111111e-01 -9.8888888889e-01 6.9746484138e-05
-4.0000000000e-01 -9.8888888889e-01 5.7860565247e-05
-3.8888888889e-01 -9.8888888889e-01 4.2990389879e-05
-3.7777777778e-01 -9.8888888889e-01 2.5664753542e-05
-3.6666666667e-01 -9.8888888889e-01 6.5404058981e-06
-3.5555555556e-01 -9.8888888889e-01 1.3633979467e-05
-3.4444444444e-01 -9.8888888889e-01 3.4055366490e-05
-3.3333333333e-01 -9.8888888889e-01 5.3902938334e-05
-3.2222222222e-01 -9.8888888889e-01 7.2371913423e-05
-3.1111111111e-01 -9.8888888889e-01 8.8703708648e-05
-3.0000000000e-01 -9.8888888889e-01 1.0221244048e-04
-2.8888888889e-01 -9.8888888889e-01 1.1230839108e-04
-2.7777777778e-01 -9.8888888889e-01 1.1851926269e-04
-2.6666666667e-01 -9.8888888889e-01 1.2050968046e-04
-2.5555555556e-01 -9.8888888889e-01 1.1809849944e-04
-2.4444444444e-01 -9.8888888889e-01 1.1127221075e-04
-2.3333333333e-01 -9.8888888889e-01 1.0019147953e-04
-2.2222222222e-01 -9.8888888889e-01 8.5187040549e-05
-2.1111111111e-01 -9.8888888889e-01 6.6741290168e-05
-2.0000000000e-01 -9.8888888889e-01 4.5453264739e-05
-1.8888888889e-01 -9.8888888889e-01 2.1987333529e-05
-1.7777777778e-01 -9.8888888889e-01 2.9904608124e-06
-1.6666666667e-01 -9.8888888889e-01 2.8880593009e-05
-1.5555555556e-01 -9.8888888889e-01 5.5211727995e-05
-1.4444444444e-01 -9.8888888889e-01 8.1683257007e-05
-1.3333333333e-01 -9.8888888889e-01 1.0817695901e-04
-1.2222222222e-01 -9.8888888889e-01 1.3472971847e-04
-1.1111111111e-01 -9.8888888889e-01 1.6146540330e-04
-1.0000000000e-01 -9.8888888889e-01 1.8849175271e-04
-8.8888888889e-02 -9.8888888889e-01 2.1577600394e-04
-7.7777777778e-02 -9.8888888889e-01 2.4301933747e-04
-6.6666666667e-02 -9.8888888889e-01 2.6955352418e-04
-5.5555555556e-02 -9.8888888889e-01 2.9428241032e-04
-4.4444444444e-02 -9.8888888889e-01 3.1568584969e-04
-3.3333333333e-02 -9.8888888889e-01 3.3189503367e-04
-2.2222222222e-02 -9.8888888889e-01 3.4083729100e-04
-1.1111111111e-02 -9.8888888889e-01 3.4043721764e-04
0.0000000000e+00 -9.8888888889e-01 3.2885142321e-04
1.1111111111e-02 -9.8888888889e-01 3.0470789440e-04
