x y value
-1.0000000000e+00 -1.0000000000e+00 9.6798446361e-05
-9.8888888889e-01 -1.0000000000e+00 1.3022744540e-04
-9.7777777778e-01 -1.0000000000e+00 2.7454799953e-04
-9.6666666667e-01 -1.0000000000e+00 3.4707315338e-04
-9.5555555556e-01 -1.0000000000e+00 3.6062191305e-04
-9.4444444444e-01 -1.0000000000e+00 3.2896365509e-04
-9.3333333333e-01 -1.0000000000e+00 2.6595881493e-04
-9.2222222222e-01 -1.0000000000e+00 1.8482606775e-04
-9.1111111111e-01 -1.0000000000e+00 9.7551412405e-05
-9.0000000000e-01 -1.0000000000e+00 1.4444544179e-05
-8.8888888889e-01 -1.0000000000e+00 5.6160040050e-05
-8.7777777778e-01 -1.0000000000e+00 1.0806564454e-04
-8.6666666667e-01 -1.0000000000e+00 1.3725223991e-04
-8.5555555556e-01 -1.0000000000e+00 1.4180688117e-04
-8.4444444444e-01 -1.0000000000e+00 1.2176269588e-04
-8.3333333333e-01 -1.0000000000e+00 7.8864457910e-05
-8.2222222222e-01 -1.0000000000e+00 1.6279202881e-05
-8.1111111111e-01 -1.0000000000e+00 6.1729699840e-05
-8.0000000000e-01 -1.0000000000e+00 1.5014711254e-04
-7.8888888889e-01 -1.0000000000e+00 2.4355241375e-04
-7.7777777778e-01 -1.0000000000e+00 3.3645205666e-04
-7.6666666667e-01 -1.0000000000e+00 4.2358489354e-04
-7.5555555556e-01 -1.0000000000e+00 5.0018910073e-04
-7.4444444444e-01 -1.0000000000e+00 5.6222219001e-04
-7.3333333333e-01 -1.0000000000e+00 6.0652841966e-04
-7.2222222222e-01 -1.0000000000e+00 6.3095077022e-04
-7.1111111111e-01 -1.0000000000e+00 6.3438736426e-04
-7.0000000000e-01 -1.0000000000e+00 6.1679463656e-04
-6.8888888889e-01 -1.0000000000e+00 5.7914157603e-04
-6.7777777778e-01 -1.0000000000e+00 5.2332088559e-04
-6.6666666667e-01 -1.0000000000e+00 4.5202391540e-04
-6.5555555556e-01 -1.0000000000e+00 3.6858675823e-04
-6.4444444444e-01 -1.0000000000e+00 2.7681504632e-04
-6.3333333333e-01 -1.0000000000e+00 1.8079489369e-04
-6.2222222222e-01 -1.0000000000e+00 8.4697235478e-05
-6.1111111111e-01 -1.0000000000e+00 7.4173410303e-06
-6.0000000000e-01 -1.0000000000e+00 9.1786223015e-05
-5.8888888889e-01 -1.0000000000e+00 1.6511773626e-04
-5.7777777778e-01 -1.0000000000e+00 2.2474223441e-04
-5.6666666667e-01 -1.0000000000e+00 2.6873415346e-04
-5.5555555556e-01 -1.0000000000e+00 2.9599828290e-04
-5.4444444444e-01 -1.0000000000e+00 3.0631448257e-04
-5.3333333333e-01 -1.0000000000e+00 3.0033676293e-04
-5.2222222222e-01 -1.0000000000e+00 2.7954507333e-04
-5.1111111111e-01 -1.0000000000e+00 2.4615118959e-04
-5.0000000000e-01 -1.0000000000e+00 2.0296348792e-04
-4.8888888889e-01 -1.0000000000e+00 1.5321874904e-04
-4.7777777778e-01 -1.0000000000e+00 1.0039200895e-04
-4.6666666667e-01 -1.0000000000e+00 4.7997435238e-05
-4.5555555556e-01 -1.0000000000e+00 6.0606425045e-07
-4.4444444444e-01 -1.0000000000e+00 4.2391460548e-05
-4.3333333333e-01 -1.0000000000e+00 7.4811432184e-05
-4.2222222222e-01 -1.0000000000e+00 9.5909523135e-05
-4.1111111111e-01 -1.0000000000e+00 1.0439060082e-04
-4.0000000000e-01 -1.0000000000e+00 9.9650644979e-05
-3.8888888889e-01 -1.0000000000e+00 8.1769638456e-05
-3.7777777778e-01 -1.0000000000e+00 5.1474275295e-05
-3.6666666667e-01 -1.0000000000e+00 1.0078991406e-05
-3.5555555556e-01 -1.0000000000e+00 4.0585736237e-05
-3.4444444444e-01 -1.0000000000e+00 9.8249796651e-05
-3.3333333333e-01 -1.0000000000e+00 1.6027864619e-04
-3.2222222222e-01 -1.0000000000e+00 2.2374437381e-04
-3.1111111111e-01 -1.0000000000e+00 2.8549310837e-04
-3.0000000000e-01 -1.0000000000e+00 3.4221257305e-04
-2.8888888889e-01 -1.0000000000e+00 3.9050631386e-04
-2.7777777778e-01 -1.0000000000e+00 4.2698275986e-04
-2.6666666667e-01 -1.0000000000e+00 4.4836741141e-04
-2.5555555556e-01 -1.0000000000e+00 4.5164482830e-04
-2.4444444444e-01 -1.0000000000e+00 4.3423359678e-04
