x y value
-1.0000000000e+00 -1.0000000000e+00 5.9971059707e-04
-9.8888888889e-01 -1.0000000000e+00 7.4731151000e-04
-9.7777777778e-01 -1.0000000000e+00 8.5711360699e-04
-9.6666666667e-01 -1.0000000000e+00 9.3225289610e-04
-9.5555555556e-01 -1.0000000000e+00 9.7596982707e-04
-9.4444444444e-01 -1.0000000000e+00 9.9154720361e-04
-9.3333333333e-01 -1.0000000000e+00 9.8226128648e-04
-9.2222222222e-01 -1.0000000000e+00 9.5134365495e-04
-9.1111111111e-01 -1.0000000000e+00 9.0195094899e-04
-9.0000000000e-01 -1.0000000000e+00 8.3713972768e-04
-8.8888888889e-01 -1.0000000000e+00 7.5984420272e-04
-8.7777777778e-01 -1.0000000000e+00 6.7285536267e-04
-8.6666666667e-01 -1.0000000000e+00 5.7880082145e-04
-8.5555555556e-01 -1.0000000000e+00 4.8012546434e-04
-8.4444444444e-01 -1.0000000000e+00 3.7907353056e-04
-8.3333333333e-01 -1.0000000000e+00 2.7767311498e-04
-8.2222222222e-01 -1.0000000000e+00 1.7772418605e-04
-8.1111111111e-01 -1.0000000000e+00 8.0791126351e-05
-8.0000000000e-01 -1.0000000000e+00 1.1799449164e-05
-7.8888888889e-01 -1.0000000000e+00 9.8955201645e-05
-7.7777777778e-01 -1.0000000000e+00 1.7980892049e-04
-7.6666666667e-01 -1.0000000000e+00 2.5370415337e-04
-7.5555555556e-01 -1.0000000000e+00 3.2017642834e-04
-7.4444444444e-01 -1.0000000000e+00 3.7893119261e-04
-7.3333333333e-01 -1.0000000000e+00 4.2981980966e-04
-7.2222222222e-01 -1.0000000000e+00 4.7281506523e-04
-7.1111111111e-01 -1.0000000000e+00 5.0798762402e-04
-7.0000000000e-01 -1.0000000000e+00 5.3548475382e-04
-6.8888888889e-01 -1.0000000000e+00 5.5551239801e-04
-6.7777777778e-01 -1.0000000000e+00 5.6832134662e-04
-6.6666666667e-01 -1.0000000000e+00 5.7419785494e-04
-6.5555555556e-01 -1.0000000000e+00 5.7345861815e-04
-6.4444444444e-01 -1.0000000000e+00 5.6644957151e-04
-6.3333333333e-01 -1.0000000000e+00 5.5354759071e-04
-6.2222222222e-01 -1.0000000000e+00 5.3516386133e-04
-6.1111111111e-01 -1.0000000000e+00 5.1174750715e-04
-6.0000000000e-01 -1.0000000000e+00 4.8378804433e-04
-5.8888888889e-01 -1.0000000000e+00 4.5181537208e-04
-5.7777777778e-01 -1.0000000000e+00 4.1639631521e-04
-5.6666666667e-01 -1.0000000000e+00 3.7812717008e-04
-5.5555555556e-01 -1.0000000000e+00 3.3762222799e-04
-5.4444444444e-01 -1.0000000000e+00 2.9549879845e-04
-5.3333333333e-01 -1.0000000000e+00 2.5235976276e-04
-5.2222222222e-01 -1.0000000000e+00 2.0877509383e-04
-5.1111111111e-01 -1.0000000000e+00 1.6526402760e-04
-5.0000000000e-01 -1.0000000000e+00 1.2227963404e-04
-4.8888888889e-01 -1.0000000000e+00 8.0197399521e-05
-4.7777777778e-01 -1.0000000000e+00 3.9309112902e-05
-4.6666666667e-01 -1.0000000000e+00 1.7712034306e-07
-4.5555555556e-01 -1.0000000000e+00 3.8130476674e-05
-4.4444444444e-01 -1.0000000000e+00 7.4484969374e-05
-4.3333333333e-01 -1.0000000000e+00 1.0922188344e-04
-4.2222222222e-01 -1.0000000000e+00 1.4234851714e-04
-4.1111111111e-01 -1.0000000000e+00 1.7387503868e-04
-4.0000000000e-01 -1.0000000000e+00 2.0379149669e-04
-3.8888888889e-01 -1.0000000000e+00 2.3204708356e-04
-3.7777777778e-01 -1.0000000000e+00 2.5853363735e-04
-3.6666666667e-01 -1.0000000000e+00 2.8307508519e-04
-3.5555555556e-01 -1.0000000000e+00 3.0542409519e-04
-3.4444444444e-01 -1.0000000000e+00 3.2526663849e-04
-3.3333333333e-01 -1.0000000000e+00 3.4223450212e-04
