x y value
-1.0000000000e+00 -1.0000000000e+00 -6.6727758325e-01
-9.8888888889e-01 -1.0000000000e+00 -6.6347463506e-01
-9.7777777778e-01 -1.0000000000e+00 -6.5964406421e-01
-9.6666666667e-01 -1.0000000000e+00 -6.5579359528e-01
-9.5555555556e-01 -1.0000000000e+00 -6.5193111601e-01
-9.4444444444e-01 -1.0000000000e+00 -6.4806461311e-01
-9.3333333333e-01 -1.0000000000e+00 -6.4420210649e-01
-9.2222222222e-01 -1.0000000000e+00 -6.4035158269e-01
-9.1111111111e-01 -1.0000000000e+00 -6.3652092910e-01
-9.0000000000e-01 -1.0000000000e+00 -6.3271786976e-01
-8.8888888889e-01 -1.0000000000e+00 -6.2894990408e-01
-8.7777777778e-01 -1.0000000000e+00 -6.2522424936e-01
-8.6666666667e-01 -1.0000000000e+00 -6.2154778809e-01
-8.5555555556e-01 -1.0000000000e+00 -6.1792702069e-01
-8.4444444444e-01 -1.0000000000e+00 -6.1436802449e-01
-8.3333333333e-01 -1.0000000000e+00 -6.1087641918e-01
-8.2222222222e-01 -1.0000000000e+00 -6.0745733917e-01
-8.1111111111e-01 -1.0000000000e+00 -6.0411541296e-01
-8.0000000000e-01 -1.0000000000e+00 -6.0085474934e-01
-7.8888888889e-01 -1.0000000000e+00 -5.9767893043e-01
-7.7777777778e-01 -1.0000000000e+00 -5.9459101111e-01
-7.6666666667e-01 -1.0000000000e+00 -5.9159352438e-01
-7.5555555556e-01 -1.0000000000e+00 -5.8868849227e-01
-7.4444444444e-01 -1.0000000000e+00 -5.8587744157e-01
-7.3333333333e-01 -1.0000000000e+00 -5.8316142376e-01
-7.2222222222e-01 -1.0000000000e+00 -5.8054103862e-01
-7.1111111111e-01 -1.0000000000e+00 -5.7801646062e-01
-7.0000000000e-01 -1.0000000000e+00 -5.7558746762e-01
-6.8888888889e-01 -1.0000000000e+00 -5.7325347122e-01
-6.7777777778e-01 -1.0000000000e+00 -5.7101354808e-01
-6.6666666667e-01 -1.0000000000e+00 -5.6886647180e-01
-6.5555555556e-01 -1.0000000000e+00 -5.6681074468e-01
-6.4444444444e-01 -1.0000000000e+00 -5.6484462925e-01
-6.3333333333e-01 -1.0000000000e+00 -5.6296617880e-01
-6.2222222222e-01 -1.0000000000e+00 -5.6117326694e-01
-6.1111111111e-01 -1.0000000000e+00 -5.5946361577e-01
-6.0000000000e-01 -1.0000000000e+00 -5.5783482248e-01
-5.8888888889e-01 -1.0000000000e+00 -5.5628438430e-01
-5.7777777778e-01 -1.0000000000e+00 -5.5480972159e-01
-5.6666666667e-01 -1.0000000000e+00 -5.5340819914e-01
-5.5555555556e-01 -1.0000000000e+00 -5.5207714562e-01
-5.4444444444e-01 -1.0000000000e+00 -5.5081387107e-01
-5.3333333333e-01 -1.0000000000e+00 -5.4961568268e-01
-5.2222222222e-01 -1.0000000000e+00 -5.4847989874e-01
-5.1111111111e-01 -1.0000000000e+00 -5.4740386092e-01
-5.0000000000e-01 -1.0000000000e+00 -5.4638494493e-01
-4.8888888889e-01 -1.0000000000e+00 -5.4542056973e-01
-4.7777777778e-01 -1.0000000000e+00 -5.4450820519e-01
-4.6666666667e-01 -1.0000000000e+00 -5.4364537865e-01
-4.5555555556e-01 -1.0000000000e+00 -5.4282968007e-01
-4.4444444444e-01 -1.0000000000e+00 -5.4205876628e-01
-4.3333333333e-01 -1.0000000000e+00 -5.4133036407e-01
-4.2222222222e-01 -1.0000000000e+00 -5.4064227246e-01
-4.1111111111e-01 -1.0000000000e+00 -5.3999236423e-01
-4.0000000000e-01 -1.0000000000e+00 -5.3937858660e-01
-3.8888888889e-01 -1.0000000000e+00 -5.3879896137e-01
-3.7777777778e-01 -1.0000000000e+00 -5.3825158447e-01
-3.6666666667e-01 -1.0000000000e+00 -5.3773462507e-01
-3.5555555556e-01 -1.0000000000e+00 -5.3724632417e-01
