x y value
-1.0000000000e+00 -1.0000000000e+00 -5.5843213830e-03
-9.8888888889e-01 -1.0000000000e+00 7.2804369939e-03
-9.7777777778e-01 -1.0000000000e+00 2.0102164704e-02
-9.6666666667e-01 -1.0000000000e+00 3.2862957985e-02
-9.5555555556e-01 -1.0000000000e+00 4.5544788374e-02
-9.4444444444e-01 -1.0000000000e+00 5.8129510533e-02
-9.3333333333e-01 -1.0000000000e+00 7.0598869112e-02
-9.2222222222e-01 -1.0000000000e+00 8.2934504541e-02
-9.1111111111e-01 -1.0000000000e+00 9.5117957701e-02
-9.0000000000e-01 -1.0000000000e+00 1.0713067338e-01
-8.8888888889e-01 -1.0000000000e+00 1.1895400243e-01
-8.7777777778e-01 -1.0000000000e+00 1.3056920254e-01
-8.6666666667e-01 -1.0000000000e+00 1.4195743758e-01
-8.5555555556e-01 -1.0000000000e+00 1.5309977538e-01
-8.4444444444e-01 -1.0000000000e+00 1.6397718390e-01
-8.3333333333e-01 -1.0000000000e+00 1.7457052566e-01
-8.2222222222e-01 -1.0000000000e+00 1.8486055049e-01
-8.1111111111e-01 -1.0000000000e+00 1.9482788635e-01
-8.0000000000e-01 -1.0000000000e+00 2.0445302831e-01
-7.8888888889e-01 -1.0000000000e+00 2.1371632552e-01
-7.7777777778e-01 -1.0000000000e+00 2.2259796622e-01
-7.6666666667e-01 -1.0000000000e+00 2.3107796074e-01
-7.5555555556e-01 -1.0000000000e+00 2.3913612238e-01
-7.4444444444e-01 -1.0000000000e+00 2.4675204641e-01
-7.3333333333e-01 -1.0000000000e+00 2.5390508693e-01
-7.2222222222e-01 -1.0000000000e+00 2.6057433187e-01
-7.1111111111e-01 -1.0000000000e+00 2.6673857624e-01
-7.0000000000e-01 -1.0000000000e+00 2.7237629355e-01
-6.8888888889e-01 -1.0000000000e+00 2.7746560592e-01
-6.7777777778e-01 -1.0000000000e+00 2.8198425280e-01
-6.6666666667e-01 -1.0000000000e+00 2.8590955893e-01
-6.5555555556e-01 -1.0000000000e+00 2.8921840170e-01
-6.4444444444e-01 -1.0000000000e+00 2.9188717853e-01
-6.3333333333e-01 -1.0000000000e+00 2.9389177480e-01
-6.2222222222e-01 -1.0000000000e+00 2.9520753312e-01
-6.1111111111e-01 -1.0000000000e+00 2.9580922463e-01
-6.0000000000e-01 -1.0000000000e+00 2.9567102355e-01
-5.8888888889e-01 -1.0000000000e+00 2.9476648586e-01
-5.7777777778e-01 -1.0000000000e+00 2.9306853376e-01
-5.6666666667e-01 -1.0000000000e+00 2.9054944715e-01
-5.5555555556e-01 -1.0000000000e+00 2.8718086416e-01
-5.4444444444e-01 -1.0000000000e+00 2.8293379266e-01
-5.3333333333e-01 -1.0000000000e+00 2.7777863498e-01
-5.2222222222e-01 -1.0000000000e+00 2.7168522851e-01
-5.1111111111e-01 -1.0000000000e+00 2.6462290499e-01
-5.0000000000e-01 -1.0000000000e+00 2.5656057176e-01
-4.8888888889e-01 -1.0000000000e+00 2.4746681835e-01
-4.7777777778e-01 -1.0000000000e+00 2.3731005228e-01
-4.6666666667e-01 -1.0000000000e+00 2.2605866823e-01
-4.5555555556e-01 -1.0000000000e+00 2.1368125485e-01
-4.4444444444e-01 -1.0000000000e+00 2.0014684396e-01
-4.3333333333e-01 -1.0000000000e+00 1.8542520678e-01
-4.2222222222e-01 -1.0000000000e+00 1.6948720207e-01
-4.1111111111e-01 -1.0000000000e+00 1.5230518105e-01
-4.0000000000e-01 -1.0000000000e+00 1.3385345360e-01
-3.8888888889e-01 -1.0000000000e+00 1.1410881987e-01
-3.7777777778e-01 -1.0000000000e+00 9.3051170992e-02
-3.6666666667e-01 -1.0000000000e+00 7.0664161247e-02
-3.5555555556e-01 -1.0000000000e+00 4.6935953181e-02
-3.4444444444e-01 -1.0000000000e+00 2.1860035127e-02
-3.3333333333e-01 -1.0000000000e+00 -4.5638913425e-03
-3.2222222222e-01 -1.0000000000e+00 -3.2328959192e-02
-3.1111111111e-01 -1.0000000000e+00 -6.1420127252e-02
-3.0000000000e-01 -1.0000000000e+00 -9.1813127057e-02
-2.8888888889e-01 -1.0000000000e+00 -1.2347338136e-01
-2.7777777778e-01 -1.0000000000e+00 -1.5635491516e-01
-2.6666666667e-01 -1.0000000000e+00 -1.9039928504e-01
-2.5555555556e-01 -1.0000000000e+00 -2.2553455798e-01
-2.4444444444e-01 -1.0000000000e+00 -2.6167437593e-01
-2.3333333333e-01 -1.0000000000e+00 -2.9871714753e-01
-2.2222222222e-01 -1.0000000000e+00 -3.3654541278e-01
-2.1111111111e-01 -1.0000000000e+00 -3.7502542975e-01
-2.0000000000e-01 -1.0000000000e+00 -4.1400703447e-01
-1.8888888889e-01 -1.0000000000e+00 -4.5332382524e-01
-1.7777777778e-01 -1.0000000000e+00 -4.9279371982e-01
-1.6666666667e-01 -1.0000000000e+00 -5.3221992913e-01
-1.5555555556e-01 -1.0000000000e+00 -5.7139238234e-01
-1.4444444444e-01 -1.0000000000e+00 -6.1008962634e-01
-1.3333333333e-01 -1.0000000000e+00 -6.4808120749e-01
-1.2222222222e-01 -1.0000000000e+00 -6.8513052483e-01
-1.1111111111e-01 -1.0000000000e+00 -7.2099812323e-01
-1.0000000000e-01 -1.0000000000e+00 -7.5544537219e-01
-8.8888888889e-02 -1.0000000000e+00 -7.8823845252e-01
-7.7777777778e-02 -1.0000000000e+00 -8.1915255139e-01
-6.6666666667e-02 -1.0000000000e+00 -8.4797614588e-01
-5.5555555556e-02 -1.0000000000e+00 -8.7451523986e-01
-4.4444444444e-02 -1.0000000000e+00 -8.9859740905e-01
-3.3333333333e-02 -1.0000000000e+00 -9.2007550595e-01
-2.2222222222e-02 -1.0000000000e+00 -9.3883088160e-01
-1.1111111111e-02 -1.0000000000e+00 -9.5477599369e-01
0.0000000000e+00 -1.0000000000e+00 -9.6785629198e-01
1.1111111111e-02 -1.0000000000e+00 -9.7805129933e-01
2.2222222222e-02 -1.0000000000e+00 -9.8537484007e-01
3.3333333333e-02 -1.0000000000e+00 -9.8987440373e-01
4.4444444444e-02 -1.0000000000e+00 -9.9162966947e-01
5.5555555556e-02 -1.0000000000e+00 -9.9075025232e-01
6.6666666667e-02 -1.0000000000e+00 -9.8737276429e-01
7.7777777778e-02 -1.0000000000e+00 -9.8165730951e-01
8.8888888889e-02 -1.0000000000e+00 -9.7378355133e-01
1.0000000000e-01 -1.0000000000e+00 -9.6394650009e-01
1.1111111111e-01 -1.0000000000e+00 -9.5235217256e-01
1.2222222222e-01 -1.0000000000e+00 -9.3921326876e-01
1.3333333333e-01 -1.0000000000e+00 -9.2474499961e-01
1.4444444444e-01 -1.0000000000e+00 -9.0916118114e-01
1.5555555556e-01 -1.0000000000e+00 -8.9267068945e-01
1.6666666667e-01 -1.0000000000e+00 -8.7547434719e-01
1.7777777778e-01 -1.0000000000e+00 -8.5776228795e-01
1.8888888889e-01 -1.0000000000e+00 -8.3971182203e-01
2.0000000000e-01 -1.0000000000e+00 -8.2148580570e-01
2.1111111111e-01 -1.0000000000e+00 -8.0323149812e-01
2.2222222222e-01 -1.0000000000e+00 -7.8507987518e-01
2.3333333333e-01 -1.0000000000e+00 -7.6714535818e-01
2.4444444444e-01 -1.0000000000e+00 -7.4952590812e-01
2.5555555556e-01 -1.0000000000e+00 -7.3230343154e-01
2.6666666667e-01 -1.0000000000e+00 -7.1554444278e-01
2.7777777778e-01 -1.0000000000e+00 -6.9930092847e-01
2.8888888889e-01 -1.0000000000e+00 -6.8361136282e-01
3.0000000000e-01 -1.0000000000e+00 -6.6850182671e-01
3.1111111111e-01 -1.0000000000e+00 -6.5398718868e-01
3.2222222222e-01 -1.0000000000e+00 -6.4007231161e-01
3.3333333333e-01 -1.0000000000e+00 -6.2675325467e-01
3.4444444444e-01 -1.0000000000e+00 -6.1401844594e-01
3.5555555556e-01 -1.0000000000e+00 -6.0184980614e-01
3.6666666667e-01 -1.0000000000e+00 -5.9022380924e-01
3.7777777778e-01 -1.0000000000e+00 -5.7911246968e-01
3.8888888889e-01 -1.0000000000e+00 -5.6848424984e-01
4.0000000000e-01 -1.0000000000e+00 -5.5830488459e-01
4.1111111111e-01 -1.0000000000e+00 -5.4853812216e-01
4.2222222222e-01 -1.0000000000e+00 -5.3914638280e-01
4.3333333333e-01 -1.0000000000e+00 -5.3009133814e-01
4.4444444444e-01 -1.0000000000e+00 -5.2133441541e-01
4.5555555556e-01 -1.0000000000e+00 -5.1283723133e-01
4.6666666667e-01 -1.0000000000e+00 -5.0456196117e-01
4.7777777778e-01 -1.0000000000e+00 -4.9647164859e-01
4.8888888889e-01 -1.0000000000e+00 -4.8853046185e-01
5.0000000000e-01 -1.0000000000e+00 -4.8070390221e-01
5.1111111111e-01 -1.0000000000e+00 -4.7295896969e-01
5.2222222222e-01 -1.0000000000e+00 -4.6526429146e-01
5.3333333333e-01 -1.0000000000e+00 -4.5759021751e-01
5.4444444444e-01 -1.0000000000e+00 -4.4990888809e-01
5.5555555556e-01 -1.0000000000e+00 -4.4219427682e-01
5.6666666667e-01 -1.0000000000e+00 -4.3442221318e-01
5.7777777778e-01 -1.0000000000e+00 -4.2657038757e-01
5.8888888889e-01 -1.0000000000e+00 -4.1861834180e-01
6.0000000000e-01 -1.0000000000e+00 -4.1054744758e-01
6.1111111111e-01 -1.0000000000e+00 -4.0234087521e-01
6.2222222222e-01 -1.0000000000e+00 -3.9398355441e-01
6.3333333333e-01 -1.0000000000e+00 -3.8546212885e-01
6.4444444444e-01 -1.0000000000e+00 -3.7676490604e-01
6.5555555556e-01 -1.0000000000e+00 -3.6788180345e-01
6.6666666667e-01 -1.0000000000e+00 -3.5880429222e-01
6.7777777778e-01 -1.0000000000e+00 -3.4952533906e-01
6.8888888889e-01 -1.0000000000e+00 -3.4003934716e-01
7.0000000000e-01 -1.0000000000e+00 -3.3034209675e-01
7.1111111111e-01 -1.0000000000e+00 -3.2043068559e-01
7.2222222222e-01 -1.0000000000e+00 -3.1030347002e-01
7.3333333333e-01 -1.0000000000e+00 -2.9996000662e-01
7.4444444444e-01 -1.0000000000e+00 -2.8940099492e-01
7.5555555556e-01 -1.0000000000e+00 -2.7862822122e-01
7.6666666667e-01 -1.0000000000e+00 -2.6764450365e-01
7.7777777778e-01 -1.0000000000e+00 -2.5645363861e-01
7.8888888889e-01 -1.0000000000e+00 -2.4506034860e-01
8.0000000000e-01 -1.0000000000e+00 -2.3347023150e-01
8.1111111111e-01 -1.0000000000e+00 -2.2168971126e-01
8.2222222222e-01 -1.0000000000e+00 -2.0972599005e-01
8.3333333333e-01 -1.0000000000e+00 -1.9758700181e-01
8.4444444444e-01 -1.0000000000e+00 -1.8528136713e-01
8.5555555556e-01 -1.0000000000e+00 -1.7281834955e-01
8.6666666667e-01 -1.0000000000e+00 -1.6020781304e-01
8.7777777778e-01 -1.0000000000e+00 -1.4746018079e-01
8.8888888889e-01 -1.0000000000e+00 -1.3458639517e-01
9.0000000000e-01 -1.0000000000e+00 -1.2159787877e-01
9.1111111111e-01 -1.0000000000e+00 -1.0850649658e-01
9.2222222222e-01 -1.0000000000e+00 -9.5324519174e-02
9.3333333333e-01 -1.0000000000e+00 -8.2064586840e-02
9.4444444444e-01 -1.0000000000e+00 -6.8739674691e-02
9.5555555556e-01 -1.0000000000e+00 -5.5363058616e-02
9.6666666667e-01 -1.0000000000e+00 -4.1948282086e-02
9.7777777778e-01 -1.0000000000e+00 -2.8509123762e-02
9.8888888889e-01 -1.0000000000e+00 -1.5059565856e-02
1.0000000000e+00 -1.0000000000e+00 -1.6137632296e-03
-1.0000000000e+00 -9.8888888889e-01 -5.9912145420e-03
-9.8888888889e-01 -9.8888888889e-01 6.8436615440e-03
-9.7777777778e-01 -9.8888888889e-01 1.9633525386e-02
-9.6666666667e-01 -9.8888888889e-01 3.2360343512e-02
-9.5555555556e-01 -9.8888888889e-01 4.5005945992e-02
-9.4444444444e-01 -9.8888888889e-01 5.7552033461e-02
-9.3333333333e-01 -9.8888888889e-01 6.9980183118e-02
-9.2222222222e-01 -9.8888888889e-01 8.2271853607e-02
-9.1111111111e-01 -9.8888888889e-01 9.4408388711e-02
-9.0000000000e-01 -9.8888888889e-01 1.0637101977e-01
-8.8888888889e-01 -9.8888888889e-01 1.1814086676e-01
-8.7777777778e-01 -9.8888888889e-01 1.2969893791e-01
-8.6666666667e-01 -9.8888888889e-01 1.4102612779e-01
-8.5555555556e-01 -9.8888888889e-01 1.5210321389e-01
-8.4444444444e-01 -9.8888888889e-01 1.6291085136e-01
-8.3333333333e-01 -9.8888888889e-01 1.7342956617e-01
-8.2222222222e-01 -9.8888888889e-01 1.8363974630e-01
-8.1111111111e-01 -9.8888888889e-01 1.9352163117e-01
-8.0000000000e-01 -9.8888888889e-01 2.0305529901e-01
-7.8888888889e-01 -9.8888888889e-01 2.1222065235e-01
-7.7777777778e-01 -9.8888888889e-01 2.2099740142e-01
-7.6666666667e-01 -9.8888888889e-01 2.2936504557e-01
-7.5555555556e-01 -9.8888888889e-01 2.3730285265e-01
-7.4444444444e-01 -9.8888888889e-01 2.4478983642e-01
-7.3333333333e-01 -9.8888888889e-01 2.5180473202e-01
-7.2222222222e-01 -9.8888888889e-01 2.5832596963e-01
-7.1111111111e-01 -9.8888888889e-01 2.6433164649e-01
-7.0000000000e-01 -9.8888888889e-01 2.6979949732e-01
-6.8888888889e-01 -9.8888888889e-01 2.7470686369e-01
-6.7777777778e-01 -9.8888888889e-01 2.7903066226e-01
-6.6666666667e-01 -9.8888888889e-01 2.8274735268e-01
-6.5555555556e-01 -9.8888888889e-01 2.8583290533e-01
-6.4444444444e-01 -9.8888888889e-01 2.8826276970e-01
-6.3333333333e-01 -9.8888888889e-01 2.9001184395e-01
-6.2222222222e-01 -9.8888888889e-01 2.9105444668e-01
-6.1111111111e-01 -9.8888888889e-01 2.9136429165e-01
-6.0000000000e-01 -9.8888888889e-01 2.9091446688e-01
-5.8888888889e-01 -9.8888888889e-01 2.8967741924e-01
-5.7777777778e-01 -9.8888888889e-01 2.8762494624e-01
-5.6666666667e-01 -9.8888888889e-01 2.8472819673e-01
-5.5555555556e-01 -9.8888888889e-01 2.8095768251e-01
-5.4444444444e-01 -9.8888888889e-01 2.7628330317e-01
-5.3333333333e-01 -9.8888888889e-01 2.7067438684e-01
-5.2222222222e-01 -9.8888888889e-01 2.6409974948e-01
-5.1111111111e-01 -9.8888888889e-01 2.5652777612e-01
-5.0000000000e-01 -9.8888888889e-01 2.4792652748e-01
-4.8888888889e-01 -9.8888888889e-01 2.3826387575e-01
-4.7777777778e-01 -9.8888888889e-01 2.2750767367e-01
-4.6666666667e-01 -9.8888888889e-01 2.1562596131e-01
-4.5555555556e-01 -9.8888888889e-01 2.0258721514e-01
-4.4444444444e-01 -9.8888888889e-01 1.8836064416e-01
-4.3333333333e-01 -9.8888888889e-01 1.7291653794e-01
-4.2222222222e-01 -9.8888888889e-01 1.5622667140e-01
-4.1111111111e-01 -9.8888888889e-01 1.3826477082e-01
-4.0000000000e-01 -9.8888888889e-01 1.1900704530e-01
-3.8888888889e-01 -9.8888888889e-01 9.8432787250e-02
-3.7777777778e-01 -9.8888888889e-01 7.6525044332e-02
-3.6666666667e-01 -9.8888888889e-01 5.3271364279e-02
-3.5555555556e-01 -9.8888888889e-01 2.8664612112e-02
-3.4444444444e-01 -9.8888888889e-01 2.7038572484e-03
-3.3333333333e-01 -9.8888888889e-01 -2.4604674674e-02
-3.2222222222e-01 -9.8888888889e-01 -5.3246593511e-02
-3.1111111111e-01 -9.8888888889e-01 -8.3198291845e-02
-3.0000000000e-01 -9.8888888889e-01 -1.1442586384e-01
-2.8888888889e-01 -9.8888888889e-01 -1.4688401650e-01
-2.7777777778e-01 -9.8888888889e-01 -1.8051499905e-01
-2.6666666667e-01 -9.8888888889e-01 -2.1524758155e-01
-2.5555555556e-01 -9.8888888889e-01 -2.5099611884e-01
-2.4444444444e-01 -9.8888888889e-01 -2.8765974110e-01
-2.3333333333e-01 -9.8888888889e-01 -3.2512171676e-01
-2.2222222222e-01 -9.8888888889e-01 -3.6324903652e-01
-2.1111111111e-01 -9.8888888889e-01 -4.0189226976e-01
-2.0000000000e-01 -9.8888888889e-01 -4.4088574403e-01
-1.8888888889e-01 -9.8888888889e-01 -4.8004809640e-01
-1.7777777778e-01 -9.8888888889e-01 -5.1918324012e-01
-1.6666666667e-01 -9.8888888889e-01 -5.5808178127e-01
-1.5555555556e-01 -9.8888888889e-01 -5.9652290887e-01
-1.4444444444e-01 -9.8888888889e-01 -6.3427676630e-01
-1.3333333333e-01 -9.8888888889e-01 -6.7110729360e-01
-1.2222222222e-01 -9.8888888889e-01 -7.0677550964e-01
-1.1111111111e-01 -9.8888888889e-01 -7.4104318014e-01
-1.0000000000e-01 -9.8888888889e-01 -7.7367679468e-01
-8.8888888889e-02 -9.8888888889e-01 -8.0445175350e-01
-7.7777777778e-02 -9.8888888889e-01 -8.3315664500e-01
-6.6666666667e-02 -9.8888888889e-01 -8.5959747932e-01
-5.5555555556e-02 -9.8888888889e-01 -8.8360173317e-01
-4.4444444444e-02 -9.8888888889e-01 -9.0502205807e-01
-3.3333333333e-02 -9.8888888889e-01 -9.2373950885e-01
-2.2222222222e-02 -9.8888888889e-01 -9.3966616199e-01
-1.1111111111e-02 -9.8888888889e-01 -9.5274701431e-01
0.0000000000e+00 -9.8888888889e-01 -9.6296107969e-01
1.1111111111e-02 -9.8888888889e-01 -9.7032163501e-01
2.2222222222e-02 -9.8888888889e-01 -9.7487560216e-01
3.3333333333e-02 -9.8888888889e-01 -9.7670209079e-01
4.4444444444e-02 -9.8888888889e-01 -9.7591016180e-01
5.5555555556e-02 -9.8888888889e-01 -9.7263590380e-01
6.6666666667e-02 -9.8888888889e-01 -9.6703894108e-01
7.7777777778e-02 -9.8888888889e-01 -9.5929851029e-01
8.8888888889e-02 -9.8888888889e-01 -9.4960925430e-01
1.0000000000e-01 -9.8888888889e-01 -9.3817688420e-01
1.1111111111e-01 -9.8888888889e-01 -9.2521385518e-01
1.2222222222e-01 -9.8888888889e-01 -9.1093518999e-01
1.3333333333e-01 -9.8888888889e-01 -8.9555456631e-01
1.4444444444e-01 -9.8888888889e-01 -8.7928076271e-01
1.5555555556e-01 -9.8888888889e-01 -8.6231453454e-01
1.6666666667e-01 -9.8888888889e-01 -8.4484596697e-01
1.7777777778e-01 -9.8888888889e-01 -8.2705232903e-01
1.8888888889e-01 -9.8888888889e-01 -8.0909643156e-01
2.0000000000e-01 -9.8888888889e-01 -7.9112547357e-01
2.1111111111e-01 -9.8888888889e-01 -7.7327034656e-01
2.2222222222e-01 -9.8888888889e-01 -7.5564535534e-01
2.3333333333e-01 -9.8888888889e-01 -7.3834830579e-01
2.4444444444e-01 -9.8888888889e-01 -7.2146090606e-01
2.5555555556e-01 -9.8888888889e-01 -7.0504942568e-01
