x y value
-1.0000000000e+00 -1.0000000000e+00 3.8187024896e-03
-9.8888888889e-01 -1.0000000000e+00 4.1814141962e-03
-9.7777777778e-01 -1.0000000000e+00 4.5691612120e-03
-9.6666666667e-01 -1.0000000000e+00 4.9841630695e-03
-9.5555555556e-01 -1.0000000000e+00 5.4287985914e-03
-9.4444444444e-01 -1.0000000000e+00 5.9056190435e-03
-9.3333333333e-01 -1.0000000000e+00 6.4173621733e-03
-9.2222222222e-01 -1.0000000000e+00 6.9669671894e-03
-9.1111111111e-01 -1.0000000000e+00 7.5575907360e-03
-9.0000000000e-01 -1.0000000000e+00 8.1926239212e-03
-8.8888888889e-01 -1.0000000000e+00 8.8757104551e-03
-8.7777777778e-01 -1.0000000000e+00 9.6107659577e-03
-8.6666666667e-01 -1.0000000000e+00 1.0401998493e-02
-8.5555555556e-01 -1.0000000000e+00 1.1253930388e-02
-8.4444444444e-01 -1.0000000000e+00 1.2171421389e-02
-8.3333333333e-01 -1.0000000000e+00 1.3159693207e-02
-8.2222222222e-01 -1.0000000000e+00 1.4224355506e-02
-8.1111111111e-01 -1.0000000000e+00 1.5371433368e-02
-8.0000000000e-01 -1.0000000000e+00 1.6607396269e-02
-7.8888888889e-01 -1.0000000000e+00 1.7939188600e-02
-7.7777777778e-01 -1.0000000000e+00 1.9374261739e-02
-7.6666666667e-01 -1.0000000000e+00 2.0920607665e-02
-7.5555555556e-01 -1.0000000000e+00 2.2586794115e-02
-7.4444444444e-01 -1.0000000000e+00 2.4382001223e-02
-7.3333333333e-01 -1.0000000000e+00 2.6316059579e-02
-7.2222222222e-01 -1.0000000000e+00 2.8399489625e-02
-7.1111111111e-01 -1.0000000000e+00 3.0643542240e-02
-7.0000000000e-01 -1.0000000000e+00 3.3060240339e-02
-6.8888888889e-01 -1.0000000000e+00 3.5662421286e-02
-6.7777777778e-01 -1.0000000000e+00 3.8463779814e-02
-6.6666666667e-01 -1.0000000000e+00 4.1478911123e-02
-6.5555555556e-01 -1.0000000000e+00 4.4723353744e-02
-6.4444444444e-01 -1.0000000000e+00 4.8213631647e-02
-6.3333333333e-01 -1.0000000000e+00 5.1967295004e-02
-6.2222222222e-01 -1.0000000000e+00 5.6002958903e-02
-6.1111111111e-01 -1.0000000000e+00 6.0340339145e-02
-6.0000000000e-01 -1.0000000000e+00 6.5000284185e-02
-5.8888888889e-01 -1.0000000000e+00 7.0004802051e-02
-5.7777777778e-01 -1.0000000000e+00 7.5377080938e-02
-5.6666666667e-01 -1.0000000000e+00 8.1141501978e-02
-5.5555555556e-01 -1.0000000000e+00 8.7323642447e-02
-5.4444444444e-01 -1.0000000000e+00 9.3950267467e-02
-5.3333333333e-01 -1.0000000000e+00 1.0104930798e-01
-5.2222222222e-01 -1.0000000000e+00 1.0864982250e-01
-5.1111111111e-01 -1.0000000000e+00 1.1678193991e-01
-5.0000000000e-01 -1.0000000000e+00 1.2547678014e-01
-4.8888888889e-01 -1.0000000000e+00 1.3476634944e-01
-4.7777777778e-01 -1.0000000000e+00 1.4468340637e-01
-4.6666666667e-01 -1.0000000000e+00 1.5526129475e-01
-4.5555555556e-01 -1.0000000000e+00 1.6653373891e-01
-4.4444444444e-01 -1.0000000000e+00 1.7853459704e-01
-4.3333333333e-01 -1.0000000000e+00 1.9129756760e-01
-4.2222222222e-01 -1.0000000000e+00 2.0485584405e-01
-4.1111111111e-01 -1.0000000000e+00 2.1924171299e-01
-4.0000000000e-01 -1.0000000000e+00 2.3448609092e-01
-3.8888888889e-01 -1.0000000000e+00 2.5061799523e-01
-3.7777777778e-01 -1.0000000000e+00 2.6766394559e-01
-3.6666666667e-01 -1.0000000000e+00 2.8564729254e-01
-3.5555555556e-01 -1.0000000000e+00 3.0458747165e-01
-3.4444444444e-01 -1.0000000000e+00 3.2449918277e-01
-3.3333333333e-01 -1.0000000000e+00 3.4539149625e-01
-3.2222222222e-01 -1.0000000000e+00 3.6726689024e-01
-3.1111111111e-01 -1.0000000000e+00 3.9012022658e-01
-3.0000000000e-01 -1.0000000000e+00 4.1393767603e-01
-2.8888888889e-01 -1.0000000000e+00 4.3869560807e-01
-2.7777777778e-01 -1.0000000000e+00 4.6435946500e-01
-2.6666666667e-01 -1.0000000000e+00 4.9088264530e-01
-2.5555555556e-01 -1.0000000000e+00 5.1820542659e-01
-2.4444444444e-01 -1.0000000000e+00 5.4625396398e-01
-2.3333333333e-01 -1.0000000000e+00 5.7493940501e-01
-2.2222222222e-01 -1.0000000000e+00 6.0415716726e-01
-2.1111111111e-01 -1.0000000000e+00 6.3378642830e-01
-2.0000000000e-01 -1.0000000000e+00 6.6368988068e-01
-1.8888888889e-01 -1.0000000000e+00 6.9371380467e-01
-1.7777777778e-01 -1.0000000000e+00 7.2368851007e-01
-1.6666666667e-01 -1.0000000000e+00 7.5342919375e-01
-1.5555555556e-01 -1.0000000000e+00 7.8273725126e-01
-1.4444444444e-01 -1.0000000000e+00 8.1140206984e-01
-1.3333333333e-01 -1.0000000000e+00 8.3920331505e-01
-1.2222222222e-01 -1.0000000000e+00 8.6591370466e-01
-1.1111111111e-01 -1.0000000000e+00 8.9130224273e-01
-1.0000000000e-01 -1.0000000000e+00 9.1513786359e-01
-8.8888888889e-02 -1.0000000000e+00 9.3719341138e-01
-7.7777777778e-02 -1.0000000000e+00 9.5724985809e-01
-6.6666666667e-02 -1.0000000000e+00 9.7510064174e-01
-5.5555555556e-02 -1.0000000000e+00 9.9055598965e-01
-4.4444444444e-02 -1.0000000000e+00 1.0034470804e+00
-3.3333333333e-02 -1.0000000000e+00 1.0136298940e+00
-2.2222222222e-02 -1.0000000000e+00 1.0209886023e+00
-1.1111111111e-02 -1.0000000000e+00 1.0254383659e+00
0.0000000000e+00 -1.0000000000e+00 1.0269274205e+00
1.1111111111e-02 -1.0000000000e+00 1.0254383659e+00
2.2222222222e-02 -1.0000000000e+00 1.0209886023e+00
3.3333333333e-02 -1.0000000000e+00 1.0136298940e+00
4.4444444444e-02 -1.0000000000e+00 1.0034470804e+00
5.5555555556e-02 -1.0000000000e+00 9.9055598965e-01
6.6666666667e-02 -1.0000000000e+00 9.7510064174e-01
