x y value
-1.0000000000e+00 -1.0000000000e+00 3.1296136391e-04
-9.8888888889e-01 -1.0000000000e+00 1.6415225283e-04
-9.7777777778e-01 -1.0000000000e+00 4.5982244135e-05
-9.6666666667e-01 -1.0000000000e+00 4.4565886027e-05
-9.5555555556e-01 -1.0000000000e+00 1.1082233607e-04
-9.4444444444e-01 -1.0000000000e+00 1.5615574547e-04
-9.3333333333e-01 -1.0000000000e+00 1.8376415766e-04
-9.2222222222e-01 -1.0000000000e+00 1.9654416233e-04
-9.1111111111e-01 -1.0000000000e+00 1.9703997433e-04
-9.0000000000e-01 -1.0000000000e+00 1.8746258800e-04
-8.8888888889e-01 -1.0000000000e+00 1.6975895841e-04
-8.7777777778e-01 -1.0000000000e+00 1.4570451701e-04
-8.6666666667e-01 -1.0000000000e+00 1.1699079982e-04
-8.5555555556e-01 -1.0000000000e+00 8.5284105896e-05
-8.4444444444e-01 -1.0000000000e+00 5.2240158619e-05
-8.3333333333e-01 -1.0000000000e+00 1.9471696640e-05
-8.2222222222e-01 -1.0000000000e+00 1.1522070393e-05
-8.1111111111e-01 -1.0000000000e+00 3.9446059099e-05
-8.0000000000e-01 -1.0000000000e+00 6.3297725591e-05
-7.8888888889e-01 -1.0000000000e+00 8.2432598433e-05
-7.7777777778e-01 -1.0000000000e+00 9.6592578249e-05
-7.6666666667e-01 -1.0000000000e+00 1.0589168224e-04
-7.5555555556e-01 -1.0000000000e+00 1.1076304778e-04
-7.4444444444e-01 -1.0000000000e+00 1.1187801548e-04
-7.3333333333e-01 -1.0000000000e+00 1.1005167896e-04
-7.2222222222e-01 -1.0000000000e+00 1.0614921889e-04
-7.1111111111e-01 -1.0000000000e+00 1.0100436336e-04
-7.0000000000e-01 -1.0000000000e+00 9.5356707738e-05
-6.8888888889e-01 -1.0000000000e+00 8.9809761730e-05
-6.7777777778e-01 -1.0000000000e+00 8.4807616981e-05
-6.6666666667e-01 -1.0000000000e+00 8.0625755827e-05
-6.5555555556e-01 -1.0000000000e+00 7.7370968424e-05
-6.4444444444e-01 -1.0000000000e+00 7.4986378333e-05
-6.3333333333e-01 -1.0000000000e+00 7.3259636045e-05
-6.2222222222e-01 -1.0000000000e+00 7.1834702033e-05
-6.1111111111e-01 -1.0000000000e+00 7.0229593635e-05
-6.0000000000e-01 -1.0000000000e+00 6.7863467444e-05
-5.8888888889e-01 -1.0000000000e+00 6.4096175244e-05
-5.7777777778e-01 -1.0000000000e+00 5.8281993705e-05
-5.6666666667e-01 -1.0000000000e+00 4.9836874139e-05
-5.5555555556e-01 -1.0000000000e+00 3.8315742545e-05
-5.4444444444e-01 -1.0000000000e+00 2.3493605852e-05
-5.3333333333e-01 -1.0000000000e+00 5.4419447539e-06
-5.2222222222e-01 -1.0000000000e+00 1.5409547334e-05
-5.1111111111e-01 -1.0000000000e+00 3.8236140921e-05
-5.0000000000e-01 -1.0000000000e+00 6.1815496466e-05
-4.8888888889e-01 -1.0000000000e+00 8.4566432496e-05
-4.7777777778e-01 -1.0000000000e+00 1.0463261597e-04
-4.6666666667e-01 -1.0000000000e+00 1.2001016430e-04
-4.5555555556e-01 -1.0000000000e+00 1.2871287423e-04
-4.4444444444e-01 -1.0000000000e+00 1.2896344175e-04
-4.3333333333e-01 -1.0000000000e+00 1.1939436326e-04
-4.2222222222e-01 -1.0000000000e+00 9.9238977659e-05
-4.1111111111e-01 -1.0000000000e+00 6.8491917043e-05
-4.0000000000e-01 -1.0000000000e+00 2.8019350160e-05
-3.8888888889e-01 -1.0000000000e+00 2.0397302565e-05
-3.7777777778e-01 -1.0000000000e+00 7.4095514712e-05
-3.6666666667e-01 -1.0000000000e+00 1.2964898977e-04
-3.5555555556e-01 -1.0000000000e+00 1.8306715630e-04
-3.4444444444e-01 -1.0000000000e+00 2.3006949605e-04
-3.3333333333e-01 -1.0000000000e+00 2.6642122129e-04
-3.2222222222e-01 -1.0000000000e+00 2.8831056616e-04
-3.1111111111e-01 -1.0000000000e+00 2.9274131943e-04
-3.0000000000e-01 -1.0000000000e+00 2.7790724565e-04
-2.8888888889e-01 -1.0000000000e+00 2.4350852319e-04
-2.7777777778e-01 -1.0000000000e+00 1.9096606033e-04
-2.6666666667e-01 -1.0000000000e+00 1.2349010351e-04
-2.5555555556e-01 -1.0000000000e+00 4.5967525895e-05
-2.4444444444e-01 -1.0000000000e+00 3.5350935087e-05
-2.3333333333e-01 -1.0000000000e+00 1.1335716493e-04
-2.2222222222e-01 -1.0000000000e+00 1.8074973053e-04
-2.1111111111e-01 -1.0000000000e+00 2.3079028230e-04
-2.0000000000e-01 -1.0000000000e+00 2.5806489855e-04
-1.8888888889e-01 -1.0000000000e+00 2.5915267825e-04
-1.7777777778e-01 -1.0000000000e+00 2.3310799454e-04
-1.6666666667e-01 -1.0000000000e+00 1.8168108490e-04
-1.5555555556e-01 -1.0000000000e+00 1.0923164805e-04
-1.4444444444e-01 -1.0000000000e+00 2.2328148286e-05
-1.3333333333e-01 -1.0000000000e+00 7.0932737469e-05
-1.2222222222e-01 -1.0000000000e+00 1.6181147729e-04
-1.1111111111e-01 -1.0000000000e+00 2.4190674479e-04
-1.0000000000e-01 -1.0000000000e+00 3.0410157581e-04
-8.8888888889e-02 -1.0000000000e+00 3.4334081944e-04
-7.7777777778e-02 -1.0000000000e+00 3.5712526682e-04
-6.6666666667e-02 -1.0000000000e+00 3.4564988795e-04
-5.5555555556e-02 -1.0000000000e+00 3.1157372738e-04
-4.4444444444e-02 -1.0000000000e+00 2.5947650889e-04
-3.3333333333e-02 -1.0000000000e+00 1.9511649888e-04
-2.2222222222e-02 -1.0000000000e+00 1.2463921006e-04
-1.1111111111e-02 -1.0000000000e+00 5.3885119129e-05
0.0000000000e+00 -1.0000000000e+00 1.2095044453e-05
1.1111111111e-02 -1.0000000000e+00 6.9275456039e-05
2.2222222222e-02 -1.0000000000e+00 1.1467077752e-04
3.3333333333e-02 -1.0000000000e+00 1.4621568783e-04
4.4444444444e-02 -1.0000000000e+00 1.6261085246e-04
5.5555555556e-02 -1.0000000000e+00 1.6322004036e-04
6.6666666667e-02 -1.0000000000e+00 1.4805997167e-04
7.7777777778e-02 -1.0000000000e+00 1.1787459868e-04
8.8888888889e-02 -1.0000000000e+00 7.4246354453e-05
1.0000000000e-01 -1.0000000000e+00 1.9678823114e-05
1.1111111111e-01 -1.0000000000e+00 4.2410119279e-05
1.2222222222e-01 -1.0000000000e+00 1.0782365112e-04
1.3333333333e-01 -1.0000000000e+00 1.7185800940e-04
1.4444444444e-01 -1.0000000000e+00 2.2968838965e-04
1.5555555556e-01 -1.0000000000e+00 2.7682151157e-04
1.6666666667e-01 -1.0000000000e+00 3.0955341790e-04
1.7777777778e-01 -1.0000000000e+00 3.2536828968e-04
1.8888888889e-01 -1.0000000000e+00 3.2322181418e-04
2.0000000000e-01 -1.0000000000e+00 3.0366869961e-04
2.1111111111e-01 -1.0000000000e+00 2.6881528936e-04
2.2222222222e-01 -1.0000000000e+00 2.2210155084e-04
2.3333333333e-01 -1.0000000000e+00 1.6793870828e-04
2.4444444444e-01 -1.0000000000e+00 1.1124656363e-04
2.5555555556e-01 -1.0000000000e+00 5.6945944829e-05
2.6666666667e-01 -1.0000000000e+00 9.4655561885e-06
2.7777777778e-01 -1.0000000000e+00 2.7681310468e-05
2.8888888889e-01 -1.0000000000e+00 5.2205277520e-05
3.0000000000e-01 -1.0000000000e+00 6.3205160565e-05
3.1111111111e-01 -1.0000000000e+00 6.1176764259e-05
3.2222222222e-01 -1.0000000000e+00 4.7873348369e-05
3.3333333333e-01 -1.0000000000e+00 2.6041287566e-05
3.4444444444e-01 -1.0000000000e+00 9.3306159682e-07
3.5555555556e-01 -1.0000000000e+00 2.9421854375e-05
3.6666666667e-01 -1.0000000000e+00 5.5954282475e-05
3.7777777778e-01 -1.0000000000e+00 7.7573147732e-05
3.8888888889e-01 -1.0000000000e+00 9.2115209408e-05
4.0000000000e-01 -1.0000000000e+00 9.8391783398e-05
4.1111111111e-01 -1.0000000000e+00 9.6258353458e-05
4.2222222222e-01 -1.0000000000e+00 8.6574248822e-05
4.3333333333e-01 -1.0000000000e+00 7.1064412103e-05
4.4444444444e-01 -1.0000000000e+00 5.2103894781e-05
4.5555555556e-01 -1.0000000000e+00 3.2451326216e-05
4.6666666667e-01 -1.0000000000e+00 1.4959970659e-05
4.7777777778e-01 -1.0000000000e+00 2.2942785007e-06
4.8888888889e-01 -1.0000000000e+00 3.3234454019e-06
5.0000000000e-01 -1.0000000000e+00 3.1675505679e-07
5.1111111111e-01 -1.0000000000e+00 1.2104220230e-05
5.2222222222e-01 -1.0000000000e+00 3.3872106404e-05
5.3333333333e-01 -1.0000000000e+00 6.4062810903e-05
5.4444444444e-01 -1.0000000000e+00 1.0096331957e-04
5.5555555556e-01 -1.0000000000e+00 1.4219875394e-04
5.6666666667e-01 -1.0000000000e+00 1.8490755678e-04
5.7777777778e-01 -1.0000000000e+00 2.2595139341e-04
5.8888888889e-01 -1.0000000000e+00 2.6214479846e-04
6.0000000000e-01 -1.0000000000e+00 2.9048871417e-04
6.1111111111e-01 -1.0000000000e+00 3.0839190771e-04
6.2222222222e-01 -1.0000000000e+00 3.1386494197e-04
6.3333333333e-01 -1.0000000000e+00 3.0567302981e-04
6.4444444444e-01 -1.0000000000e+00 2.8343677757e-04
6.5555555556e-01 -1.0000000000e+00 2.4767343532e-04
6.6666666667e-01 -1.0000000000e+00 1.9977558475e-04
6.7777777778e-01 -1.0000000000e+00 1.4192884748e-04
6.8888888889e-01 -1.0000000000e+00 7.6974762081e-05
7.0000000000e-01 -1.0000000000e+00 8.2290378258e-06
7.1111111111e-01 -1.0000000000e+00 6.0731398459e-05
7.2222222222e-01 -1.0000000000e+00 1.2629702743e-04
7.3333333333e-01 -1.0000000000e+00 1.8505358807e-04
7.4444444444e-01 -1.0000000000e+00 2.3399301455e-04
7.5555555556e-01 -1.0000000000e+00 2.7069276275e-04
7.6666666667e-01 -1.0000000000e+00 2.9345126510e-04
7.7777777778e-01 -1.0000000000e+00 3.0137048634e-04
7.8888888889e-01 -1.0000000000e+00 2.9438037443e-04
8.0000000000e-01 -1.0000000000e+00 2.7320420120e-04
8.1111111111e-01 -1.0000000000e+00 2.3926819169e-04
8.2222222222e-01 -1.0000000000e+00 1.9456331832e-04
8.3333333333e-01 -1.0000000000e+00 1.4147159473e-04
8.4444444444e-01 -1.0000000000e+00 8.2573541549e-05
8.5555555556e-01 -1.0000000000e+00 2.0457529658e-05
8.6666666667e-01 -1.0000000000e+00 4.2444922776e-05
8.7777777778e-01 -1.0000000000e+00 1.0397170771e-04
8.8888888889e-01 -1.0000000000e+00 1.6226432552e-04
9.0000000000e-01 -1.0000000000e+00 2.1570058322e-04
9.1111111111e-01 -1.0000000000e+00 2.6270979767e-04
9.2222222222e-01 -1.0000000000e+00 3.0146639951e-04
9.3333333333e-01 -1.0000000000e+00 3.2947447011e-04
9.4444444444e-01 -1.0000000000e+00 3.4307609229e-04
9.5555555556e-01 -1.0000000000e+00 3.3693812807e-04
9.6666666667e-01 -1.0000000000e+00 3.0359155568e-04
9.7777777778e-01 -1.0000000000e+00 2.3311032816e-04
9.8888888889e-01 -1.0000000000e+00 1.1301830434e-04
1.0000000000e+00 -1.0000000000e+00 7.1500423480e-05
-1.0000000000e+00 -9.8888888889e-01 3.0897270182e-04
-9.8888888889e-01 -9.8888888889e-01 1.8984073289e-04
-9.7777777778e-01 -9.8888888889e-01 9.3687421938e-05
-9.6666666667e-01 -9.8888888889e-01 1.8216337468e-05
-9.5555555556e-01 -9.8888888889e-01 3.9146213055e-05
-9.4444444444e-01 -9.8888888889e-01 8.0976999175e-05
-9.3333333333e-01 -9.8888888889e-01 1.0965334165e-04
-9.2222222222e-01 -9.8888888889e-01 1.2723466266e-04
-9.1111111111e-01 -9.8888888889e-01 1.3542889593e-04
-9.0000000000e-01 -9.8888888889e-01 1.3563238186e-04
-8.8888888889e-01 -9.8888888889e-01 1.2902134793e-04
-8.7777777778e-01 -9.8888888889e-01 1.1666628781e-04
-8.6666666667e-01 -9.8888888889e-01 9.9639051784e-05
-8.5555555556e-01 -9.8888888889e-01 7.9086785025e-05
-8.4444444444e-01 -9.8888888889e-01 5.6256250431e-05
-8.3333333333e-01 -9.8888888889e-01 3.2464544168e-05
-8.2222222222e-01 -9.8888888889e-01 9.0248986033e-06
-8.1111111111e-01 -9.8888888889e-01 1.2853812768e-05
-8.0000000000e-01 -9.8888888889e-01 3.2170352848e-05
-7.8888888889e-01 -9.8888888889e-01 4.8214638259e-05
-7.7777777778e-01 -9.8888888889e-01 6.0615037257e-05
-7.6666666667e-01 -9.8888888889e-01 6.9342127965e-05
-7.5555555556e-01 -9.8888888889e-01 7.4671173812e-05
-7.4444444444e-01 -9.8888888889e-01 7.7113237451e-05
