x y value
-1.0000000000e+00 -1.0000000000e+00 -7.6045458335e-01
-9.8888888889e-01 -1.0000000000e+00 -7.8211294003e-01
-9.7777777778e-01 -1.0000000000e+00 -8.0374635046e-01
-9.6666666667e-01 -1.0000000000e+00 -8.2526369897e-01
-9.5555555556e-01 -1.0000000000e+00 -8.4657433610e-01
-9.4444444444e-01 -1.0000000000e+00 -8.6758852757e-01
-9.3333333333e-01 -1.0000000000e+00 -8.8821790171e-01
-9.2222222222e-01 -1.0000000000e+00 -9.0837589283e-01
-9.1111111111e-01 -1.0000000000e+00 -9.2797817818e-01
-9.0000000000e-01 -1.0000000000e+00 -9.4694310551e-01
-8.8888888889e-01 -1.0000000000e+00 -9.6519210894e-01
-8.7777777778e-01 -1.0000000000e+00 -9.8265011036e-01
-8.6666666667e-01 -1.0000000000e+00 -9.9924590377e-01
-8.5555555556e-01 -1.0000000000e+00 -1.0149125203e+00
-8.4444444444e-01 -1.0000000000e+00 -1.0295875711e+00
-8.3333333333e-01 -1.0000000000e+00 -1.0432135667e+00
-8.2222222222e-01 -1.0000000000e+00 -1.0557382099e+00
-8.1111111111e-01 -1.0000000000e+00 -1.0671146605e+00
-8.0000000000e-01 -1.0000000000e+00 -1.0773017713e+00
-7.8888888889e-01 -1.0000000000e+00 -1.0862642920e+00
-7.7777777778e-01 -1.0000000000e+00 -1.0939730420e+00
-7.6666666667e-01 -1.0000000000e+00 -1.1004050494e+00
-7.5555555556e-01 -1.0000000000e+00 -1.1055436564e+00
-7.4444444444e-01 -1.0000000000e+00 -1.1093785912e+00
-7.3333333333e-01 -1.0000000000e+00 -1.1119060045e+00
-7.2222222222e-01 -1.0000000000e+00 -1.1131284728e+00
-7.1111111111e-01 -1.0000000000e+00 -1.1130549669e+00
-7.0000000000e-01 -1.0000000000e+00 -1.1117007877e+00
-6.8888888889e-01 -1.0000000000e+00 -1.1090874687e+00
-6.7777777778e-01 -1.0000000000e+00 -1.1052426471e+00
-6.6666666667e-01 -1.0000000000e+00 -1.1001999036e+00
-6.5555555556e-01 -1.0000000000e+00 -1.0939985730e+00
-6.4444444444e-01 -1.0000000000e+00 -1.0866835264e+00
-6.3333333333e-01 -1.0000000000e+00 -1.0783049265e+00
-6.2222222222e-01 -1.0000000000e+00 -1.0689179575e+00
-6.1111111111e-01 -1.0000000000e+00 -1.0585825317e+00
-6.0000000000e-01 -1.0000000000e+00 -1.0473629736e+00
-5.8888888889e-01 -1.0000000000e+00 -1.0353276846e+00
-5.7777777778e-01 -1.0000000000e+00 -1.0225487882e+00
-5.6666666667e-01 -1.0000000000e+00 -1.0091017603e+00
-5.5555555556e-01 -1.0000000000e+00 -9.9506504345e-01
-5.4444444444e-01 -1.0000000000e+00 -9.8051964933e-01
-5.3333333333e-01 -1.0000000000e+00 -9.6554875075e-01
-5.2222222222e-01 -1.0000000000e+00 -9.5023726461e-01
-5.1111111111e-01 -1.0000000000e+00 -9.3467142856e-01
-5.0000000000e-01 -1.0000000000e+00 -9.1893837308e-01
-4.8888888889e-01 -1.0000000000e+00 -9.0312569093e-01
-4.7777777778e-01 -1.0000000000e+00 -8.8732100627e-01
-4.6666666667e-01 -1.0000000000e+00 -8.7161154512e-01
-4.5555555556e-01 -1.0000000000e+00 -8.5608370941e-01
-4.4444444444e-01 -1.0000000000e+00 -8.4082265643e-01
-4.3333333333e-01 -1.0000000000e+00 -8.2591188572e-01
-4.2222222222e-01 -1.0000000000e+00 -8.1143283513e-01
-4.1111111111e-01 -1.0000000000e+00 -7.9746448817e-01
-4.0000000000e-01 -1.0000000000e+00 -7.8408299413e-01
-3.8888888889e-01 -1.0000000000e+00 -7.7136130291e-01
-3.7777777778e-01 -1.0000000000e+00 -7.5936881621e-01
-3.6666666667e-01 -1.0000000000e+00 -7.4817105656e-01
-3.5555555556e-01 -1.0000000000e+00 -7.3782935582e-01
-3.4444444444e-01 -1.0000000000e+00 -7.2840056448e-01
-3.3333333333e-01 -1.0000000000e+00 -7.1993678321e-01
-3.2222222222e-01 -1.0000000000e+00 -7.1248511770e-01
-3.1111111111e-01 -1.0000000000e+00 -7.0608745809e-01
-3.0000000000e-01 -1.0000000000e+00 -7.0078028389e-01
-2.8888888889e-01 -1.0000000000e+00 -6.9659449529e-01
-2.7777777778e-01 -1.0000000000e+00 -6.9355527164e-01
-2.6666666667e-01 -1.0000000000e+00 -6.9168195779e-01
-2.5555555556e-01 -1.0000000000e+00 -6.9098797867e-01
-2.4444444444e-01 -1.0000000000e+00 -6.9148078256e-01
-2.3333333333e-01 -1.0000000000e+00 -6.9316181341e-01
-2.2222222222e-01 -1.0000000000e+00 -6.9602651199e-01
-2.1111111111e-01 -1.0000000000e+00 -7.0006434624e-01
-2.0000000000e-01 -1.0000000000e+00 -7.0525887033e-01
-1.8888888889e-01 -1.0000000000e+00 -7.1158781226e-01
-1.7777777778e-01 -1.0000000000e+00 -7.1902318959e-01
-1.6666666667e-01 -1.0000000000e+00 -7.2753145258e-01
-1.5555555556e-01 -1.0000000000e+00 -7.3707365421e-01
-1.4444444444e-01 -1.0000000000e+00 -7.4760564609e-01
-1.3333333333e-01 -1.0000000000e+00 -7.5907829937e-01
-1.2222222222e-01 -1.0000000000e+00 -7.7143774958e-01
-1.1111111111e-01 -1.0000000000e+00 -7.8462566412e-01
-1.0000000000e-01 -1.0000000000e+00 -7.9857953122e-01
-8.8888888889e-02 -1.0000000000e+00 -8.1323296878e-01
-7.7777777778e-02 -1.0000000000e+00 -8.2851605183e-01
-6.6666666667e-02 -1.0000000000e+00 -8.4435565669e-01
-5.5555555556e-02 -1.0000000000e+00 -8.6067582047e-01
-4.4444444444e-02 -1.0000000000e+00 -8.7739811394e-01
-3.3333333333e-02 -1.0000000000e+00 -8.9444202601e-01
-2.2222222222e-02 -1.0000000000e+00 -9.1172535798e-01
-1.1111111111e-02 -1.0000000000e+00 -9.2916462558e-01
0.0000000000e+00 -1.0000000000e+00 -9.4667546689e-01
1.1111111111e-02 -1.0000000000e+00 -9.6417305403e-01
2.2222222222e-02 -1.0000000000e+00 -9.8157250683e-01
3.3333333333e-02 -1.0000000000e+00 -9.9878930614e-01
4.4444444444e-02 -1.0000000000e+00 -1.0157397051e+00
5.5555555556e-02 -1.0000000000e+00 -1.0323411360e+00
6.6666666667e-02 -1.0000000000e+00 -1.0485126113e+00
7.7777777778e-02 -1.0000000000e+00 -1.0641751156e+00
8.8888888889e-02 -1.0000000000e+00 -1.0792519889e+00
1.0000000000e-01 -1.0000000000e+00 -1.0936692964e+00
1.1111111111e-01 -1.0000000000e+00 -1.1073561851e+00
1.2222222222e-01 -1.0000000000e+00 -1.1202452254e+00
1.3333333333e-01 -1.0000000000e+00 -1.1322727343e+00
1.4444444444e-01 -1.0000000000e+00 -1.1433790806e+00
1.5555555556e-01 -1.0000000000e+00 -1.1535089693e+00
1.6666666667e-01 -1.0000000000e+00 -1.1626117042e+00
1.7777777778e-01 -1.0000000000e+00 -1.1706414277e+00
1.8888888889e-01 -1.0000000000e+00 -1.1775573359e+00
2.0000000000e-01 -1.0000000000e+00 -1.1833238684e+00
2.1111111111e-01 -1.0000000000e+00 -1.1879108721e+00
2.2222222222e-01 -1.0000000000e+00 -1.1912937370e+00
2.3333333333e-01 -1.0000000000e+00 -1.1934535049e+00
2.4444444444e-01 -1.0000000000e+00 -1.1943769488e+00
