x y value
-1.0000000000e+00 -1.0000000000e+00 4.0205803187e-05
-9.8888888889e-01 -1.0000000000e+00 3.1482128556e-05
-9.7777777778e-01 -1.0000000000e+00 2.0615882003e-05
-9.6666666667e-01 -1.0000000000e+00 8.0327733328e-06
-9.5555555556e-01 -1.0000000000e+00 5.8392514467e-06
-9.4444444444e-01 -1.0000000000e+00 2.0579327945e-05
-9.3333333333e-01 -1.0000000000e+00 3.5779472283e-05
-9.2222222222e-01 -1.0000000000e+00 5.1047426414e-05
-9.1111111111e-01 -1.0000000000e+00 6.6007577760e-05
-9.0000000000e-01 -1.0000000000e+00 8.0301188480e-05
-8.8888888889e-01 -1.0000000000e+00 9.3587073312e-05
-8.7777777778e-01 -1.0000000000e+00 1.0554351611e-04
-8.6666666667e-01 -1.0000000000e+00 1.1587173955e-04
-8.5555555556e-01 -1.0000000000e+00 1.2430079087e-04
-8.4444444444e-01 -1.0000000000e+00 1.3059339940e-04
-8.3333333333e-01 -1.0000000000e+00 1.3455225221e-04
-8.2222222222e-01 -1.0000000000e+00 1.3602619271e-04
-8.1111111111e-01 -1.0000000000e+00 1.3491598994e-04
-8.0000000000e-01 -1.0000000000e+00 1.3117945052e-04
-7.8888888889e-01 -1.0000000000e+00 1.2483568274e-04
-7.7777777778e-01 -1.0000000000e+00 1.1596825879e-04
-7.6666666667e-01 -1.0000000000e+00 1.0472690474e-04
-7.5555555556e-01 -1.0000000000e+00 9.1327253963e-05
-7.4444444444e-01 -1.0000000000e+00 7.6048202500e-05
-7.3333333333e-01 -1.0000000000e+00 5.9226538985e-05
-7.2222222222e-01 -1.0000000000e+00 4.1248776433e-05
-7.1111111111e-01 -1.0000000000e+00 2.2540434220e-05
-7.0000000000e-01 -1.0000000000e+00 3.5533354846e-06
-6.8888888889e-01 -1.0000000000e+00 1.5248267880e-05
-6.7777777778e-01 -1.0000000000e+00 3.3401795592e-05
-6.6666666667e-01 -1.0000000000e+00 5.0459708616e-05
-6.5555555556e-01 -1.0000000000e+00 6.6001300097e-05
-6.4444444444e-01 -1.0000000000e+00 7.9642263224e-05
-6.3333333333e-01 -1.0000000000e+00 9.1041664714e-05
-6.2222222222e-01 -1.0000000000e+00 9.9906267237e-05
-6.1111111111e-01 -1.0000000000e+00 1.0599246829e-04
-6.0000000000e-01 -1.0000000000e+00 1.0910641856e-04
-5.8888888889e-01 -1.0000000000e+00 1.0910310615e-04
-5.7777777778e-01 -1.0000000000e+00 1.0588530332e-04
-5.6666666667e-01 -1.0000000000e+00 9.9403240405e-05
-5.5555555556e-01 -1.0000000000e+00 8.9655691414e-05
-5.4444444444e-01 -1.0000000000e+00 7.6692846488e-05
-5.3333333333e-01 -1.0000000000e+00 6.0620950925e-05
-5.2222222222e-01 -1.0000000000e+00 4.1608269010e-05
-5.1111111111e-01 -1.0000000000e+00 1.9891549072e-05
-5.0000000000e-01 -1.0000000000e+00 4.2181119708e-06
-4.8888888889e-01 -1.0000000000e+00 3.0331229045e-05
-4.7777777778e-01 -1.0000000000e+00 5.7978874706e-05
-4.6666666667e-01 -1.0000000000e+00 8.6615518078e-05
-4.5555555556e-01 -1.0000000000e+00 1.1562625883e-04
-4.4444444444e-01 -1.0000000000e+00 1.4433847091e-04
-4.3333333333e-01 -1.0000000000e+00 1.7203740073e-04
-4.2222222222e-01 -1.0000000000e+00 1.9798491157e-04
-4.1111111111e-01 -1.0000000000e+00 2.2144039988e-04
-4.0000000000e-01 -1.0000000000e+00 2.4168294082e-04
-3.8888888889e-01 -1.0000000000e+00 2.5803389320e-04
-3.7777777778e-01 -1.0000000000e+00 2.6987940299e-04
-3.6666666667e-01 -1.0000000000e+00 2.7669237951e-04
-3.5555555556e-01 -1.0000000000e+00 2.7805351236e-04
-3.4444444444e-01 -1.0000000000e+00 2.7367075698e-04
-3.3333333333e-01 -1.0000000000e+00 2.6339651957e-04
-3.2222222222e-01 -1.0000000000e+00 2.4724162712e-04
-3.1111111111e-01 -1.0000000000e+00 2.2538516266e-04
-3.0000000000e-01 -1.0000000000e+00 1.9817940098e-04
-2.8888888889e-01 -1.0000000000e+00 1.6614933920e-04
-2.7777777778e-01 -1.0000000000e+00 1.2998657030e-04
-2.6666666667e-01 -1.0000000000e+00 9.0537386464e-05
-2.5555555556e-01 -1.0000000000e+00 4.8784976519e-05
-2.4444444444e-01 -1.0000000000e+00 5.8254489264e-06
-2.3333333333e-01 -1.0000000000e+00 3.7162680336e-05
-2.2222222222e-01 -1.0000000000e+00 7.8955759382e-05
-2.1111111111e-01 -1.0000000000e+00 1.1832874614e-04
-2.0000000000e-01 -1.0000000000e+00 1.5410424321e-04
-1.8888888889e-01 -1.0000000000e+00 1.8520448756e-04
-1.7777777778e-01 -1.0000000000e+00 2.1070282294e-04
-1.6666666667e-01 -1.0000000000e+00 2.2987036021e-04
-1.5555555556e-01 -1.0000000000e+00 2.4221327331e-04
-1.4444444444e-01 -1.0000000000e+00 2.4749663188e-04
-1.3333333333e-01 -1.0000000000e+00 2.4575184033e-04
-1.2222222222e-01 -1.0000000000e+00 2.3726651769e-04
-1.1111111111e-01 -1.0000000000e+00 2.2255777586e-04
-1.0000000000e-01 -1.0000000000e+00 2.0233201682e-04
-8.8888888889e-02 -1.0000000000e+00 1.7743619992e-04
-7.7777777778e-02 -1.0000000000e+00 1.4880664817e-04
-6.6666666667e-02 -1.0000000000e+00 1.1742153972e-04
-5.5555555556e-02 -1.0000000000e+00 8.4262081456e-05
-4.4444444444e-02 -1.0000000000e+00 5.0285063034e-05
-3.3333333333e-02 -1.0000000000e+00 1.6406488982e-05
-2.2222222222e-02 -1.0000000000e+00 1.6506898505e-05
-1.1111111111e-02 -1.0000000000e+00 4.7643187978e-05
0.0000000000e+00 -1.0000000000e+00 7.6252914422e-05
1.1111111111e-02 -1.0000000000e+00 1.0166177108e-04
2.2222222222e-02 -1.0000000000e+00 1.2328843396e-04
3.3333333333e-02 -1.0000000000e+00 1.4066464237e-04
4.4444444444e-02 -1.0000000000e+00 1.5345316106e-04
5.5555555556e-02 -1.0000000000e+00 1.6145961247e-04
6.6666666667e-02 -1.0000000000e+00 1.6463605877e-04
7.7777777778e-02 -1.0000000000e+00 1.6307665733e-04
8.8888888889e-02 -1.0000000000e+00 1.5700763820e-04
1.0000000000e-01 -1.0000000000e+00 1.4677456755e-04
1.1111111111e-01 -1.0000000000e+00 1.3282928908e-04
1.2222222222e-01 -1.0000000000e+00 1.1571752709e-04
1.3333333333e-01 -1.0000000000e+00 9.6066593934e-05
1.4444444444e-01 -1.0000000000e+00 7.4571603318e-05
1.5555555556e-01 -1.0000000000e+00 5.1978390898e-05
1.6666666667e-01 -1.0000000000e+00 2.9061967507e-05
1.7777777778e-01 -1.0000000000e+00 6.6004856116e-06
1.8888888889e-01 -1.0000000000e+00 1.4654029153e-05
2.0000000000e-01 -1.0000000000e+00 3.4005924649e-05
2.1111111111e-01 -1.0000000000e+00 5.0844397930e-05
2.2222222222e-01 -1.0000000000e+00 6.4667542183e-05
2.3333333333e-01 -1.0000000000e+00 7.5099899723e-05
2.4444444444e-01 -1.0000000000e+00 8.1902365232e-05
2.5555555556e-01 -1.0000000000e+00 8.4974288554e-05
2.6666666667e-01 -1.0000000000e+00 8.4348524963e-05
2.7777777778e-01 -1.0000000000e+00 8.0180828253e-05
2.8888888889e-01 -1.0000000000e+00 7.2735307762e-05
3.0000000000e-01 -1.0000000000e+00 6.2367676716e-05
3.1111111111e-01 -1.0000000000e+00 4.9507765580e-05
3.2222222222e-01 -1.0000000000e+00 3.4642355878e-05
3.3333333333e-01 -1.0000000000e+00 1.8298914836e-05
3.4444444444e-01 -1.0000000000e+00 1.0303788583e-06
3.5555555556e-01 -1.0000000000e+00 1.6599180084e-05
3.6666666667e-01 -1.0000000000e+00 3.4028324763e-05
3.7777777778e-01 -1.0000000000e+00 5.0711767962e-05
3.8888888889e-01 -1.0000000000e+00 6.6133793950e-05
4.0000000000e-01 -1.0000000000e+00 7.9821519382e-05
4.1111111111e-01 -1.0000000000e+00 9.1357684314e-05
4.2222222222e-01 -1.0000000000e+00 1.0039246989e-04
4.3333333333e-01 -1.0000000000e+00 1.0665373865e-04
4.4444444444e-01 -1.0000000000e+00 1.0995510381e-04
4.5555555556e-01 -1.0000000000e+00 1.1020134424e-04
4.6666666667e-01 -1.0000000000e+00 1.0739085630e-04
4.7777777778e-01 -1.0000000000e+00 1.0161502805e-04
4.8888888889e-01 -1.0000000000e+00 9.3054592087e-05
5.0000000000e-01 -1.0000000000e+00 8.1973135319e-05
5.1111111111e-01 -1.0000000000e+00 6.8708012573e-05
5.2222222222e-01 -1.0000000000e+00 5.3658942235e-05
5.3333333333e-01 -1.0000000000e+00 3.7274584623e-05
5.4444444444e-01 -1.0000000000e+00 2.0037446874e-05
5.5555555556e-01 -1.0000000000e+00 2.4475406799e-06
5.6666666667e-01 -1.0000000000e+00 1.4994657666e-05
5.7777777778e-01 -1.0000000000e+00 3.1805250300e-05
5.8888888889e-01 -1.0000000000e+00 4.7533135670e-05
6.0000000000e-01 -1.0000000000e+00 6.1774490886e-05
6.1111111111e-01 -1.0000000000e+00 7.4184613261e-05
6.2222222222e-01 -1.0000000000e+00 8.4486331581e-05
6.3333333333e-01 -1.0000000000e+00 9.2474430359e-05
6.4444444444e-01 -1.0000000000e+00 9.8015867991e-05
6.5555555556e-01 -1.0000000000e+00 1.0104598345e-04
6.6666666667e-01 -1.0000000000e+00 1.0156133164e-04
6.7777777778e-01 -1.0000000000e+00 9.9610207266e-05
6.8888888889e-01 -1.0000000000e+00 9.5282242709e-05
7.0000000000e-01 -1.0000000000e+00 8.8698628261e-05
7.1111111111e-01 -1.0000000000e+00 8.0004443292e-05
7.2222222222e-01 -1.0000000000e+00 6.9364277240e-05
7.3333333333e-01 -1.0000000000e+00 5.6961775645e-05
7.4444444444e-01 -1.0000000000e+00 4.3003040511e-05
7.5555555556e-01 -1.0000000000e+00 2.7723066128e-05
7.6666666667e-01 -1.0000000000e+00 1.1393749359e-05
7.7777777778e-01 -1.0000000000e+00 5.6683772126e-06
7.8888888889e-01 -1.0000000000e+00 2.3096572527e-05
8.0000000000e-01 -1.0000000000e+00 4.0471989369e-05
8.1111111111e-01 -1.0000000000e+00 5.7326239069e-05
8.2222222222e-01 -1.0000000000e+00 7.3148244043e-05
8.3333333333e-01 -1.0000000000e+00 8.7394200312e-05
8.4444444444e-01 -1.0000000000e+00 9.9498661287e-05
8.5555555556e-01 -1.0000000000e+00 1.0888437130e-04
8.6666666667e-01 -1.0000000000e+00 1.1496870763e-04
8.7777777778e-01 -1.0000000000e+00 1.1716550437e-04
8.8888888889e-01 -1.0000000000e+00 1.1488252497e-04
9.0000000000e-01 -1.0000000000e+00 1.0751659887e-04
9.1111111111e-01 -1.0000000000e+00 9.4449922438e-05
9.2222222222e-01 -1.0000000000e+00 7.5051643295e-05
9.3333333333e-01 -1.0000000000e+00 4.8688121706e-05
9.4444444444e-01 -1.0000000000e+00 1.4743077097e-05
9.5555555556e-01 -1.0000000000e+00 2.7354408080e-05
9.6666666667e-01 -1.0000000000e+00 7.8099436600e-05
9.7777777778e-01 -1.0000000000e+00 1.3788619787e-04
9.8888888889e-01 -1.0000000000e+00 2.0699647946e-04
1.0000000000e+00 -1.0000000000e+00 2.8560820527e-04
-1.0000000000e+00 -9.8888888889e-01 2.1720329860e-05
-9.8888888889e-01 -9.8888888889e-01 1.5098881690e-05
-9.7777777778e-01 -9.8888888889e-01 6.5778361128e-06
-9.6666666667e-01 -9.8888888889e-01 3.4809121294e-06
-9.5555555556e-01 -9.8888888889e-01 1.4710928552e-05
-9.4444444444e-01 -9.8888888889e-01 2.6749424299e-05
-9.3333333333e-01 -9.8888888889e-01 3.9242527637e-05
-9.2222222222e-01 -9.8888888889e-01 5.1848053227e-05
-9.1111111111e-01 -9.8888888889e-01 6.4236663463e-05
-9.0000000000e-01 -9.8888888889e-01 7.6092533903e-05
-8.8888888889e-01 -9.8888888889e-01 8.7114543457e-05
-8.7777777778e-01 -9.8888888889e-01 9.7018664738e-05
-8.6666666667e-01 -9.8888888889e-01 1.0554175880e-04
-8.5555555556e-01 -9.8888888889e-01 1.1244653393e-04
-8.4444444444e-01 -9.8888888889e-01 1.1752713506e-04
-8.3333333333e-01 -9.8888888889e-01 1.2061474661e-04
-8.2222222222e-01 -9.8888888889e-01 1.2158269574e-04
-8.1111111111e-01 -9.8888888889e-01 1.2035075072e-04
-8.0000000000e-01 -9.8888888889e-01 1.1688851385e-04
-7.8888888889e-01 -9.8888888889e-01 1.1121792371e-04
-7.7777777778e-01 -9.8888888889e-01 1.0341487444e-04
-7.6666666667e-01 -9.8888888889e-01 9.3609855745e-05
-7.5555555556e-01 -9.8888888889e-01 8.1987382663e-05
