x y value
-1.0000000000e+00 -1.0000000000e+00 7.5068047167e-04
-9.8888888889e-01 -1.0000000000e+00 6.3782439985e-04
-9.7777777778e-01 -1.0000000000e+00 5.3273951313e-04
-9.6666666667e-01 -1.0000000000e+00 4.3563807825e-04
-9.5555555556e-01 -1.0000000000e+00 3.4664113399e-04
-9.4444444444e-01 -1.0000000000e+00 2.6577658509e-04
-9.3333333333e-01 -1.0000000000e+00 1.9298019886e-04
-9.2222222222e-01 -1.0000000000e+00 1.2809955950e-04
-9.1111111111e-01 -1.0000000000e+00 7.0900831166e-05
-9.0000000000e-01 -1.0000000000e+00 2.1077989781e-05
-8.8888888889e-01 -1.0000000000e+00 2.1735978913e-05
-8.7777777778e-01 -1.0000000000e+00 5.7956538547e-05
-8.6666666667e-01 -1.0000000000e+00 8.8034412580e-05
-8.5555555556e-01 -1.0000000000e+00 1.1244245626e-04
-8.4444444444e-01 -1.0000000000e+00 1.3166326335e-04
-8.3333333333e-01 -1.0000000000e+00 1.4617809664e-04
-8.2222222222e-01 -1.0000000000e+00 1.5645761012e-04
-8.1111111111e-01 -1.0000000000e+00 1.6295468405e-04
-8.0000000000e-01 -1.0000000000e+00 1.6609953595e-04
-7.8888888889e-01 -1.0000000000e+00 1.6629711298e-04
-7.7777777778e-01 -1.0000000000e+00 1.6392662528e-04
-7.6666666667e-01 -1.0000000000e+00 1.5934295368e-04
-7.5555555556e-01 -1.0000000000e+00 1.5287956584e-04
-7.4444444444e-01 -1.0000000000e+00 1.4485250394e-04
-7.3333333333e-01 -1.0000000000e+00 1.3556496662e-04
-7.2222222222e-01 -1.0000000000e+00 1.2531199648e-04
-7.1111111111e-01 -1.0000000000e+00 1.1438479983e-04
-7.0000000000e-01 -1.0000000000e+00 1.0307426486e-04
-6.8888888889e-01 -1.0000000000e+00 9.1673303858e-05
-6.7777777778e-01 -1.0000000000e+00 8.0477722075e-05
-6.6666666667e-01 -1.0000000000e+00 6.9785405546e-05
-6.5555555556e-01 -1.0000000000e+00 5.9893720713e-05
-6.4444444444e-01 -1.0000000000e+00 5.1095125620e-05
-6.3333333333e-01 -1.0000000000e+00 4.3671103147e-05
-6.2222222222e-01 -1.0000000000e+00 3.7884637162e-05
-6.1111111111e-01 -1.0000000000e+00 3.3971558761e-05
-6.0000000000e-01 -1.0000000000e+00 3.2131186941e-05
-5.8888888889e-01 -1.0000000000e+00 3.2516770789e-05
-5.7777777778e-01 -1.0000000000e+00 3.5226302204e-05
-5.6666666667e-01 -1.0000000000e+00 4.0294302595e-05
-5.5555555556e-01 -1.0000000000e+00 4.7685187075e-05
-5.4444444444e-01 -1.0000000000e+00 5.7288769286e-05
-5.3333333333e-01 -1.0000000000e+00 6.8918384592e-05
-5.2222222222e-01 -1.0000000000e+00 8.2311977620e-05
-5.1111111111e-01 -1.0000000000e+00 9.7136324621e-05
-5.0000000000e-01 -1.0000000000e+00 1.1299435022e-04
-4.8888888889e-01 -1.0000000000e+00 1.2943526637e-04
-4.7777777778e-01 -1.0000000000e+00 1.4596702937e-04
-4.6666666667e-01 -1.0000000000e+00 1.6207040438e-04
-4.5555555556e-01 -1.0000000000e+00 1.7721377493e-04
-4.4444444444e-01 -1.0000000000e+00 1.9086776348e-04
-4.3333333333e-01 -1.0000000000e+00 2.0251876138e-04
-4.2222222222e-01 -1.0000000000e+00 2.1168061045e-04
-4.1111111111e-01 -1.0000000000e+00 2.1790393034e-04
-4.0000000000e-01 -1.0000000000e+00 2.2078291982e-04
-3.8888888889e-01 -1.0000000000e+00 2.1995983424e-04
-3.7777777778e-01 -1.0000000000e+00 2.1512769615e-04
-3.6666666667e-01 -1.0000000000e+00 2.0603206679e-04
-3.5555555556e-01 -1.0000000000e+00 1.9247283165e-04
-3.4444444444e-01 -1.0000000000e+00 1.7430689145e-04
-3.3333333333e-01 -1.0000000000e+00 1.5145239368e-04
-3.2222222222e-01 -1.0000000000e+00 1.2389472735e-04
-3.1111111111e-01 -1.0000000000e+00 9.1694024737e-05
-3.0000000000e-01 -1.0000000000e+00 5.4993502791e-05
-2.8888888889e-01 -1.0000000000e+00 1.4027794030e-05
-2.7777777778e-01 -1.0000000000e+00 3.0869392776e-05
-2.6666666667e-01 -1.0000000000e+00 7.9258297764e-05
-2.5555555556e-01 -1.0000000000e+00 1.3058579215e-04
-2.4444444444e-01 -1.0000000000e+00 1.8417549436e-04
-2.3333333333e-01 -1.0000000000e+00 2.3921224485e-04
-2.2222222222e-01 -1.0000000000e+00 2.9471807036e-04
-2.1111111111e-01 -1.0000000000e+00 3.4951884426e-04
-2.0000000000e-01 -1.0000000000e+00 4.0220540630e-04
