x y value
-1.0000000000e+00 -1.0000000000e+00 2.1809945862e-03
-9.8888888889e-01 -1.0000000000e+00 2.2411595256e-03
-9.7777777778e-01 -1.0000000000e+00 2.3004803792e-03
-9.6666666667e-01 -1.0000000000e+00 2.3585982344e-03
-9.5555555556e-01 -1.0000000000e+00 2.4151094853e-03
-9.4444444444e-01 -1.0000000000e+00 2.4695612994e-03
-9.3333333333e-01 -1.0000000000e+00 2.5214466575e-03
-9.2222222222e-01 -1.0000000000e+00 2.5701989280e-03
-9.1111111111e-01 -1.0000000000e+00 2.6151859334e-03
-9.0000000000e-01 -1.0000000000e+00 2.6557034622e-03
-8.8888888889e-01 -1.0000000000e+00 2.6909681759e-03
-8.7777777778e-01 -1.0000000000e+00 2.7201098565e-03
-8.6666666667e-01 -1.0000000000e+00 2.7421629335e-03
-8.5555555556e-01 -1.0000000000e+00 2.7560572267e-03
-8.4444444444e-01 -1.0000000000e+00 2.7606078320e-03
-8.3333333333e-01 -1.0000000000e+00 2.7545040729e-03
-8.2222222222e-01 -1.0000000000e+00 2.7362974338e-03
-8.1111111111e-01 -1.0000000000e+00 2.7043883819e-03
-8.0000000000e-01 -1.0000000000e+00 2.6570119776e-03
-7.8888888889e-01 -1.0000000000e+00 2.5922221640e-03
-7.7777777778e-01 -1.0000000000e+00 2.5078746153e-03
-7.6666666667e-01 -1.0000000000e+00 2.4016080153e-03
-7.5555555556e-01 -1.0000000000e+00 2.2708236230e-03
-7.4444444444e-01 -1.0000000000e+00 2.1126629732e-03
-7.3333333333e-01 -1.0000000000e+00 1.9239835414e-03
-7.2222222222e-01 -1.0000000000e+00 1.7013321934e-03
-7.1111111111e-01 -1.0000000000e+00 1.4409162194e-03
-7.0000000000e-01 -1.0000000000e+00 1.1385717382e-03
-6.8888888889e-01 -1.0000000000e+00 7.8972923635e-04
-6.7777777778e-01 -1.0000000000e+00 3.8937598957e-04
-6.6666666667e-01 -1.0000000000e+00 -6.7984908697e-05
