x y value
-1.0000000000e+00 -1.0000000000e+00 3.0888486511e-18
-9.8888888889e-01 -1.0000000000e+00 3.1503796545e-18
-9.7777777778e-01 -1.0000000000e+00 3.2067561197e-18
-9.6666666667e-01 -1.0000000000e+00 3.2572790210e-18
-9.5555555556e-01 -1.0000000000e+00 3.3012027295e-18
-9.4444444444e-01 -1.0000000000e+00 3.3377332636e-18
-9.3333333333e-01 -1.0000000000e+00 3.3660265669e-18
-9.2222222222e-01 -1.0000000000e+00 3.3851868259e-18
-9.1111111111e-01 -1.0000000000e+00 3.3942648418e-18
-9.0000000000e-01 -1.0000000000e+00 3.3922564738e-18
-8.8888888889e-01 -1.0000000000e+00 3.3781011734e-18
-8.7777777778e-01 -1.0000000000e+00 3.3506806303e-18
-8.6666666667e-01 -1.0000000000e+00 3.3088175549e-18
-8.5555555556e-01 -1.0000000000e+00 3.2512746263e-18
-8.4444444444e-01 -1.0000000000e+00 3.1767536356e-18
-8.3333333333e-01 -1.0000000000e+00 3.0838948624e-18
-8.2222222222e-01 -1.0000000000e+00 2.9712767227e-18
-8.1111111111e-01 -1.0000000000e+00 2.8374157372e-18
-8.0000000000e-01 -1.0000000000e+00 2.6807668689e-18
-7.8888888889e-01 -1.0000000000e+00 2.4997242923e-18
-7.7777777778e-01 -1.0000000000e+00 2.2926226581e-18
-7.6666666667e-01 -1.0000000000e+00 2.0577389311e-18
-7.5555555556e-01 -1.0000000000e+00 1.7932948866e-18
-7.4444444444e-01 -1.0000000000e+00 1.4974603624e-18
-7.3333333333e-01 -1.0000000000e+00 1.1683573753e-18
-7.2222222222e-01 -1.0000000000e+00 8.0406522870e-19
-7.1111111111e-01 -1.0000000000e+00 4.0262674936e-19
-7.0000000000e-01 -1.0000000000e+00 -3.7944185535e-20
-6.8888888889e-01 -1.0000000000e+00 -5.1965365300e-19
-6.7777777778e-01 -1.0000000000e+00 -1.0445170171e-18
-6.6666666667e-01 -1.0000000000e+00 -1.6145463620e-18
-6.5555555556e-01 -1.0000000000e+00 -2.2317357674e-18
-6.4444444444e-01 -1.0000000000e+00 -2.8980441380e-18
-6.3333333333e-01 -1.0000000000e+00 -3.6153752616e-18
-6.2222222222e-01 -1.0000000000e+00 -4.3855547326e-18
-6.1111111111e-01 -1.0000000000e+00 -5.2103033336e-18
-6.0000000000e-01 -1.0000000000e+00 -6.0912064244e-18
-5.8888888889e-01 -1.0000000000e+00 -7.0296788322e-18
-5.7777777778e-01 -1.0000000000e+00 -8.0269246894e-18
-5.6666666667e-01 -1.0000000000e+00 -9.0838916037e-18
-5.5555555556e-01 -1.0000000000e+00 -1.0201218490e-17
-5.4444444444e-01 -1.0000000000e+00 -1.1379176334e-17
-5.3333333333e-01 -1.0000000000e+00 -1.2617601092e-17
-5.2222222222e-01 -1.0000000000e+00 -1.3915817898e-17
-5.1111111111e-01 -1.0000000000e+00 -1.5272555659e-17
-5.0000000000e-01 -1.0000000000e+00 -1.6685851141e-17
-4.8888888889e-01 -1.0000000000e+00 -1.8152941566e-17
-4.7777777778e-01 -1.0000000000e+00 -1.9670144802e-17
-4.6666666667e-01 -1.0000000000e+00 -2.1232726226e-17
-4.5555555556e-01 -1.0000000000e+00 -2.2834751454e-17
-4.4444444444e-01 -1.0000000000e+00 -2.4468924271e-17
-4.3333333333e-01 -1.0000000000e+00 -2.6126409340e-17
-4.2222222222e-01 -1.0000000000e+00 -2.7796639586e-17
-4.1111111111e-01 -1.0000000000e+00 -2.9467108667e-17
-4.0000000000e-01 -1.0000000000e+00 -3.1123149538e-17
-3.8888888889e-01 -1.0000000000e+00 -3.2747701022e-17
-3.7777777778e-01 -1.0000000000e+00 -3.4321065356e-17
-3.6666666667e-01 -1.0000000000e+00 -3.5820661141e-17
-3.5555555556e-01 -1.0000000000e+00 -3.7220777857e-17
-3.4444444444e-01 -1.0000000000e+00 -3.8492340306e-17
-3.3333333333e-01 -1.0000000000e+00 -3.9602693965e-17
-3.2222222222e-01 -1.0000000000e+00 -4.0515425412e-17
-3.1111111111e-01 -1.0000000000e+00 -4.1190235590e-17
-3.0000000000e-01 -1.0000000000e+00 -4.1582887867e-17
-2.8888888889e-01 -1.0000000000e+00 -4.1645257400e-17
-2.7777777778e-01 -1.0000000000e+00 -4.1325513127e-17
-2.6666666667e-01 -1.0000000000e+00 -4.0568468504e-17
-2.5555555556e-01 -1.0000000000e+00 -3.9316141458e-17
-2.4444444444e-01 -1.0000000000e+00 -3.7508567230e-17
-2.3333333333e-01 -1.0000000000e+00 -3.5084909125e-17
-2.2222222222e-01 -1.0000000000e+00 -3.1984910315e-17
-2.1111111111e-01 -1.0000000000e+00 -2.8150723626e-17
-2.0000000000e-01 -1.0000000000e+00 -2.3529143831e-17
-1.8888888889e-01 -1.0000000000e+00 -1.8074246805e-17
-1.7777777778e-01 -1.0000000000e+00 -1.1750410402e-17
-1.6666666667e-01 -1.0000000000e+00 -4.5356519907e-18
-1.5555555556e-01 -1.0000000000e+00 3.5748327275e-18
-1.4444444444e-01 -1.0000000000e+00 1.2565104050e-17
-1.3333333333e-01 -1.0000000000e+00 2.2395123878e-17
-1.2222222222e-01 -1.0000000000e+00 3.2997912053e-17
-1.1111111111e-01 -1.0000000000e+00 4.4277561568e-17
-1.0000000000e-01 -1.0000000000e+00 5.6108483910e-17
-8.8888888889e-02 -1.0000000000e+00 6.8336239133e-17
-7.7777777778e-02 -1.0000000000e+00 8.0780236244e-17
-6.6666666667e-02 -1.0000000000e+00 9.3238460675e-17
