x y value
-1.0000000000e+00 -1.0000000000e+00 3.2023466574e-03
-9.8888888889e-01 -1.0000000000e+00 2.8167844562e-03
-9.7777777778e-01 -1.0000000000e+00 2.4552973074e-03
-9.6666666667e-01 -1.0000000000e+00 2.1174893549e-03
-9.5555555556e-01 -1.0000000000e+00 1.8028993645e-03
-9.4444444444e-01 -1.0000000000e+00 1.5110032370e-03
-9.3333333333e-01 -1.0000000000e+00 1.2412170060e-03
-9.2222222222e-01 -1.0000000000e+00 9.9290033491e-04
-9.1111111111e-01 -1.0000000000e+00 7.6536052884e-04
-9.0000000000e-01 -1.0000000000e+00 5.5785706668e-04
-8.8888888889e-01 -1.0000000000e+00 3.6960665436e-04
-8.7777777778e-01 -1.0000000000e+00 1.9978879058e-04
-8.6666666667e-01 -1.0000000000e+00 4.7551827171e-05
-8.5555555556e-01 -1.0000000000e+00 8.7980505086e-05
-8.4444444444e-01 -1.0000000000e+00 2.0770214661e-04
-8.3333333333e-01 -1.0000000000e+00 3.1251739019e-04
-8.2222222222e-01 -1.0000000000e+00 4.0333326284e-04
-8.1111111111e-01 -1.0000000000e+00 4.8105169368e-04
-8.0000000000e-01 -1.0000000000e+00 5.4656156888e-04
-7.8888888889e-01 -1.0000000000e+00 6.0073079129e-04
-7.7777777778e-01 -1.0000000000e+00 6.4439847796e-04
-7.6666666667e-01 -1.0000000000e+00 6.7836744372e-04
-7.5555555556e-01 -1.0000000000e+00 7.0339713243e-04
-7.4444444444e-01 -1.0000000000e+00 7.2019716884e-04
-7.3333333333e-01 -1.0000000000e+00 7.2942171160e-04
-7.2222222222e-01 -1.0000000000e+00 7.3166479293e-04
-7.1111111111e-01 -1.0000000000e+00 7.2745682961e-04
-7.0000000000e-01 -1.0000000000e+00 7.1726248473e-04
-6.8888888889e-01 -1.0000000000e+00 7.0148004777e-04
-6.7777777778e-01 -1.0000000000e+00 6.8044248276e-04
-6.6666666667e-01 -1.0000000000e+00 6.5442026909e-04
-6.5555555556e-01 -1.0000000000e+00 6.2362612769e-04
-6.4444444444e-01 -1.0000000000e+00 5.8822168642e-04
-6.3333333333e-01 -1.0000000000e+00 5.4832609288e-04
-6.2222222222e-01 -1.0000000000e+00 5.0402653150e-04
-6.1111111111e-01 -1.0000000000e+00 4.5539054474e-04
-6.0000000000e-01 -1.0000000000e+00 4.0247999743e-04
-5.8888888889e-01 -1.0000000000e+00 3.4536645887e-04
-5.7777777778e-01 -1.0000000000e+00 2.8414771149e-04
-5.6666666667e-01 -1.0000000000e+00 2.1896502737e-04
-5.5555555556e-01 -1.0000000000e+00 1.5002078765e-04
-5.4444444444e-01 -1.0000000000e+00 7.7595953551e-05
-5.3333333333e-01 -1.0000000000e+00 2.0668334289e-06
-5.2222222222e-01 -1.0000000000e+00 7.6079472540e-05
-5.1111111111e-01 -1.0000000000e+00 1.5623162968e-04
-5.0000000000e-01 -1.0000000000e+00 2.3764336770e-04
-4.8888888889e-01 -1.0000000000e+00 3.1942631939e-04
-4.7777777778e-01 -1.0000000000e+00 4.0054725460e-04
-4.6666666667e-01 -1.0000000000e+00 4.7983061929e-04
-4.5555555556e-01 -1.0000000000e+00 5.5596733746e-04
-4.4444444444e-01 -1.0000000000e+00 6.2753086962e-04
-4.3333333333e-01 -1.0000000000e+00 6.9300153328e-04
-4.2222222222e-01 -1.0000000000e+00 7.5080006288e-04
-4.1111111111e-01 -1.0000000000e+00 7.9933129197e-04
-4.0000000000e-01 -1.0000000000e+00 8.3703864384e-04
-3.8888888889e-01 -1.0000000000e+00 8.6246977128e-04
-3.7777777778e-01 -1.0000000000e+00 8.7435313105e-04
-3.6666666667e-01 -1.0000000000e+00 8.7168444686e-04
-3.5555555556e-01 -1.0000000000e+00 8.5382083380e-04
-3.4444444444e-01 -1.0000000000e+00 8.2057876818e-04
-3.3333333333e-01 -1.0000000000e+00 7.7233006138e-04
-3.2222222222e-01 -1.0000000000e+00 7.1008757156e-04
