x y value
-1.0000000000e+00 -1.0000000000e+00 -4.2199059102e-01
-9.8888888889e-01 -1.0000000000e+00 -4.2210890951e-01
-9.7777777778e-01 -1.0000000000e+00 -4.2223419917e-01
-9.6666666667e-01 -1.0000000000e+00 -4.2236686843e-01
-9.5555555556e-01 -1.0000000000e+00 -4.2250734980e-01
-9.4444444444e-01 -1.0000000000e+00 -4.2265610133e-01
-9.3333333333e-01 -1.0000000000e+00 -4.2281360819e-01
-9.2222222222e-01 -1.0000000000e+00 -4.2298038436e-01
-9.1111111111e-01 -1.0000000000e+00 -4.2315697437e-01
-9.0000000000e-01 -1.0000000000e+00 -4.2334395527e-01
-8.8888888889e-01 -1.0000000000e+00 -4.2354193866e-01
-8.7777777778e-01 -1.0000000000e+00 -4.2375157292e-01
-8.6666666667e-01 -1.0000000000e+00 -4.2397354552e-01
-8.5555555556e-01 -1.0000000000e+00 -4.2420858559e-01
-8.4444444444e-01 -1.0000000000e+00 -4.2445746663e-01
-8.3333333333e-01 -1.0000000000e+00 -4.2472100943e-01
-8.2222222222e-01 -1.0000000000e+00 -4.2500008523e-01
-8.1111111111e-01 -1.0000000000e+00 -4.2529561910e-01
-8.0000000000e-01 -1.0000000000e+00 -4.2560859360e-01
-7.8888888889e-01 -1.0000000000e+00 -4.2594005271e-01
-7.7777777778e-01 -1.0000000000e+00 -4.2629110609e-01
-7.6666666667e-01 -1.0000000000e+00 -4.2666293368e-01
-7.5555555556e-01 -1.0000000000e+00 -4.2705679067e-01
-7.4444444444e-01 -1.0000000000e+00 -4.2747401283e-01
-7.3333333333e-01 -1.0000000000e+00 -4.2791602237e-01
-7.2222222222e-01 -1.0000000000e+00 -4.2838433418e-01
-7.1111111111e-01 -1.0000000000e+00 -4.2888056267e-01
-7.0000000000e-01 -1.0000000000e+00 -4.2940642907e-01
-6.8888888889e-01 -1.0000000000e+00 -4.2996376945e-01
-6.7777777778e-01 -1.0000000000e+00 -4.3055454328e-01
-6.6666666667e-01 -1.0000000000e+00 -4.3118084276e-01
-6.5555555556e-01 -1.0000000000e+00 -4.3184490286e-01
-6.4444444444e-01 -1.0000000000e+00 -4.3254911212e-01
-6.3333333333e-01 -1.0000000000e+00 -4.3329602436e-01
-6.2222222222e-01 -1.0000000000e+00 -4.3408837118e-01
-6.1111111111e-01 -1.0000000000e+00 -4.3492907541e-01
-6.0000000000e-01 -1.0000000000e+00 -4.3582126543e-01
-5.8888888889e-01 -1.0000000000e+00 -4.3676829050e-01
-5.7777777778e-01 -1.0000000000e+00 -4.3777373693e-01
-5.6666666667e-01 -1.0000000000e+00 -4.3884144512e-01
-5.5555555556e-01 -1.0000000000e+00 -4.3997552750e-01
-5.4444444444e-01 -1.0000000000e+00 -4.4118038699e-01
-5.3333333333e-01 -1.0000000000e+00 -4.4246073607e-01
-5.2222222222e-01 -1.0000000000e+00 -4.4382161605e-01
-5.1111111111e-01 -1.0000000000e+00 -4.4526841627e-01
-5.0000000000e-01 -1.0000000000e+00 -4.4680689267e-01
-4.8888888889e-01 -1.0000000000e+00 -4.4844318531e-01
-4.7777777778e-01 -1.0000000000e+00 -4.5018383384e-01
-4.6666666667e-01 -1.0000000000e+00 -4.5203579024e-01
-4.5555555556e-01 -1.0000000000e+00 -4.5400642727e-01
-4.4444444444e-01 -1.0000000000e+00 -4.5610354139e-01
-4.3333333333e-01 -1.0000000000e+00 -4.5833534814e-01
-4.2222222222e-01 -1.0000000000e+00 -4.6071046767e-01
-4.1111111111e-01 -1.0000000000e+00 -4.6323789775e-01
-4.0000000000e-01 -1.0000000000e+00 -4.6592697078e-01
-3.8888888889e-01 -1.0000000000e+00 -4.6878729093e-01
-3.7777777778e-01 -1.0000000000e+00 -4.7182864667e-01
-3.6666666667e-01 -1.0000000000e+00 -4.7506089325e-01
-3.5555555556e-01 -1.0000000000e+00 -4.7849379866e-01
-3.4444444444e-01 -1.0000000000e+00 -4.8213684607e-01
-3.3333333333e-01 -1.0000000000e+00 -4.8599898442e-01
-3.2222222222e-01 -1.0000000000e+00 -4.9008831834e-01
-3.1111111111e-01 -1.0000000000e+00 -4.9441172767e-01
-3.0000000000e-01 -1.0000000000e+00 -4.9897440655e-01
-2.8888888889e-01 -1.0000000000e+00 -5.0377931175e-01
-2.7777777778e-01 -1.0000000000e+00 -5.0882651075e-01
-2.6666666667e-01 -1.0000000000e+00 -5.1411242109e-01
-2.5555555556e-01 -1.0000000000e+00 -5.1962893513e-01
-2.4444444444e-01 -1.0000000000e+00 -5.2536242825e-01
-2.3333333333e-01 -1.0000000000e+00 -5.3129265409e-01
-2.2222222222e-01 -1.0000000000e+00 -5.3739153836e-01
-2.1111111111e-01 -1.0000000000e+00 -5.4362189311e-01
-2.0000000000e-01 -1.0000000000e+00 -5.4993608632e-01
-1.8888888889e-01 -1.0000000000e+00 -5.5627471730e-01
-1.7777777778e-01 -1.0000000000e+00 -5.6256536678e-01
-1.6666666667e-01 -1.0000000000e+00 -5.6872150972e-01
-1.5555555556e-01 -1.0000000000e+00 -5.7464169876e-01
-1.4444444444e-01 -1.0000000000e+00 -5.8020914384e-01
-1.3333333333e-01 -1.0000000000e+00 -5.8529182580e-01
-1.2222222222e-01 -1.0000000000e+00 -5.8974328564e-01
-1.1111111111e-01 -1.0000000000e+00 -5.9340422212e-01
-1.0000000000e-01 -1.0000000000e+00 -5.9610500499e-01
-8.8888888889e-02 -1.0000000000e+00 -5.9766916600e-01
-7.7777777778e-02 -1.0000000000e+00 -5.9791786476e-01
-6.6666666667e-02 -1.0000000000e+00 -5.9667524323e-01
-5.5555555556e-02 -1.0000000000e+00 -5.9377448668e-01
-4.4444444444e-02 -1.0000000000e+00 -5.8906431137e-01
