x y value
-1.0000000000e+00 -1.0000000000e+00 6.7401298847e-04
-9.8888888889e-01 -1.0000000000e+00 5.9743970117e-04
-9.7777777778e-01 -1.0000000000e+00 5.2032415100e-04
-9.6666666667e-01 -1.0000000000e+00 4.4329506446e-04
-9.5555555556e-01 -1.0000000000e+00 3.6696534024e-04
-9.4444444444e-01 -1.0000000000e+00 2.9192958495e-04
-9.3333333333e-01 -1.0000000000e+00 2.1876161667e-04
-9.2222222222e-01 -1.0000000000e+00 1.4801194052e-04
-9.1111111111e-01 -1.0000000000e+00 8.0205199599e-05
-9.0000000000e-01 -1.0000000000e+00 1.5837604009e-05
-8.8888888889e-01 -1.0000000000e+00 4.4625659569e-05
-8.7777777778e-01 -1.0000000000e+00 1.0075303563e-04
-8.6666666667e-01 -1.0000000000e+00 1.5214922251e-04
-8.5555555556e-01 -1.0000000000e+00 1.9845780690e-04
-8.4444444444e-01 -1.0000000000e+00 2.3936390546e-04
-8.3333333333e-01 -1.0000000000e+00 2.7459680699e-04
-8.2222222222e-01 -1.0000000000e+00 3.0393260456e-04
-8.1111111111e-01 -1.0000000000e+00 3.2719680321e-04
-8.0000000000e-01 -1.0000000000e+00 3.4426688208e-04
-7.8888888889e-01 -1.0000000000e+00 3.5507478267e-04
-7.7777777778e-01 -1.0000000000e+00 3.5960928530e-04
-7.6666666667e-01 -1.0000000000e+00 3.5791822481e-04
-7.5555555556e-01 -1.0000000000e+00 3.5011048319e-04
-7.4444444444e-01 -1.0000000000e+00 3.3635768235e-04
-7.3333333333e-01 -1.0000000000e+00 3.1689548359e-04
-7.2222222222e-01 -1.0000000000e+00 2.9202438292e-04
-7.1111111111e-01 -1.0000000000e+00 2.6210987318e-04
-7.0000000000e-01 -1.0000000000e+00 2.2758182599e-04
-6.8888888889e-01 -1.0000000000e+00 1.8893292984e-04
-6.7777777778e-01 -1.0000000000e+00 1.4671600647e-04
-6.6666666667e-01 -1.0000000000e+00 1.0154001789e-04
-6.5555555556e-01 -1.0000000000e+00 5.4064572455e-05
-6.4444444444e-01 -1.0000000000e+00 4.9927434725e-06
-6.3333333333e-01 -1.0000000000e+00 4.4937970729e-05
-6.2222222222e-01 -1.0000000000e+00 9.4966686447e-05
-6.1111111111e-01 -1.0000000000e+00 1.4432226867e-04
-6.0000000000e-01 -1.0000000000e+00 1.9223858771e-04
-5.8888888889e-01 -1.0000000000e+00 2.3797183679e-04
-5.7777777778e-01 -1.0000000000e+00 2.8081973384e-04
-5.6666666667e-01 -1.0000000000e+00 3.2014228736e-04
