x y value
-1.0000000000e+00 -1.0000000000e+00 6.6336415480e-05
-9.8888888889e-01 -1.0000000000e+00 7.0452677958e-05
-9.7777777778e-01 -1.0000000000e+00 7.3611649592e-05
-9.6666666667e-01 -1.0000000000e+00 7.5577521587e-05
-9.5555555556e-01 -1.0000000000e+00 7.6124276212e-05
-9.4444444444e-01 -1.0000000000e+00 7.5038182925e-05
-9.3333333333e-01 -1.0000000000e+00 7.2120434607e-05
-9.2222222222e-01 -1.0000000000e+00 6.7189908749e-05
-9.1111111111e-01 -1.0000000000e+00 6.0086033782e-05
-9.0000000000e-01 -1.0000000000e+00 5.0671735550e-05
-8.8888888889e-01 -1.0000000000e+00 3.8836433250e-05
-8.7777777778e-01 -1.0000000000e+00 2.4499047966e-05
-8.6666666667e-01 -1.0000000000e+00 7.6109802763e-06
-8.5555555556e-01 -1.0000000000e+00 1.1840993594e-05
-8.4444444444e-01 -1.0000000000e+00 3.3831964935e-05
-8.3333333333e-01 -1.0000000000e+00 5.8296340358e-05
-8.2222222222e-01 -1.0000000000e+00 8.5125567084e-05
-8.1111111111e-01 -1.0000000000e+00 1.1416621584e-04
-8.0000000000e-01 -1.0000000000e+00 1.4521850836e-04
-7.8888888889e-01 -1.0000000000e+00 1.7803538277e-04
-7.7777777778e-01 -1.0000000000e+00 2.1232219502e-04
-7.6666666667e-01 -1.0000000000e+00 2.4773715861e-04
-7.5555555556e-01 -1.0000000000e+00 2.8389262661e-04
-7.4444444444e-01 -1.0000000000e+00 3.2035731946e-04
-7.3333333333e-01 -1.0000000000e+00 3.5665959948e-04
-7.2222222222e-01 -1.0000000000e+00 3.9229188586e-04
-7.1111111111e-01 -1.0000000000e+00 4.2671629441e-04
-7.0000000000e-01 -1.0000000000e+00 4.5937157102e-04
-6.8888888889e-01 -1.0000000000e+00 4.8968136838e-04
-6.7777777778e-01 -1.0000000000e+00 5.1706389004e-04
-6.6666666667e-01 -1.0000000000e+00 5.4094289397e-04
-6.5555555556e-01 -1.0000000000e+00 5.6076000954e-04
-6.4444444444e-01 -1.0000000000e+00 5.7598827553e-04
-6.3333333333e-01 -1.0000000000e+00 5.8614675293e-04
-6.2222222222e-01 -1.0000000000e+00 5.9081600399e-04
-6.1111111111e-01 -1.0000000000e+00 5.8965415767e-04
-6.0000000000e-01 -1.0000000000e+00 5.8241320209e-04
-5.8888888889e-01 -1.0000000000e+00 5.6895505622e-04
-5.7777777778e-01 -1.0000000000e+00 5.4926687690e-04
-5.6666666667e-01 -1.0000000000e+00 5.2347495508e-04
-5.5555555556e-01 -1.0000000000e+00 4.9185644912e-04
-5.4444444444e-01 -1.0000000000e+00 4.5484809707e-04
-5.3333333333e-01 -1.0000000000e+00 4.1305094955e-04
-5.2222222222e-01 -1.0000000000e+00 3.6723007931e-04
-5.1111111111e-01 -1.0000000000e+00 3.1830816288e-04
-5.0000000000e-01 -1.0000000000e+00 2.6735181002e-04
-4.8888888889e-01 -1.0000000000e+00 2.1554955726e-04
-4.7777777778e-01 -1.0000000000e+00 1.6418056668e-04
-4.6666666667e-01 -1.0000000000e+00 1.1457330979e-04
-4.5555555556e-01 -1.0000000000e+00 6.8053901232e-05
