x y value
-1.0000000000e+00 -1.0000000000e+00 4.4748351638e-01
-9.8888888889e-01 -1.0000000000e+00 4.4730404953e-01
-9.7777777778e-01 -1.0000000000e+00 4.4711178400e-01
-9.6666666667e-01 -1.0000000000e+00 4.4690580709e-01
-9.5555555556e-01 -1.0000000000e+00 4.4668514107e-01
-9.4444444444e-01 -1.0000000000e+00 4.4644873847e-01
-9.3333333333e-01 -1.0000000000e+00 4.4619547717e-01
-9.2222222222e-01 -1.0000000000e+00 4.4592415504e-01
-9.1111111111e-01 -1.0000000000e+00 4.4563348430e-01
-9.0000000000e-01 -1.0000000000e+00 4.4532208533e-01
-8.8888888889e-01 -1.0000000000e+00 4.4498848025e-01
-8.7777777778e-01 -1.0000000000e+00 4.4463108581e-01
-8.6666666667e-01 -1.0000000000e+00 4.4424820599e-01
-8.5555555556e-01 -1.0000000000e+00 4.4383802392e-01
-8.4444444444e-01 -1.0000000000e+00 4.4339859332e-01
-8.3333333333e-01 -1.0000000000e+00 4.4292782930e-01
-8.2222222222e-01 -1.0000000000e+00 4.4242349853e-01
-8.1111111111e-01 -1.0000000000e+00 4.4188320867e-01
-8.0000000000e-01 -1.0000000000e+00 4.4130439715e-01
-7.8888888889e-01 -1.0000000000e+00 4.4068431906e-01
-7.7777777778e-01 -1.0000000000e+00 4.4002003429e-01
-7.6666666667e-01 -1.0000000000e+00 4.3930839372e-01
-7.5555555556e-01 -1.0000000000e+00 4.3854602445e-01
-7.4444444444e-01 -1.0000000000e+00 4.3772931403e-01
-7.3333333333e-01 -1.0000000000e+00 4.3685439364e-01
-7.2222222222e-01 -1.0000000000e+00 4.3591712006e-01
-7.1111111111e-01 -1.0000000000e+00 4.3491305646e-01
-7.0000000000e-01 -1.0000000000e+00 4.3383745187e-01
-6.8888888889e-01 -1.0000000000e+00 4.3268521934e-01
-6.7777777778e-01 -1.0000000000e+00 4.3145091260e-01
-6.6666666667e-01 -1.0000000000e+00 4.3012870123e-01
-6.5555555556e-01 -1.0000000000e+00 4.2871234426e-01
-6.4444444444e-01 -1.0000000000e+00 4.2719516209e-01
-6.3333333333e-01 -1.0000000000e+00 4.2557000667e-01
-6.2222222222e-01 -1.0000000000e+00 4.2382922991e-01
-6.1111111111e-01 -1.0000000000e+00 4.2196465029e-01
-6.0000000000e-01 -1.0000000000e+00 4.1996751750e-01
-5.8888888889e-01 -1.0000000000e+00 4.1782847530e-01
-5.7777777778e-01 -1.0000000000e+00 4.1553752238e-01
-5.6666666667e-01 -1.0000000000e+00 4.1308397153e-01
-5.5555555556e-01 -1.0000000000e+00 4.1045640684e-01
-5.4444444444e-01 -1.0000000000e+00 4.0764263952e-01
-5.3333333333e-01 -1.0000000000e+00 4.0462966207e-01
-5.2222222222e-01 -1.0000000000e+00 4.0140360148e-01
-5.1111111111e-01 -1.0000000000e+00 3.9794967162e-01
-5.0000000000e-01 -1.0000000000e+00 3.9425212548e-01
-4.8888888889e-01 -1.0000000000e+00 3.9029420784e-01
-4.7777777778e-01 -1.0000000000e+00 3.8605810945e-01
-4.6666666667e-01 -1.0000000000e+00 3.8152492365e-01
-4.5555555556e-01 -1.0000000000e+00 3.7667460715e-01
-4.4444444444e-01 -1.0000000000e+00 3.7148594650e-01
-4.3333333333e-01 -1.0000000000e+00 3.6593653293e-01
-4.2222222222e-01 -1.0000000000e+00 3.6000274800e-01
-4.1111111111e-01 -1.0000000000e+00 3.5365976389e-01
-4.0000000000e-01 -1.0000000000e+00 3.4688156243e-01
-3.8888888889e-01 -1.0000000000e+00 3.3964097814e-01
-3.7777777778e-01 -1.0000000000e+00 3.3190977167e-01
-3.6666666667e-01 -1.0000000000e+00 3.2365874104e-01
-3.5555555556e-01 -1.0000000000e+00 3.1485787994e-01
-3.4444444444e-01 -1.0000000000e+00 3.0547659365e-01
-3.3333333333e-01 -1.0000000000e+00 2.9548398513e-01
-3.2222222222e-01 -1.0000000000e+00 2.8484922583e-01
-3.1111111111e-01 -1.0000000000e+00 2.7354202781e-01
-3.0000000000e-01 -1.0000000000e+00 2.6153323585e-01
-2.8888888889e-01 -1.0000000000e+00 2.4879556016e-01
-2.7777777778e-01 -1.0000000000e+00 2.3530447171e-01
-2.6666666667e-01 -1.0000000000e+00 2.2103928311e-01
-2.5555555556e-01 -1.0000000000e+00 2.0598443733e-01
-2.4444444444e-01 -1.0000000000e+00 1.9013102446e-01
-2.3333333333e-01 -1.0000000000e+00 1.7347854177e-01
-2.2222222222e-01 -1.0000000000e+00 1.5603690378e-01
-2.1111111111e-01 -1.0000000000e+00 1.3782869651e-01
-2.0000000000e-01 -1.0000000000e+00 1.1889165093e-01
-1.8888888889e-01 -1.0000000000e+00 9.9281285490e-02
-1.7777777778e-01 -1.0000000000e+00 7.9073634840e-02
-1.6666666667e-01 -1.0000000000e+00 5.8367941322e-02
-1.5555555556e-01 -1.0000000000e+00 3.7289139469e-02
-1.4444444444e-01 -1.0000000000e+00 1.5989913381e-02
-1.3333333333e-01 -1.0000000000e+00 -5.3479418462e-03
-1.2222222222e-01 -1.0000000000e+00 -2.6513163316e-02
-1.1111111111e-01 -1.0000000000e+00 -4.7265997552e-02
-1.0000000000e-01 -1.0000000000e+00 -6.7340830869e-02
-8.8888888889e-02 -1.0000000000e+00 -8.6450738350e-02
-7.7777777778e-02 -1.0000000000e+00 -1.0429411024e-01
-6.6666666667e-02 -1.0000000000e+00 -1.2056335100e-01
-5.5555555556e-02 -1.0000000000e+00 -1.3495543202e-01
-4.4444444444e-02 -1.0000000000e+00 -1.4718383325e-01
-3.3333333333e-02 -1.0000000000e+00 -1.5699116338e-01
-2.2222222222e-02 -1.0000000000e+00 -1.6416154583e-01
-1.1111111111e-02 -1.0000000000e+00 -1.6853174293e-01
0.0000000000e+00 -1.0000000000e+00 -1.7000000000e-01
1.1111111111e-02 -1.0000000000e+00 -1.6853174293e-01
2.2222222222e-02 -1.0000000000e+00 -1.6416154583e-01
3.3333333333e-02 -1.0000000000e+00 -1.5699116338e-01
4.4444444444e-02 -1.0000000000e+00 -1.4718383325e-01
