x y value
-1.0000000000e+00 -1.0000000000e+00 3.2456469000e-04
-9.8888888889e-01 -1.0000000000e+00 2.3703127583e-04
-9.7777777778e-01 -1.0000000000e+00 1.5463577671e-04
-9.6666666667e-01 -1.0000000000e+00 7.7938226528e-05
-9.5555555556e-01 -1.0000000000e+00 7.3940178800e-06
-9.4444444444e-01 -1.0000000000e+00 5.6642131472e-05
-9.3333333333e-01 -1.0000000000e+00 1.1391183388e-04
-9.2222222222e-01 -1.0000000000e+00 1.6424830716e-04
-9.1111111111e-01 -1.0000000000e+00 2.0757127071e-04
-9.0000000000e-01 -1.0000000000e+00 2.4388147018e-04
-8.8888888889e-01 -1.0000000000e+00 2.7325485103e-04
-8.7777777778e-01 -1.0000000000e+00 2.9583641832e-04
-8.6666666667e-01 -1.0000000000e+00 3.1183384276e-04
-8.5555555556e-01 -1.0000000000e+00 3.2151089903e-04
-8.4444444444e-01 -1.0000000000e+00 3.2518085196e-04
-8.3333333333e-01 -1.0000000000e+00 3.2319993563e-04
-8.2222222222e-01 -1.0000000000e+00 3.1596109803e-04
-8.1111111111e-01 -1.0000000000e+00 3.0388820443e-04
-8.0000000000e-01 -1.0000000000e+00 2.8743090135e-04
-7.8888888889e-01 -1.0000000000e+00 2.6706033416e-04
-7.7777777778e-01 -1.0000000000e+00 2.4326587887e-04
-7.6666666667e-01 -1.0000000000e+00 2.1655298772e-04
-7.5555555556e-01 -1.0000000000e+00 1.8744215625e-04
-7.4444444444e-01 -1.0000000000e+00 1.5646889772e-04
-7.3333333333e-01 -1.0000000000e+00 1.2418446475e-04
-7.2222222222e-01 -1.0000000000e+00 9.1156900037e-05
-7.1111111111e-01 -1.0000000000e+00 5.7971846135e-05
-7.0000000000e-01 -1.0000000000e+00 2.5232419396e-05
-6.8888888889e-01 -1.0000000000e+00 6.4426193431e-06
-6.7777777778e-01 -1.0000000000e+00 3.6423164138e-05
-6.6666666667e-01 -1.0000000000e+00 6.4075210723e-05
-6.5555555556e-01 -1.0000000000e+00 8.8771945121e-05
-6.4444444444e-01 -1.0000000000e+00 1.0990870047e-04
