x y value
-1.0000000000e+00 -1.0000000000e+00 3.0754084444e-06
-9.8888888889e-01 -1.0000000000e+00 2.2939803794e-05
-9.7777777778e-01 -1.0000000000e+00 4.0774352806e-05
-9.6666666667e-01 -1.0000000000e+00 5.1123343193e-05
-9.5555555556e-01 -1.0000000000e+00 5.4736152217e-05
-9.4444444444e-01 -1.0000000000e+00 5.2410185455e-05
-9.3333333333e-01 -1.0000000000e+00 4.4983662071e-05
-9.2222222222e-01 -1.0000000000e+00 3.3327380100e-05
-9.1111111111e-01 -1.0000000000e+00 1.8335419775e-05
-9.0000000000e-01 -1.0000000000e+00 9.1475624566e-07
-8.8888888889e-01 -1.0000000000e+00 1.8026226338e-05
-8.7777777778e-01 -1.0000000000e+00 3.7590298265e-05
-8.6666666667e-01 -1.0000000000e+00 5.6904965372e-05
-8.5555555556e-01 -1.0000000000e+00 7.5136958970e-05
-8.4444444444e-01 -1.0000000000e+00 9.1507466349e-05
-8.3333333333e-01 -1.0000000000e+00 1.0530786425e-04
-8.2222222222e-01 -1.0000000000e+00 1.1591563975e-04
-8.1111111111e-01 -1.0000000000e+00 1.2281009854e-04
-8.0000000000e-01 -1.0000000000e+00 1.2558737314e-04
-7.8888888889e-01 -1.0000000000e+00 1.2397415758e-04
-7.7777777778e-01 -1.0000000000e+00 1.1783951758e-04
-7.6666666667e-01 -1.0000000000e+00 1.0720406276e-04
-7.5555555556e-01 -1.0000000000e+00 9.2245731663e-05
-7.4444444444e-01 -1.0000000000e+00 7.3301440128e-05
-7.3333333333e-01 -1.0000000000e+00 5.0863892234e-05
-7.2222222222e-01 -1.0000000000e+00 2.5572960458e-05
-7.1111111111e-01 -1.0000000000e+00 1.7987833064e-06
-7.0000000000e-01 -1.0000000000e+00 3.0366557780e-05
-6.8888888889e-01 -1.0000000000e+00 5.9159740879e-05
-6.7777777778e-01 -1.0000000000e+00 8.7153604316e-05
-6.6666666667e-01 -1.0000000000e+00 1.1330549909e-04
-6.5555555556e-01 -1.0000000000e+00 1.3659417488e-04
-6.4444444444e-01 -1.0000000000e+00 1.5606055702e-04
-6.3333333333e-01 -1.0000000000e+00 1.7084803420e-04
-6.2222222222e-01 -1.0000000000e+00 1.8024017315e-04
-6.1111111111e-01 -1.0000000000e+00 1.8369380959e-04
-6.0000000000e-01 -1.0000000000e+00 1.8086568927e-04
-5.8888888889e-01 -1.0000000000e+00 1.7163124822e-04
-5.7777777778e-01 -1.0000000000e+00 1.5609470186e-04
-5.6666666667e-01 -1.0000000000e+00 1.3459030676e-04
-5.5555555556e-01 -1.0000000000e+00 1.0767539130e-04
-5.4444444444e-01 -1.0000000000e+00 7.6116427651e-05
-5.3333333333e-01 -1.0000000000e+00 4.0869935036e-05
-5.2222222222e-01 -1.0000000000e+00 3.0602571162e-06
-5.1111111111e-01 -1.0000000000e+00 3.6043846562e-05
-5.0000000000e-01 -1.0000000000e+00 7.5052385049e-05
-4.8888888889e-01 -1.0000000000e+00 1.1247667266e-04
-4.7777777778e-01 -1.0000000000e+00 1.4675221115e-04
-4.6666666667e-01 -1.0000000000e+00 1.7626465151e-04
-4.5555555556e-01 -1.0000000000e+00 1.9938341993e-04
-4.4444444444e-01 -1.0000000000e+00 2.1450920147e-04
-4.3333333333e-01 -1.0000000000e+00 2.2014234235e-04
-4.2222222222e-01 -1.0000000000e+00 2.1497871724e-04
-4.1111111111e-01 -1.0000000000e+00 1.9803701711e-04
-4.0000000000e-01 -1.0000000000e+00 1.6881615322e-04
-3.8888888889e-01 -1.0000000000e+00 1.2747332613e-04
-3.7777777778e-01 -1.0000000000e+00 7.5002766402e-05
-3.6666666667e-01 -1.0000000000e+00 1.3383731591e-05
-3.5555555556e-01 -1.0000000000e+00 5.4343270406e-05
-3.4444444444e-01 -1.0000000000e+00 1.2411722835e-04
-3.3333333333e-01 -1.0000000000e+00 1.9105437022e-04
-3.2222222222e-01 -1.0000000000e+00 2.4982546984e-04
-3.1111111111e-01 -1.0000000000e+00 2.9520497976e-04
-3.0000000000e-01 -1.0000000000e+00 3.2274414993e-04
-2.8888888889e-01 -1.0000000000e+00 3.2947750881e-04
-2.7777777778e-01 -1.0000000000e+00 3.1453700143e-04
-2.6666666667e-01 -1.0000000000e+00 2.7953220062e-04
-2.5555555556e-01 -1.0000000000e+00 2.2856796678e-04
-2.4444444444e-01 -1.0000000000e+00 1.6781759152e-04
-2.3333333333e-01 -1.0000000000e+00 1.0464803954e-04
-2.2222222222e-01 -1.0000000000e+00 4.6395347542e-05
-2.1111111111e-01 -1.0000000000e+00 1.0039181004e-06
-2.0000000000e-01 -1.0000000000e+00 3.4229312407e-05
-1.8888888889e-01 -1.0000000000e+00 5.3305244309e-05
-1.7777777778e-01 -1.0000000000e+00 6.1549769543e-05
-1.6666666667e-01 -1.0000000000e+00 6.4603518608e-05
-1.5555555556e-01 -1.0000000000e+00 6.8652426412e-05
-1.4444444444e-01 -1.0000000000e+00 7.8259401880e-05
-1.3333333333e-01 -1.0000000000e+00 9.4469185086e-05
-1.2222222222e-01 -1.0000000000e+00 1.1392531862e-04
-1.1111111111e-01 -1.0000000000e+00 1.2953988039e-04
-1.0000000000e-01 -1.0000000000e+00 1.3276454099e-04
-8.8888888889e-02 -1.0000000000e+00 1.1683135647e-04
-7.7777777778e-02 -1.0000000000e+00 7.9720126357e-05
-6.6666666667e-02 -1.0000000000e+00 2.5431612817e-05
-5.5555555556e-02 -1.0000000000e+00 3.7294971974e-05
-4.4444444444e-02 -1.0000000000e+00 9.8441008695e-05
-3.3333333333e-02 -1.0000000000e+00 1.5065320146e-04
-2.2222222222e-02 -1.0000000000e+00 1.9152319671e-04
-1.1111111111e-02 -1.0000000000e+00 2.2296746412e-04
0.0000000000e+00 -1.0000000000e+00 2.4829542617e-04
1.1111111111e-02 -1.0000000000e+00 2.6901741936e-04
2.2222222222e-02 -1.0000000000e+00 2.8345584835e-04
3.3333333333e-02 -1.0000000000e+00 2.8779379951e-04
4.4444444444e-02 -1.0000000000e+00 2.7847645983e-04
5.5555555556e-02 -1.0000000000e+00 2.5419269822e-04
6.6666666667e-02 -1.0000000000e+00 2.1636419332e-04
7.7777777778e-02 -1.0000000000e+00 1.6834177341e-04
8.8888888889e-02 -1.0000000000e+00 1.1425039768e-04
1.0000000000e-01 -1.0000000000e+00 5.8246118968e-05
1.1111111111e-01 -1.0000000000e+00 4.3061088954e-06
1.2222222222e-01 -1.0000000000e+00 4.3780780603e-05
1.3333333333e-01 -1.0000000000e+00 8.2564502813e-05
1.4444444444e-01 -1.0000000000e+00 1.0930836211e-04
1.5555555556e-01 -1.0000000000e+00 1.2243443506e-04
1.6666666667e-01 -1.0000000000e+00 1.2182109755e-04
1.7777777778e-01 -1.0000000000e+00 1.0881582463e-04
1.8888888889e-01 -1.0000000000e+00 8.5958924222e-05
2.0000000000e-01 -1.0000000000e+00 5.6516168903e-05
2.1111111111e-01 -1.0000000000e+00 2.3958050942e-05
2.2222222222e-01 -1.0000000000e+00 8.4928550446e-06
2.3333333333e-01 -1.0000000000e+00 3.8173047050e-05
2.4444444444e-01 -1.0000000000e+00 6.3129015709e-05
2.5555555556e-01 -1.0000000000e+00 8.2132023810e-05
2.6666666667e-01 -1.0000000000e+00 9.4603259220e-05
2.7777777778e-01 -1.0000000000e+00 1.0049807698e-04
2.8888888889e-01 -1.0000000000e+00 1.0018629948e-04
3.0000000000e-01 -1.0000000000e+00 9.4348380491e-05
3.1111111111e-01 -1.0000000000e+00 8.3891954936e-05
3.2222222222e-01 -1.0000000000e+00 6.9883902480e-05
3.3333333333e-01 -1.0000000000e+00 5.3490074750e-05
3.4444444444e-01 -1.0000000000e+00 3.5916472270e-05
3.5555555556e-01 -1.0000000000e+00 1.8349344545e-05
3.6666666667e-01 -1.0000000000e+00 1.8952995514e-06
3.7777777778e-01 -1.0000000000e+00 1.2475126136e-05
3.8888888889e-01 -1.0000000000e+00 2.3976142683e-05
4.0000000000e-01 -1.0000000000e+00 3.2043724166e-05
4.1111111111e-01 -1.0000000000e+00 3.6358191572e-05
4.2222222222e-01 -1.0000000000e+00 3.6850993402e-05
4.3333333333e-01 -1.0000000000e+00 3.3695691557e-05
4.4444444444e-01 -1.0000000000e+00 2.7284344049e-05
4.5555555556e-01 -1.0000000000e+00 1.8191416138e-05
4.6666666667e-01 -1.0000000000e+00 7.1280518657e-06
4.7777777778e-01 -1.0000000000e+00 5.1099823647e-06
4.8888888889e-01 -1.0000000000e+00 1.7697099746e-05
5.0000000000e-01 -1.0000000000e+00 2.9831797401e-05
5.1111111111e-01 -1.0000000000e+00 4.0786177866e-05
5.2222222222e-01 -1.0000000000e+00 4.9947984611e-05
5.3333333333e-01 -1.0000000000e+00 5.6852646299e-05
5.4444444444e-01 -1.0000000000e+00 6.1203607356e-05
5.5555555556e-01 -1.0000000000e+00 6.2880135059e-05
5.6666666667e-01 -1.0000000000e+00 6.1932759304e-05
5.7777777778e-01 -1.0000000000e+00 5.8567431492e-05
5.8888888889e-01 -1.0000000000e+00 5.3120294965e-05
6.0000000000e-01 -1.0000000000e+00 4.6025565702e-05
6.1111111111e-01 -1.0000000000e+00 3.7779377484e-05
6.2222222222e-01 -1.0000000000e+00 2.8902530537e-05
6.3333333333e-01 -1.0000000000e+00 1.9904908522e-05
6.4444444444e-01 -1.0000000000e+00 1.1253935999e-05
6.5555555556e-01 -1.0000000000e+00 3.3488969088e-06
6.6666666667e-01 -1.0000000000e+00 3.4977054101e-06
6.7777777778e-01 -1.0000000000e+00 9.0712242289e-06
6.8888888889e-01 -1.0000000000e+00 1.3258473002e-05
7.0000000000e-01 -1.0000000000e+00 1.6044469601e-05
7.1111111111e-01 -1.0000000000e+00 1.7503332543e-05
7.2222222222e-01 -1.0000000000e+00 1.7784601670e-05
7.3333333333e-01 -1.0000000000e+00 1.7096381769e-05
7.4444444444e-01 -1.0000000000e+00 1.5686712625e-05
7.5555555556e-01 -1.0000000000e+00 1.3824475293e-05
7.6666666667e-01 -1.0000000000e+00 1.1780978377e-05
7.7777777778e-01 -1.0000000000e+00 9.8131567575e-06
7.8888888889e-01 -1.0000000000e+00 8.1490831279e-06
8.0000000000e-01 -1.0000000000e+00 6.9762606323e-06
8.1111111111e-01 -1.0000000000e+00 6.4329484326e-06
8.2222222222e-01 -1.0000000000e+00 6.6025818812e-06
8.3333333333e-01 -1.0000000000e+00 7.5111911769e-06
8.4444444444e-01 -1.0000000000e+00 9.1275991113e-06
8.5555555556e-01 -1.0000000000e+00 1.1366089195e-05
8.6666666667e-01 -1.0000000000e+00 1.4091177255e-05
8.7777777778e-01 -1.0000000000e+00 1.7124088768e-05
8.8888888889e-01 -1.0000000000e+00 2.0250536059e-05
9.0000000000e-01 -1.0000000000e+00 2.3229399544e-05
9.1111111111e-01 -1.0000000000e+00 2.5801940799e-05
9.2222222222e-01 -1.0000000000e+00 2.7701208395e-05
9.3333333333e-01 -1.0000000000e+00 2.8661336385e-05
9.4444444444e-01 -1.0000000000e+00 2.8426477112e-05
9.5555555556e-01 -1.0000000000e+00 2.6759151950e-05
9.6666666667e-01 -1.0000000000e+00 2.3447843866e-05
9.7777777778e-01 -1.0000000000e+00 1.8313692841e-05
9.8888888889e-01 -1.0000000000e+00 1.1216188385e-05
1.0000000000e+00 -1.0000000000e+00 2.0577822322e-06
-1.0000000000e+00 -9.8888888889e-01 5.9601367008e-05
-9.8888888889e-01 -9.8888888889e-01 7.8068709889e-05
-9.7777777778e-01 -9.8888888889e-01 8.8974387377e-05
-9.6666666667e-01 -9.8888888889e-01 9.2999713409e-05
-9.5555555556e-01 -9.8888888889e-01 9.0877286473e-05
-9.4444444444e-01 -9.8888888889e-01 8.3384321949e-05
-9.3333333333e-01 -9.8888888889e-01 7.1335149363e-05
-9.2222222222e-01 -9.8888888889e-01 5.5572852404e-05
-9.1111111111e-01 -9.8888888889e-01 3.6960031473e-05
-9.0000000000e-01 -9.8888888889e-01 1.6368674663e-05
-8.8888888889e-01 -9.8888888889e-01 5.3308649787e-06
-8.7777777778e-01 -9.8888888889e-01 2.7281768739e-05
-8.6666666667e-01 -9.8888888889e-01 4.8653482865e-05
-8.5555555556e-01 -9.8888888889e-01 6.8655197490e-05
-8.4444444444e-01 -9.8888888889e-01 8.6549942611e-05
-8.3333333333e-01 -9.8888888889e-01 1.0166911132e-04
-8.2222222222e-01 -9.8888888889e-01 1.1342715215e-04
-8.1111111111e-01 -9.8888888889e-01 1.2133609609e-04
-8.0000000000e-01 -9.8888888889e-01 1.2501950166e-04
-7.8888888889e-01 -9.8888888889e-01 1.2422531818e-04
-7.7777777778e-01 -9.8888888889e-01 1.1883708694e-04
-7.6666666667e-01 -9.8888888889e-01 1.0888283108e-04
-7.5555555556e-01 -9.8888888889e-01 9.4540934891e-05
-7.4444444444e-01 -9.8888888889e-01 7.6142293054e-05
-7.3333333333e-01 -9.8888888889e-01 5.4168031626e-05
-7.2222222222e-01 -9.8888888889e-01 2.9242176311e-05
-7.1111111111e-01 -9.8888888889e-01 2.1187809542e-06
-7.0000000000e-01 -9.8888888889e-01 2.6336763456e-05
-6.8888888889e-01 -9.8888888889e-01 5.5172239903e-05
-6.7777777778e-01 -9.8888888889e-01 8.3378593359e-05
-6.6666666667e-01 -9.8888888889e-01 1.0992466058e-04
-6.5555555556e-01 -9.8888888889e-01 1.3379549426e-04
-6.4444444444e-01 -9.8888888889e-01 1.5403273912e-04
-6.3333333333e-01 -9.8888888889e-01 1.6977518536e-04
-6.2222222222e-01 -9.8888888889e-01 1.8029740272e-04
-6.1111111111e-01 -9.8888888889e-01 1.8504429109e-04
-6.0000000000e-01 -9.8888888889e-01 1.8365950330e-04
-5.8888888889e-01 -9.8888888889e-01 1.7600601681e-04
-5.7777777778e-01 -9.8888888889e-01 1.6217764488e-04
-5.6666666667e-01 -9.8888888889e-01 1.4250094636e-04
-5.5555555556e-01 -9.8888888889e-01 1.1752775393e-04
-5.4444444444e-01 -9.8888888889e-01 8.8019305067e-05
-5.3333333333e-01 -9.8888888889e-01 5.4923624557e-05
-5.2222222222e-01 -9.8888888889e-01 1.9348259959e-05
-5.1111111111e-01 -9.8888888889e-01 1.7469393994e-05
-5.0000000000e-01 -9.8888888889e-01 5.4192217478e-05
-4.8888888889e-01 -9.8888888889e-01 8.9412698235e-05
-4.7777777778e-01 -9.8888888889e-01 1.2168142052e-04
-4.6666666667e-01 -9.8888888889e-01 1.4953620694e-04
-4.5555555556e-01 -9.8888888889e-01 1.7153514069e-04
-4.4444444444e-01 -9.8888888889e-01 1.8629828898e-04
-4.3333333333e-01 -9.8888888889e-01 1.9256394540e-04
-4.2222222222e-01 -9.8888888889e-01 1.8926503246e-04
-4.1111111111e-01 -9.8888888889e-01 1.7562933187e-04
-4.0000000000e-01 -9.8888888889e-01 1.5130292617e-04
-3.8888888889e-01 -9.8888888889e-01 1.1648947317e-04
-3.7777777778e-01 -9.8888888889e-01 7.2089165909e-05
-3.6666666667e-01 -9.8888888889e-01 1.9811820061e-05
-3.5555555556e-01 -9.8888888889e-01 3.7769175593e-05
-3.4444444444e-01 -9.8888888889e-01 9.7258236646e-05
-3.3333333333e-01 -9.8888888889e-01 1.5460549464e-04
-3.2222222222e-01 -9.8888888889e-01 2.0541743061e-04
-3.1111111111e-01 -9.8888888889e-01 2.4540143693e-04
-3.0000000000e-01 -9.8888888889e-01 2.7090369298e-04
-2.8888888889e-01 -9.8888888889e-01 2.7946729599e-04
