x y value
-1.0000000000e+00 -1.0000000000e+00 2.6757541331e-04
-9.8888888889e-01 -1.0000000000e+00 1.0984409042e-04
-9.7777777778e-01 -1.0000000000e+00 2.1295188918e-05
-9.6666666667e-01 -1.0000000000e+00 1.2615843917e-04
-9.5555555556e-01 -1.0000000000e+00 2.0548021983e-04
-9.4444444444e-01 -1.0000000000e+00 2.6038135319e-04
-9.3333333333e-01 -1.0000000000e+00 2.9233225174e-04
-9.2222222222e-01 -1.0000000000e+00 3.0311281104e-04
-9.1111111111e-01 -1.0000000000e+00 2.9476968214e-04
-9.0000000000e-01 -1.0000000000e+00 2.6957156104e-04
-8.8888888889e-01 -1.0000000000e+00 2.2996294401e-04
-8.7777777778e-01 -1.0000000000e+00 1.7851662329e-04
-8.6666666667e-01 -1.0000000000e+00 1.1788506319e-04
-8.5555555556e-01 -1.0000000000e+00 5.0750728232e-05
-8.4444444444e-01 -1.0000000000e+00 2.0224546866e-05
-8.3333333333e-01 -1.0000000000e+00 9.2450937310e-05
-8.2222222222e-01 -1.0000000000e+00 1.6346232979e-04
-8.1111111111e-01 -1.0000000000e+00 2.3096760739e-04
-8.0000000000e-01 -1.0000000000e+00 2.9290041053e-04
-7.8888888889e-01 -1.0000000000e+00 3.4746588265e-04
-7.7777777778e-01 -1.0000000000e+00 3.9318256872e-04
-7.6666666667e-01 -1.0000000000e+00 4.2891739821e-04
-7.5555555556e-01 -1.0000000000e+00 4.5391161024e-04
-7.4444444444e-01 -1.0000000000e+00 4.6779561031e-04
-7.3333333333e-01 -1.0000000000e+00 4.7059110452e-04
-7.2222222222e-01 -1.0000000000e+00 4.6269942900e-04
-7.1111111111e-01 -1.0000000000e+00 4.4487574116e-04
-7.0000000000e-01 -1.0000000000e+00 4.1818959889e-04
-6.8888888889e-01 -1.0000000000e+00 3.8397334344e-04
-6.7777777778e-01 -1.0000000000e+00 3.4376053289e-04
-6.6666666667e-01 -1.0000000000e+00 2.9921736487e-04
-6.5555555556e-01 -1.0000000000e+00 2.5207051304e-04
-6.4444444444e-01 -1.0000000000e+00 2.0403504123e-04
-6.3333333333e-01 -1.0000000000e+00 1.5674603478e-04
-6.2222222222e-01 -1.0000000000e+00 1.1169731178e-04
-6.1111111111e-01 -1.0000000000e+00 7.0190079912e-05
-6.0000000000e-01 -1.0000000000e+00 3.3293736960e-05
-5.8888888889e-01 -1.0000000000e+00 1.8202339657e-06
-5.7777777778e-01 -1.0000000000e+00 2.3687406865e-05
-5.6666666667e-01 -1.0000000000e+00 4.2952642930e-05
-5.5555555556e-01 -1.0000000000e+00 5.5950005845e-05
-5.4444444444e-01 -1.0000000000e+00 6.2878363399e-05
-5.3333333333e-01 -1.0000000000e+00 6.4124991200e-05
-5.2222222222e-01 -1.0000000000e+00 6.0222973058e-05
-5.1111111111e-01 -1.0000000000e+00 5.1804683011e-05
-5.0000000000e-01 -1.0000000000e+00 3.9554199642e-05
-4.8888888889e-01 -1.0000000000e+00 2.4161475822e-05
-4.7777777778e-01 -1.0000000000e+00 6.2809444089e-06
-4.6666666667e-01 -1.0000000000e+00 1.3503010126e-05
-4.5555555556e-01 -1.0000000000e+00 3.4701639919e-05
-4.4444444444e-01 -1.0000000000e+00 5.6936869437e-05
-4.3333333333e-01 -1.0000000000e+00 7.9944736589e-05
-4.2222222222e-01 -1.0000000000e+00 1.0356687539e-04
-4.1111111111e-01 -1.0000000000e+00 1.2773045546e-04
-4.0000000000e-01 -1.0000000000e+00 1.5241785420e-04
-3.8888888889e-01 -1.0000000000e+00 1.7762824308e-04
-3.7777777778e-01 -1.0000000000e+00 2.0333416312e-04
-3.6666666667e-01 -1.0000000000e+00 2.2943696584e-04
-3.5555555556e-01 -1.0000000000e+00 2.5572560594e-04
-3.4444444444e-01 -1.0000000000e+00 2.8184357694e-04
-3.3333333333e-01 -1.0000000000e+00 3.0726867250e-04
-3.2222222222e-01 -1.0000000000e+00 3.3130964359e-04
-3.1111111111e-01 -1.0000000000e+00 3.5312266389e-04
-3.0000000000e-01 -1.0000000000e+00 3.7174883494e-04
-2.8888888889e-01 -1.0000000000e+00 3.8617186579e-04
-2.7777777778e-01 -1.0000000000e+00 3.9539274034e-04
-2.6666666667e-01 -1.0000000000e+00 3.9851590189e-04
-2.5555555556e-01 -1.0000000000e+00 3.9483954286e-04
-2.4444444444e-01 -1.0000000000e+00 3.8394128759e-04
-2.3333333333e-01 -1.0000000000e+00 3.6575014418e-04
-2.2222222222e-01 -1.0000000000e+00 3.4059622163e-04
-2.1111111111e-01 -1.0000000000e+00 3.0923136796e-04
-2.0000000000e-01 -1.0000000000e+00 2.7281644315e-04
-1.8888888889e-01 -1.0000000000e+00 2.3287411742e-04
-1.7777777778e-01 -1.0000000000e+00 1.9120950389e-04
-1.6666666667e-01 -1.0000000000e+00 1.4980417315e-04
-1.5555555556e-01 -1.0000000000e+00 1.1069176000e-04
-1.4444444444e-01 -1.0000000000e+00 7.5825148354e-05
-1.3333333333e-01 -1.0000000000e+00 4.6945932942e-05
-1.2222222222e-01 -1.0000000000e+00 2.5466482427e-05
-1.1111111111e-01 -1.0000000000e+00 1.2373591674e-05
-1.0000000000e-01 -1.0000000000e+00 8.1606456182e-06
-8.8888888889e-02 -1.0000000000e+00 1.2792717644e-05
-7.7777777778e-02 -1.0000000000e+00 2.5706390048e-05
-6.6666666667e-02 -1.0000000000e+00 4.5843568443e-05
-5.5555555556e-02 -1.0000000000e+00 7.1716350044e-05
-4.4444444444e-02 -1.0000000000e+00 1.0149820303e-04
-3.3333333333e-02 -1.0000000000e+00 1.3313535830e-04
-2.2222222222e-02 -1.0000000000e+00 1.6447139847e-04
-1.1111111111e-02 -1.0000000000e+00 1.9337752431e-04
0.0000000000e+00 -1.0000000000e+00 2.1788085597e-04
1.1111111111e-02 -1.0000000000e+00 2.3628336493e-04
2.2222222222e-02 -1.0000000000e+00 2.4726461753e-04
3.3333333333e-02 -1.0000000000e+00 2.4996242676e-04
4.4444444444e-02 -1.0000000000e+00 2.4402672924e-04
5.5555555556e-02 -1.0000000000e+00 2.2964348146e-04
6.6666666667e-02 -1.0000000000e+00 2.0752703702e-04
7.7777777778e-02 -1.0000000000e+00 1.7888123815e-04
8.8888888889e-02 -1.0000000000e+00 1.4533123670e-04
1.0000000000e-01 -1.0000000000e+00 1.0882975693e-04
1.1111111111e-01 -1.0000000000e+00 7.1543036480e-05
1.2222222222e-01 -1.0000000000e+00 3.5722954896e-05
1.3333333333e-01 -1.0000000000e+00 3.5728107211e-06
1.4444444444e-01 -1.0000000000e+00 2.2885224131e-05
1.5555555556e-01 -1.0000000000e+00 4.1932820509e-05
1.6666666667e-01 -1.0000000000e+00 5.2260598219e-05
1.7777777778e-01 -1.0000000000e+00 5.3048746535e-05
1.8888888889e-01 -1.0000000000e+00 4.4017728450e-05
2.0000000000e-01 -1.0000000000e+00 2.5445585384e-05
2.1111111111e-01 -1.0000000000e+00 1.8492921363e-06
2.2222222222e-01 -1.0000000000e+00 3.6558483409e-05
2.3333333333e-01 -1.0000000000e+00 7.6962929913e-05
2.4444444444e-01 -1.0000000000e+00 1.2103510245e-04
2.5555555556e-01 -1.0000000000e+00 1.6655593905e-04
2.6666666667e-01 -1.0000000000e+00 2.1123766478e-04
2.7777777778e-01 -1.0000000000e+00 2.5284368683e-04
2.8888888889e-01 -1.0000000000e+00 2.8929781465e-04
3.0000000000e-01 -1.0000000000e+00 3.1877693517e-04
3.1111111111e-01 -1.0000000000e+00 3.3978368319e-04
3.2222222222e-01 -1.0000000000e+00 3.5119819197e-04
3.3333333333e-01 -1.0000000000e+00 3.5231026670e-04
3.4444444444e-01 -1.0000000000e+00 3.4283492299e-04
3.5555555556e-01 -1.0000000000e+00 3.2291492952e-04
3.6666666667e-01 -1.0000000000e+00 2.9311371948e-04
3.7777777778e-01 -1.0000000000e+00 2.5440091506e-04
3.8888888889e-01 -1.0000000000e+00 2.0813103767e-04
4.0000000000e-01 -1.0000000000e+00 1.5601416687e-04
4.1111111111e-01 -1.0000000000e+00 1.0007581468e-04
4.2222222222e-01 -1.0000000000e+00 4.2602504775e-05
4.3333333333e-01 -1.0000000000e+00 1.3930230952e-05
4.4444444444e-01 -1.0000000000e+00 6.6949405523e-05
4.5555555556e-01 -1.0000000000e+00 1.1389534254e-04
4.6666666667e-01 -1.0000000000e+00 1.5234834412e-04
4.7777777778e-01 -1.0000000000e+00 1.8016477983e-04
4.8888888889e-01 -1.0000000000e+00 1.9561329463e-04
5.0000000000e-01 -1.0000000000e+00 1.9749989557e-04
5.1111111111e-01 -1.0000000000e+00 1.8527003610e-04
5.2222222222e-01 -1.0000000000e+00 1.5907669569e-04
5.3333333333e-01 -1.0000000000e+00 1.1980582796e-04
5.4444444444e-01 -1.0000000000e+00 6.9054158985e-05
5.5555555556e-01 -1.0000000000e+00 9.0586915418e-06
5.6666666667e-01 -1.0000000000e+00 5.7418172366e-05
5.7777777778e-01 -1.0000000000e+00 1.2723983757e-04
5.8888888889e-01 -1.0000000000e+00 1.9707178464e-04
6.0000000000e-01 -1.0000000000e+00 2.6356969462e-04
6.1111111111e-01 -1.0000000000e+00 3.2356568809e-04
6.2222222222e-01 -1.0000000000e+00 3.7423973442e-04
6.3333333333e-01 -1.0000000000e+00 4.1326517585e-04
6.4444444444e-01 -1.0000000000e+00 4.3891994608e-04
6.5555555556e-01 -1.0000000000e+00 4.5015807413e-04
6.6666666667e-01 -1.0000000000e+00 4.4663911679e-04
6.7777777778e-01 -1.0000000000e+00 4.2871600449e-04
6.8888888889e-01 -1.0000000000e+00 3.9738426190e-04
7.0000000000e-01 -1.0000000000e+00 3.5419761062e-04
7.1111111111e-01 -1.0000000000e+00 3.0115657446e-04
7.2222222222e-01 -1.0000000000e+00 2.4057791333e-04
7.3333333333e-01 -1.0000000000e+00 1.7495352869e-04
7.4444444444e-01 -1.0000000000e+00 1.0680790398e-04
7.5555555556e-01 -1.0000000000e+00 3.8563125704e-05
7.6666666667e-01 -1.0000000000e+00 2.7579986947e-05
7.7777777778e-01 -1.0000000000e+00 8.9737193464e-05
7.8888888889e-01 -1.0000000000e+00 1.4640679252e-04
8.0000000000e-01 -1.0000000000e+00 1.9650263339e-04
8.1111111111e-01 -1.0000000000e+00 2.3935317865e-04
8.2222222222e-01 -1.0000000000e+00 2.7466840474e-04
8.3333333333e-01 -1.0000000000e+00 3.0247902335e-04
8.4444444444e-01 -1.0000000000e+00 3.2305481129e-04
8.5555555556e-01 -1.0000000000e+00 3.3681047917e-04
8.6666666667e-01 -1.0000000000e+00 3.4420829592e-04
8.7777777778e-01 -1.0000000000e+00 3.4566653546e-04
8.8888888889e-01 -1.0000000000e+00 3.4148177170e-04
9.0000000000e-01 -1.0000000000e+00 3.3177127881e-04
9.1111111111e-01 -1.0000000000e+00 3.1643954295e-04
9.2222222222e-01 -1.0000000000e+00 2.9517044727e-04
9.3333333333e-01 -1.0000000000e+00 2.6744433331e-04
9.4444444444e-01 -1.0000000000e+00 2.3257710791e-04
9.5555555556e-01 -1.0000000000e+00 1.8977701636e-04
9.6666666667e-01 -1.0000000000e+00 1.3821372579e-04
9.7777777778e-01 -1.0000000000e+00 7.7093960042e-05
9.8888888889e-01 -1.0000000000e+00 5.7380424103e-06
1.0000000000e+00 -1.0000000000e+00 7.6347764497e-05
-1.0000000000e+00 -9.8888888889e-01 4.3410878745e-04
-9.8888888889e-01 -9.8888888889e-01 2.5311050962e-04
-9.7777777778e-01 -9.8888888889e-01 1.0064927397e-04
-9.6666666667e-01 -9.8888888889e-01 2.3441353058e-05
-9.5555555556e-01 -9.8888888889e-01 1.1980220769e-04
-9.4444444444e-01 -9.8888888889e-01 1.8951643649e-04
-9.3333333333e-01 -9.8888888889e-01 2.3407115711e-04
-9.2222222222e-01 -9.8888888889e-01 2.5531400816e-04
-9.1111111111e-01 -9.8888888889e-01 2.5540561845e-04
-9.0000000000e-01 -9.8888888889e-01 2.3676887278e-04
-8.8888888889e-01 -9.8888888889e-01 2.0203567792e-04
-8.7777777778e-01 -9.8888888889e-01 1.5399176473e-04
-8.6666666667e-01 -9.8888888889e-01 9.5519930595e-05
-8.5555555556e-01 -9.8888888889e-01 2.9542055222e-05
-8.4444444444e-01 -9.8888888889e-01 4.1039764145e-05
-8.3333333333e-01 -9.8888888889e-01 1.1340250252e-04
-8.2222222222e-01 -9.8888888889e-01 1.8486125805e-04
-8.1111111111e-01 -9.8888888889e-01 2.5292710695e-04
-8.0000000000e-01 -9.8888888889e-01 3.1536245733e-04
-7.8888888889e-01 -9.8888888889e-01 3.7023224020e-04
-7.7777777778e-01 -9.8888888889e-01 4.1594896792e-04
-7.6666666667e-01 -9.8888888889e-01 4.5130949373e-04
-7.5555555556e-01 -9.8888888889e-01 4.7552127777e-04
-7.4444444444e-01 -9.8888888889e-01 4.8821614765e-04
-7.3333333333e-01 -9.8888888889e-01 4.8944995305e-04
-7.2222222222e-01 -9.8888888889e-01 4.7968714274e-04
