x y value
-1.0000000000e+00 -1.0000000000e+00 4.5000128189e-01
-9.8888888889e-01 -1.0000000000e+00 4.4762274325e-01
-9.7777777778e-01 -1.0000000000e+00 4.4524713088e-01
-9.6666666667e-01 -1.0000000000e+00 4.4287734195e-01
-9.5555555556e-01 -1.0000000000e+00 4.4051626656e-01
-9.4444444444e-01 -1.0000000000e+00 4.3816678425e-01
-9.3333333333e-01 -1.0000000000e+00 4.3583176041e-01
-9.2222222222e-01 -1.0000000000e+00 4.3351404275e-01
-9.1111111111e-01 -1.0000000000e+00 4.3121645780e-01
-9.0000000000e-01 -1.0000000000e+00 4.2894180737e-01
-8.8888888889e-01 -1.0000000000e+00 4.2669286514e-01
-8.7777777778e-01 -1.0000000000e+00 4.2447237313e-01
-8.6666666667e-01 -1.0000000000e+00 4.2228303840e-01
-8.5555555556e-01 -1.0000000000e+00 4.2012752958e-01
-8.4444444444e-01 -1.0000000000e+00 4.1800847366e-01
-8.3333333333e-01 -1.0000000000e+00 4.1592845264e-01
-8.2222222222e-01 -1.0000000000e+00 4.1389000039e-01
-8.1111111111e-01 -1.0000000000e+00 4.1189559947e-01
-8.0000000000e-01 -1.0000000000e+00 4.0994767812e-01
-7.8888888889e-01 -1.0000000000e+00 4.0804860720e-01
-7.7777777778e-01 -1.0000000000e+00 4.0620069734e-01
-7.6666666667e-01 -1.0000000000e+00 4.0440619610e-01
-7.5555555556e-01 -1.0000000000e+00 4.0266728523e-01
-7.4444444444e-01 -1.0000000000e+00 4.0098607806e-01
-7.3333333333e-01 -1.0000000000e+00 3.9936461695e-01
-7.2222222222e-01 -1.0000000000e+00 3.9780487083e-01
-7.1111111111e-01 -1.0000000000e+00 3.9630873295e-01
-7.0000000000e-01 -1.0000000000e+00 3.9487801858e-01
-6.8888888889e-01 -1.0000000000e+00 3.9351446295e-01
-6.7777777778e-01 -1.0000000000e+00 3.9221971923e-01
-6.6666666667e-01 -1.0000000000e+00 3.9099535666e-01
-6.5555555556e-01 -1.0000000000e+00 3.8984285873e-01
-6.4444444444e-01 -1.0000000000e+00 3.8876362156e-01
-6.3333333333e-01 -1.0000000000e+00 3.8775895230e-01
-6.2222222222e-01 -1.0000000000e+00 3.8683006769e-01
-6.1111111111e-01 -1.0000000000e+00 3.8597809272e-01
-6.0000000000e-01 -1.0000000000e+00 3.8520405936e-01
-5.8888888889e-01 -1.0000000000e+00 3.8450890546e-01
-5.7777777778e-01 -1.0000000000e+00 3.8389347365e-01
-5.6666666667e-01 -1.0000000000e+00 3.8335851046e-01
-5.5555555556e-01 -1.0000000000e+00 3.8290466540e-01
-5.4444444444e-01 -1.0000000000e+00 3.8253249030e-01
-5.3333333333e-01 -1.0000000000e+00 3.8224243860e-01
-5.2222222222e-01 -1.0000000000e+00 3.8203486481e-01
-5.1111111111e-01 -1.0000000000e+00 3.8191002406e-01
-5.0000000000e-01 -1.0000000000e+00 3.8186807175e-01
-4.8888888889e-01 -1.0000000000e+00 3.8190906328e-01
-4.7777777778e-01 -1.0000000000e+00 3.8203295394e-01
-4.6666666667e-01 -1.0000000000e+00 3.8223959880e-01
-4.5555555556e-01 -1.0000000000e+00 3.8252875282e-01
-4.4444444444e-01 -1.0000000000e+00 3.8290007101e-01
-4.3333333333e-01 -1.0000000000e+00 3.8335310872e-01
-4.2222222222e-01 -1.0000000000e+00 3.8388732204e-01
-4.1111111111e-01 -1.0000000000e+00 3.8450206834e-01
-4.0000000000e-01 -1.0000000000e+00 3.8519660689e-01
-3.8888888889e-01 -1.0000000000e+00 3.8597009964e-01
-3.7777777778e-01 -1.0000000000e+00 3.8682161215e-01
-3.6666666667e-01 -1.0000000000e+00 3.8775011458e-01
-3.5555555556e-01 -1.0000000000e+00 3.8875448288e-01
-3.4444444444e-01 -1.0000000000e+00 3.8983350004e-01
-3.3333333333e-01 -1.0000000000e+00 3.9098585756e-01
-3.2222222222e-01 -1.0000000000e+00 3.9221015693e-01
-3.1111111111e-01 -1.0000000000e+00 3.9350491140e-01
-3.0000000000e-01 -1.0000000000e+00 3.9486854769e-01
-2.8888888889e-01 -1.0000000000e+00 3.9629940797e-01
-2.7777777778e-01 -1.0000000000e+00 3.9779575192e-01
-2.6666666667e-01 -1.0000000000e+00 3.9935575888e-01
-2.5555555556e-01 -1.0000000000e+00 4.0097753013e-01
-2.4444444444e-01 -1.0000000000e+00 4.0265909132e-01
-2.3333333333e-01 -1.0000000000e+00 4.0439839499e-01
-2.2222222222e-01 -1.0000000000e+00 4.0619332314e-01
-2.1111111111e-01 -1.0000000000e+00 4.0804169002e-01
-2.0000000000e-01 -1.0000000000e+00 4.0994124492e-01
-1.8888888889e-01 -1.0000000000e+00 4.1188967511e-01
-1.7777777778e-01 -1.0000000000e+00 4.1388460886e-01
-1.6666666667e-01 -1.0000000000e+00 4.1592361857e-01
-1.5555555556e-01 -1.0000000000e+00 4.1800422397e-01
-1.4444444444e-01 -1.0000000000e+00 4.2012389541e-01
-1.3333333333e-01 -1.0000000000e+00 4.2228005728e-01
-1.2222222222e-01 -1.0000000000e+00 4.2447009145e-01
-1.1111111111e-01 -1.0000000000e+00 4.2669134083e-01
-1.0000000000e-01 -1.0000000000e+00 4.2894111301e-01
-8.8888888889e-02 -1.0000000000e+00 4.3121668398e-01
-7.7777777778e-02 -1.0000000000e+00 4.3351530188e-01
-6.6666666667e-02 -1.0000000000e+00 4.3583419087e-01
-5.5555555556e-02 -1.0000000000e+00 4.3817055501e-01
-4.4444444444e-02 -1.0000000000e+00 4.4052158223e-01
-3.3333333333e-02 -1.0000000000e+00 4.4288444827e-01
-2.2222222222e-02 -1.0000000000e+00 4.4525632076e-01
-1.1111111111e-02 -1.0000000000e+00 4.4763436317e-01
0.0000000000e+00 -1.0000000000e+00 4.5001573888e-01
1.1111111111e-02 -1.0000000000e+00 4.5239761510e-01
