x y value
-1.0000000000e+00 -1.0000000000e+00 4.0623191132e-07
-9.8888888889e-01 -1.0000000000e+00 -7.5335601306e-04
-9.7777777778e-01 -1.0000000000e+00 -1.5061909169e-03
-9.6666666667e-01 -1.0000000000e+00 -2.2571803681e-03
-9.5555555556e-01 -1.0000000000e+00 -3.0054084838e-03
-9.4444444444e-01 -1.0000000000e+00 -3.7499627372e-03
-9.3333333333e-01 -1.0000000000e+00 -4.4899350817e-03
-9.2222222222e-01 -1.0000000000e+00 -5.2244230719e-03
-9.1111111111e-01 -1.0000000000e+00 -5.9525309798e-03
-9.0000000000e-01 -1.0000000000e+00 -6.6733709028e-03
-8.8888888889e-01 -1.0000000000e+00 -7.3860638653e-03
-8.7777777778e-01 -1.0000000000e+00 -8.0897409086e-03
-8.6666666667e-01 -1.0000000000e+00 -8.7835441701e-03
-8.5555555556e-01 -1.0000000000e+00 -9.4666279487e-03
-8.4444444444e-01 -1.0000000000e+00 -1.0138159755e-02
-8.3333333333e-01 -1.0000000000e+00 -1.0797321346e-02
-8.2222222222e-01 -1.0000000000e+00 -1.1443309736e-02
-8.1111111111e-01 -1.0000000000e+00 -1.2075338195e-02
-8.0000000000e-01 -1.0000000000e+00 -1.2692637216e-02
-7.8888888889e-01 -1.0000000000e+00 -1.3294455466e-02
-7.7777777778e-01 -1.0000000000e+00 -1.3880060702e-02
-7.6666666667e-01 -1.0000000000e+00 -1.4448740673e-02
-7.5555555556e-01 -1.0000000000e+00 -1.4999803975e-02
-7.4444444444e-01 -1.0000000000e+00 -1.5532580895e-02
-7.3333333333e-01 -1.0000000000e+00 -1.6046424207e-02
-7.2222222222e-01 -1.0000000000e+00 -1.6540709948e-02
-7.1111111111e-01 -1.0000000000e+00 -1.7014838151e-02
-7.0000000000e-01 -1.0000000000e+00 -1.7468233550e-02
-6.8888888889e-01 -1.0000000000e+00 -1.7900346249e-02
-6.7777777778e-01 -1.0000000000e+00 -1.8310652356e-02
-6.6666666667e-01 -1.0000000000e+00 -1.8698654579e-02
-6.5555555556e-01 -1.0000000000e+00 -1.9063882796e-02
-6.4444444444e-01 -1.0000000000e+00 -1.9405894576e-02
-6.3333333333e-01 -1.0000000000e+00 -1.9724275680e-02
-6.2222222222e-01 -1.0000000000e+00 -2.0018640521e-02
-6.1111111111e-01 -1.0000000000e+00 -2.0288632590e-02
-6.0000000000e-01 -1.0000000000e+00 -2.0533924850e-02
-5.8888888889e-01 -1.0000000000e+00 -2.0754220101e-02
-5.7777777778e-01 -1.0000000000e+00 -2.0949251307e-02
-5.6666666667e-01 -1.0000000000e+00 -2.1118781898e-02
-5.5555555556e-01 -1.0000000000e+00 -2.1262606035e-02
-5.4444444444e-01 -1.0000000000e+00 -2.1380548847e-02
-5.3333333333e-01 -1.0000000000e+00 -2.1472466640e-02
-5.2222222222e-01 -1.0000000000e+00 -2.1538247067e-02
-5.1111111111e-01 -1.0000000000e+00 -2.1577809277e-02
-5.0000000000e-01 -1.0000000000e+00 -2.1591104024e-02
-4.8888888889e-01 -1.0000000000e+00 -2.1578113748e-02
-4.7777777778e-01 -1.0000000000e+00 -2.1538852625e-02
-4.6666666667e-01 -1.0000000000e+00 -2.1473366578e-02
-4.5555555556e-01 -1.0000000000e+00 -2.1381733263e-02
-4.4444444444e-01 -1.0000000000e+00 -2.1264062005e-02
-4.3333333333e-01 -1.0000000000e+00 -2.1120493716e-02
-4.2222222222e-01 -1.0000000000e+00 -2.0951200761e-02
-4.1111111111e-01 -1.0000000000e+00 -2.0756386793e-02
-4.0000000000e-01 -1.0000000000e+00 -2.0536286551e-02
-3.8888888889e-01 -1.0000000000e+00 -2.0291165608e-02
-3.7777777778e-01 -1.0000000000e+00 -2.0021320094e-02
-3.6666666667e-01 -1.0000000000e+00 -1.9727076365e-02
-3.5555555556e-01 -1.0000000000e+00 -1.9408790637e-02
-3.4444444444e-01 -1.0000000000e+00 -1.9066848578e-02
-3.3333333333e-01 -1.0000000000e+00 -1.8701664859e-02
-3.2222222222e-01 -1.0000000000e+00 -1.8313682662e-02
-3.1111111111e-01 -1.0000000000e+00 -1.7903373148e-02
-3.0000000000e-01 -1.0000000000e+00 -1.7471234888e-02
-2.8888888889e-01 -1.0000000000e+00 -1.7017793249e-02
-2.7777777778e-01 -1.0000000000e+00 -1.6543599743e-02
-2.6666666667e-01 -1.0000000000e+00 -1.6049231342e-02
-2.5555555556e-01 -1.0000000000e+00 -1.5535289749e-02
-2.4444444444e-01 -1.0000000000e+00 -1.5002400637e-02
-2.3333333333e-01 -1.0000000000e+00 -1.4451212856e-02
-2.2222222222e-01 -1.0000000000e+00 -1.3882397597e-02
-2.1111111111e-01 -1.0000000000e+00 -1.3296647530e-02
-2.0000000000e-01 -1.0000000000e+00 -1.2694675907e-02
-1.8888888889e-01 -1.0000000000e+00 -1.2077215635e-02
-1.7777777778e-01 -1.0000000000e+00 -1.1445018319e-02
-1.6666666667e-01 -1.0000000000e+00 -1.0798853270e-02
-1.5555555556e-01 -1.0000000000e+00 -1.0139506489e-02
-1.4444444444e-01 -1.0000000000e+00 -9.4677796226e-03
-1.3333333333e-01 -1.0000000000e+00 -8.7844888892e-03
-1.2222222222e-01 -1.0000000000e+00 -8.0904639775e-03
-1.1111111111e-01 -1.0000000000e+00 -7.3865469215e-03
-1.0000000000e-01 -1.0000000000e+00 -6.6735909480e-03
-8.8888888889e-02 -1.0000000000e+00 -5.9524593027e-03
-7.7777777778e-02 -1.0000000000e+00 -5.2240240517e-03
-6.6666666667e-02 -1.0000000000e+00 -4.4891648645e-03
-5.5555555556e-02 -1.0000000000e+00 -3.7487677773e-03
-4.4444444444e-02 -1.0000000000e+00 -3.0037239427e-03
-3.3333333333e-02 -1.0000000000e+00 -2.2549283657e-03
-2.2222222222e-02 -1.0000000000e+00 -1.5032786339e-03
-1.1111111111e-02 -1.0000000000e+00 -7.4967364309e-04
0.0000000000e+00 -1.0000000000e+00 4.9876727811e-06
1.1111111111e-02 -1.0000000000e+00 7.5980760358e-04
2.2222222222e-02 -1.0000000000e+00 1.5138909078e-03
3.3333333333e-02 -1.0000000000e+00 2.2663460327e-03
4.4444444444e-02 -1.0000000000e+00 3.0162863017e-03
5.5555555556e-02 -1.0000000000e+00 3.7628310582e-03
6.6666666667e-02 -1.0000000000e+00 4.5051067569e-03
7.7777777778e-02 -1.0000000000e+00 5.2422479926e-03
8.8888888889e-02 -1.0000000000e+00 5.9733984562e-03
1.0000000000e-01 -1.0000000000e+00 6.6977118070e-03
1.1111111111e-01 -1.0000000000e+00 7.4143524534e-03
1.2222222222e-01 -1.0000000000e+00 8.1224962337e-03
1.3333333333e-01 -1.0000000000e+00 8.8213309888e-03
1.4444444444e-01 -1.0000000000e+00 9.5100570229e-03
1.5555555556e-01 -1.0000000000e+00 1.0187887449e-02
1.6666666667e-01 -1.0000000000e+00 1.0854048419e-02
1.7777777778e-01 -1.0000000000e+00 1.1507779241e-02
1.8888888889e-01 -1.0000000000e+00 1.2148332391e-02
2.0000000000e-01 -1.0000000000e+00 1.2774973427e-02
2.1111111111e-01 -1.0000000000e+00 1.3386980819e-02
2.2222222222e-01 -1.0000000000e+00 1.3983645718e-02
2.3333333333e-01 -1.0000000000e+00 1.4564271671e-02
2.4444444444e-01 -1.0000000000e+00 1.5128174329e-02
2.5555555556e-01 -1.0000000000e+00 1.5674681147e-02
2.6666666667e-01 -1.0000000000e+00 1.6203131135e-02
2.7777777778e-01 -1.0000000000e+00 1.6712874668e-02
2.8888888889e-01 -1.0000000000e+00 1.7203273402e-02
3.0000000000e-01 -1.0000000000e+00 1.7673700331e-02
3.1111111111e-01 -1.0000000000e+00 1.8123539996e-02
3.2222222222e-01 -1.0000000000e+00 1.8552188906e-02
3.3333333333e-01 -1.0000000000e+00 1.8959056168e-02
3.4444444444e-01 -1.0000000000e+00 1.9343564374e-02
3.5555555556e-01 -1.0000000000e+00 1.9705150732e-02
3.6666666667e-01 -1.0000000000e+00 2.0043268483e-02
3.7777777778e-01 -1.0000000000e+00 2.0357388569e-02
3.8888888889e-01 -1.0000000000e+00 2.0647001585e-02
4.0000000000e-01 -1.0000000000e+00 2.0911619962e-02
4.1111111111e-01 -1.0000000000e+00 2.1150780385e-02
4.2222222222e-01 -1.0000000000e+00 2.1364046397e-02
4.3333333333e-01 -1.0000000000e+00 2.1551011164e-02
