x y value
-1.0000000000e+00 -1.0000000000e+00 1.3921170865e-04
-9.8888888889e-01 -1.0000000000e+00 1.6056359026e-04
-9.7777777778e-01 -1.0000000000e+00 1.7079088659e-04
-9.6666666667e-01 -1.0000000000e+00 1.7172686339e-04
-9.5555555556e-01 -1.0000000000e+00 1.6492099748e-04
-9.4444444444e-01 -1.0000000000e+00 1.5171122167e-04
-9.3333333333e-01 -1.0000000000e+00 1.3328685766e-04
-9.2222222222e-01 -1.0000000000e+00 1.1073956858e-04
-9.1111111111e-01 -1.0000000000e+00 8.5101004088e-05
-9.0000000000e-01 -1.0000000000e+00 5.7366860578e-05
-8.8888888889e-01 -1.0000000000e+00 2.8507892787e-05
-8.7777777778e-01 -1.0000000000e+00 5.3093216455e-07
-8.6666666667e-01 -1.0000000000e+00 2.8841387519e-05
-8.5555555556e-01 -1.0000000000e+00 5.5570799185e-05
-8.4444444444e-01 -1.0000000000e+00 7.9946048316e-05
-8.3333333333e-01 -1.0000000000e+00 1.0129979411e-04
-8.2222222222e-01 -1.0000000000e+00 1.1909583163e-04
-8.1111111111e-01 -1.0000000000e+00 1.3295062602e-04
-8.0000000000e-01 -1.0000000000e+00 1.4264845751e-04
-7.8888888889e-01 -1.0000000000e+00 1.4814825017e-04
-7.7777777778e-01 -1.0000000000e+00 1.4958097807e-04
-7.6666666667e-01 -1.0000000000e+00 1.4723745201e-04
-7.5555555556e-01 -1.0000000000e+00 1.4154718509e-04
-7.4444444444e-01 -1.0000000000e+00 1.3304982306e-04
-7.3333333333e-01 -1.0000000000e+00 1.2236123160e-04
-7.2222222222e-01 -1.0000000000e+00 1.1013670819e-04
-7.1111111111e-01 -1.0000000000e+00 9.7033911062e-05
-7.0000000000e-01 -1.0000000000e+00 8.3677974900e-05
-6.8888888889e-01 -1.0000000000e+00 7.0630945030e-05
-6.7777777778e-01 -1.0000000000e+00 5.8367162244e-05
-6.6666666667e-01 -1.0000000000e+00 4.7255639193e-05
-6.5555555556e-01 -1.0000000000e+00 3.7549862114e-05
-6.4444444444e-01 -1.0000000000e+00 2.9384896478e-05
-6.3333333333e-01 -1.0000000000e+00 2.2781223150e-05
-6.2222222222e-01 -1.0000000000e+00 1.7654410583e-05
-6.1111111111e-01 -1.0000000000e+00 1.3829543375e-05
-6.0000000000e-01 -1.0000000000e+00 1.1059264028e-05
-5.8888888889e-01 -1.0000000000e+00 9.0443170062e-06
-5.7777777778e-01 -1.0000000000e+00 7.4555803145e-06
-5.6666666667e-01 -1.0000000000e+00 5.9566968640e-06
-5.5555555556e-01 -1.0000000000e+00 4.2265446800e-06
-5.4444444444e-01 -1.0000000000e+00 1.9808829185e-06
-5.3333333333e-01 -1.0000000000e+00 1.0074442851e-06
-5.2222222222e-01 -1.0000000000e+00 4.8903886692e-06
-5.1111111111e-01 -1.0000000000e+00 9.7294041613e-06
-5.0000000000e-01 -1.0000000000e+00 1.5483876244e-05
-4.8888888889e-01 -1.0000000000e+00 2.2004347175e-05
-4.7777777778e-01 -1.0000000000e+00 2.9031736447e-05
-4.6666666667e-01 -1.0000000000e+00 3.6203746264e-05
-4.5555555556e-01 -1.0000000000e+00 4.3069404714e-05
-4.4444444444e-01 -1.0000000000e+00 4.9112166952e-05
-4.3333333333e-01 -1.0000000000e+00 5.3781154323e-05
-4.2222222222e-01 -1.0000000000e+00 5.6529032313e-05
-4.1111111111e-01 -1.0000000000e+00 5.6853869916e-05
-4.0000000000e-01 -1.0000000000e+00 5.4341315450e-05
-3.8888888889e-01 -1.0000000000e+00 4.8702817765e-05
-3.7777777778e-01 -1.0000000000e+00 3.9805619883e-05
-3.6666666667e-01 -1.0000000000e+00 2.7690944108e-05
-3.5555555556e-01 -1.0000000000e+00 1.2578111573e-05
-3.4444444444e-01 -1.0000000000e+00 5.1459122665e-06
-3.3333333333e-01 -1.0000000000e+00 2.4950187560e-05
-3.2222222222e-01 -1.0000000000e+00 4.6193672800e-05
-3.1111111111e-01 -1.0000000000e+00 6.8165133650e-05
-3.0000000000e-01 -1.0000000000e+00 9.0124456572e-05
-2.8888888889e-01 -1.0000000000e+00 1.1134102803e-04
-2.7777777778e-01 -1.0000000000e+00 1.3112582743e-04
-2.6666666667e-01 -1.0000000000e+00 1.4885538021e-04
-2.5555555556e-01 -1.0000000000e+00 1.6398743698e-04
-2.4444444444e-01 -1.0000000000e+00 1.7606982866e-04
-2.3333333333e-01 -1.0000000000e+00 1.8474504335e-04
-2.2222222222e-01 -1.0000000000e+00 1.8975341624e-04
-2.1111111111e-01 -1.0000000000e+00 1.9093734180e-04
-2.0000000000e-01 -1.0000000000e+00 1.8824774511e-04
-1.8888888889e-01 -1.0000000000e+00 1.8175251868e-04
-1.7777777778e-01 -1.0000000000e+00 1.7164516136e-04
-1.6666666667e-01 -1.0000000000e+00 1.5825083655e-04
-1.5555555556e-01 -1.0000000000e+00 1.4202674361e-04
-1.4444444444e-01 -1.0000000000e+00 1.2355413027e-04
-1.3333333333e-01 -1.0000000000e+00 1.0352034550e-04
-1.2222222222e-01 -1.0000000000e+00 8.2690804038e-05
-1.1111111111e-01 -1.0000000000e+00 6.1872307920e-05
-1.0000000000e-01 -1.0000000000e+00 4.1870557006e-05
-8.8888888889e-02 -1.0000000000e+00 2.3445636686e-05
-7.7777777778e-02 -1.0000000000e+00 7.2696379516e-06
-6.6666666667e-02 -1.0000000000e+00 6.1097078355e-06
-5.5555555556e-02 -1.0000000000e+00 1.6296341990e-05
-4.4444444444e-02 -1.0000000000e+00 2.3062342120e-05
-3.3333333333e-02 -1.0000000000e+00 2.6353124898e-05
-2.2222222222e-02 -1.0000000000e+00 2.6282240592e-05
-1.1111111111e-02 -1.0000000000e+00 2.3117531122e-05
0.0000000000e+00 -1.0000000000e+00 1.7260869507e-05
1.1111111111e-02 -1.0000000000e+00 9.2236635860e-06
2.2222222222e-02 -1.0000000000e+00 4.0010438510e-07
3.3333333333e-02 -1.0000000000e+00 1.0962135089e-05
4.4444444444e-02 -1.0000000000e+00 2.1788788953e-05
5.5555555556e-02 -1.0000000000e+00 3.2210601326e-05
6.6666666667e-02 -1.0000000000e+00 4.1592252461e-05
7.7777777778e-02 -1.0000000000e+00 4.9362693920e-05
8.8888888889e-02 -1.0000000000e+00 5.5044679233e-05
1.0000000000e-01 -1.0000000000e+00 5.8282385848e-05
1.1111111111e-01 -1.0000000000e+00 5.8865300033e-05
1.2222222222e-01 -1.0000000000e+00 5.6746202379e-05
1.3333333333e-01 -1.0000000000e+00 5.2051033127e-05
1.4444444444e-01 -1.0000000000e+00 4.5078678022e-05
1.5555555556e-01 -1.0000000000e+00 3.6289294591e-05
1.6666666667e-01 -1.0000000000e+00 2.6280657514e-05
1.7777777778e-01 -1.0000000000e+00 1.5753073168e-05
1.8888888889e-01 -1.0000000000e+00 5.4646032874e-06
2.0000000000e-01 -1.0000000000e+00 3.8204781363e-06
2.1111111111e-01 -1.0000000000e+00 1.1386045927e-05
2.2222222222e-01 -1.0000000000e+00 1.6616660586e-05
2.3333333333e-01 -1.0000000000e+00 1.9043438192e-05
2.4444444444e-01 -1.0000000000e+00 1.8378813381e-05
2.5555555556e-01 -1.0000000000e+00 1.4536777986e-05
2.6666666667e-01 -1.0000000000e+00 7.6367153345e-06
2.7777777778e-01 -1.0000000000e+00 2.0092207698e-06
2.8888888889e-01 -1.0000000000e+00 1.3923414215e-05
3.0000000000e-01 -1.0000000000e+00 2.7501514846e-05
3.1111111111e-01 -1.0000000000e+00 4.2058381750e-05
3.2222222222e-01 -1.0000000000e+00 5.6876768116e-05
3.3333333333e-01 -1.0000000000e+00 7.1254628677e-05
3.4444444444e-01 -1.0000000000e+00 8.4547727679e-05
3.5555555556e-01 -1.0000000000e+00 9.6205212458e-05
3.6666666667e-01 -1.0000000000e+00 1.0579674866e-04
3.7777777778e-01 -1.0000000000e+00 1.1303051849e-04
3.8888888889e-01 -1.0000000000e+00 1.1776181057e-04
4.0000000000e-01 -1.0000000000e+00 1.1999214454e-04
4.1111111111e-01 -1.0000000000e+00 1.1985902147e-04
4.2222222222e-01 -1.0000000000e+00 1.1761664144e-04
4.3333333333e-01 -1.0000000000e+00 1.1360840815e-04
4.4444444444e-01 -1.0000000000e+00 1.0823278380e-04
4.5555555556e-01 -1.0000000000e+00 1.0190498889e-04
4.6666666667e-01 -1.0000000000e+00 9.5017980795e-05
4.7777777778e-01 -1.0000000000e+00 8.7906846415e-05
4.8888888889e-01 -1.0000000000e+00 8.0820954961e-05
5.0000000000e-01 -1.0000000000e+00 7.3907746253e-05
5.1111111111e-01 -1.0000000000e+00 6.7210806678e-05
5.2222222222e-01 -1.0000000000e+00 6.0683002718e-05
5.3333333333e-01 -1.0000000000e+00 5.4213162083e-05
5.4444444444e-01 -1.0000000000e+00 4.7662511613e-05
5.5555555556e-01 -1.0000000000e+00 4.0905255132e-05
5.6666666667e-01 -1.0000000000e+00 3.3866716804e-05
5.7777777778e-01 -1.0000000000e+00 2.6552651270e-05
5.8888888889e-01 -1.0000000000e+00 1.9064669659e-05
6.0000000000e-01 -1.0000000000e+00 1.1599035991e-05
6.1111111111e-01 -1.0000000000e+00 4.4289250822e-06
6.2222222222e-01 -1.0000000000e+00 2.1269425072e-06
6.3333333333e-01 -1.0000000000e+00 7.7440937963e-06
6.4444444444e-01 -1.0000000000e+00 1.2134001889e-05
6.5555555556e-01 -1.0000000000e+00 1.5080988414e-05
6.6666666667e-01 -1.0000000000e+00 1.6468573321e-05
6.7777777778e-01 -1.0000000000e+00 1.6291360236e-05
6.8888888889e-01 -1.0000000000e+00 1.4650938868e-05
7.0000000000e-01 -1.0000000000e+00 1.1736823681e-05
7.1111111111e-01 -1.0000000000e+00 7.7957413468e-06
7.2222222222e-01 -1.0000000000e+00 3.0943048582e-06
7.3333333333e-01 -1.0000000000e+00 2.1189569363e-06
7.4444444444e-01 -1.0000000000e+00 7.6462191136e-06
7.5555555556e-01 -1.0000000000e+00 1.3362496981e-05
7.6666666667e-01 -1.0000000000e+00 1.9223778088e-05
7.7777777778e-01 -1.0000000000e+00 2.5259745063e-05
7.8888888889e-01 -1.0000000000e+00 3.1551989264e-05
8.0000000000e-01 -1.0000000000e+00 3.8200778831e-05
8.1111111111e-01 -1.0000000000e+00 4.5285180935e-05
8.2222222222e-01 -1.0000000000e+00 5.2822453949e-05
8.3333333333e-01 -1.0000000000e+00 6.0733043449e-05
8.4444444444e-01 -1.0000000000e+00 6.8817264853e-05
8.5555555556e-01 -1.0000000000e+00 7.6748934201e-05
8.6666666667e-01 -1.0000000000e+00 8.4089942573e-05
8.7777777778e-01 -1.0000000000e+00 9.0328176201e-05
8.8888888889e-01 -1.0000000000e+00 9.4939360041e-05
9.0000000000e-01 -1.0000000000e+00 9.7471432817e-05
9.1111111111e-01 -1.0000000000e+00 9.7648044755e-05
9.2222222222e-01 -1.0000000000e+00 9.5485838238e-05
9.3333333333e-01 -1.0000000000e+00 9.1418501680e-05
9.4444444444e-01 -1.0000000000e+00 8.6419380698e-05
9.5555555556e-01 -1.0000000000e+00 8.2113883438e-05
9.6666666667e-01 -1.0000000000e+00 8.0873170793e-05
9.7777777778e-01 -1.0000000000e+00 8.5881723604e-05
9.8888888889e-01 -1.0000000000e+00 1.0117325271e-04
1.0000000000e+00 -1.0000000000e+00 1.3163186756e-04
-1.0000000000e+00 -9.8888888889e-01 4.6958944091e-05
-9.8888888889e-01 -9.8888888889e-01 7.2287299448e-05
